Date,Min (EUR/MWhe),Max (EUR/MWhe),Daily Spread (EUR/MWhe)
2024-07-01,10.15,99.26,89.11
2024-07-02,4.00,110.41,106.41
2024-07-03,0.00,95.75,95.75
2024-07-04,-20.93,52.71,73.64
2024-07-05,0.10,106.33,106.23
2024-07-06,-54.63,20.39,75.02
2024-07-07,-20.84,104.58,125.42
2024-07-08,31.98,115.15,83.17
2024-07-09,8.30,108.02,99.72
2024-07-10,31.56,105.00,73.44
2024-07-11,46.80,111.39,64.59
2024-07-12,24.45,89.93,65.48
2024-07-13,-14.80,89.19,103.99
2024-07-14,-74.02,106.12,180.14
2024-07-15,3.74,93.93,90.19
2024-07-16,0.00,117.23,117.23
2024-07-17,17.04,125.26,108.22
2024-07-18,37.79,138.23,100.44
2024-07-19,39.84,121.22,81.38
2024-07-20,-0.01,88.31,88.32
2024-07-21,-0.25,65.00,65.25
2024-07-22,23.18,100.59,77.41
2024-07-23,4.84,105.11,100.27
2024-07-24,0.01,99.80,99.79
2024-07-25,13.27,106.44,93.17
2024-07-26,46.51,91.02,44.51
2024-07-27,15.00,60.69,45.69
2024-07-28,-36.15,51.88,88.03
2024-07-29,0.00,93.66,93.66
2024-07-30,0.04,109.53,109.49
2024-07-31,16.95,111.14,94.19
2024-08-01,47.26,108.95,61.69
2024-08-02,45.41,109.70,64.29
2024-08-03,4.17,63.71,59.54
2024-08-04,-2.16,96.02,98.18
2024-08-05,6.97,109.62,102.65
2024-08-06,3.12,88.61,85.49
2024-08-07,6.17,67.68,61.51
2024-08-08,0.08,52.19,52.11
2024-08-09,-0.72,89.90,90.62
2024-08-10,-29.87,88.35,118.22
2024-08-11,-59.67,59.34,119.01
2024-08-12,0.00,130.60,130.60
2024-08-13,43.87,117.89,74.02
2024-08-14,59.32,115.77,56.45
2024-08-15,0.90,96.42,95.52
2024-08-16,50.72,119.99,69.27
2024-08-17,34.72,114.07,79.35
2024-08-18,0.00,111.64,111.64
2024-08-19,62.04,127.48,65.44
2024-08-20,11.93,100.41,88.48
2024-08-21,-5.32,95.94,101.26
2024-08-22,-2.56,118.94,121.50
2024-08-23,-8.98,123.90,132.88
2024-08-24,-41.39,72.60,113.99
2024-08-25,-16.70,109.91,126.61
2024-08-26,24.02,127.04,103.02
2024-08-27,4.79,125.14,120.35
2024-08-28,17.91,126.28,108.37
2024-08-29,48.09,133.14,85.05
2024-08-30,71.90,123.92,52.02
2024-08-31,9.06,123.32,114.26
2024-09-01,4.39,127.02,122.63
2024-09-02,82.25,138.00,55.75
2024-09-03,83.08,135.05,51.97
2024-09-04,78.27,133.75,55.48
2024-09-05,46.04,119.04,73.00
2024-09-06,31.20,113.83,82.63
2024-09-07,0.44,115.57,115.13
2024-09-08,0.00,101.13,101.13
2024-09-09,6.12,116.50,110.38
2024-09-10,0.00,86.45,86.45
2024-09-11,0.00,113.00,113.00
2024-09-12,9.33,120.75,111.42
2024-09-13,1.42,118.58,117.16
2024-09-14,0.44,101.72,101.28
2024-09-15,-0.36,65.08,65.44
2024-09-16,0.00,119.15,119.15
2024-09-17,0.00,59.53,59.53
2024-09-18,0.00,120.01,120.01
2024-09-19,0.00,112.65,112.65
2024-09-20,0.05,110.16,110.11
2024-09-21,-3.95,83.91,87.86
2024-09-22,0.01,110.22,110.21
2024-09-23,19.02,116.05,97.03
2024-09-24,15.48,124.76,109.28
2024-09-25,0.00,88.09,88.09
2024-09-26,-0.06,65.00,65.06
2024-09-27,-6.18,69.85,76.03
2024-09-28,0.00,111.23,111.23
2024-09-29,-0.50,61.43,61.93
2024-09-30,-0.01,61.53,61.54
2024-10-01,0.02,143.44,143.42
2024-10-02,40.00,136.26,96.26
2024-10-03,8.00,125.98,117.98
2024-10-04,49.10,141.37,92.27
2024-10-05,0.07,109.38,109.31
2024-10-06,-0.01,78.05,78.06
2024-10-07,18.67,108.32,89.65
2024-10-08,0.00,79.91,79.91
2024-10-09,0.00,112.03,112.03
2024-10-10,-0.01,129.22,129.23
2024-10-11,57.17,155.49,98.32
2024-10-12,-0.01,84.65,84.66
2024-10-13,-0.51,79.46,79.97
2024-10-14,36.68,161.89,125.21
2024-10-15,12.80,122.28,109.48
2024-10-16,1.48,83.91,82.43
2024-10-17,5.61,99.60,93.99
2024-10-18,20.40,138.94,118.54
2024-10-19,5.05,73.33,68.28
2024-10-20,-2.01,47.41,49.42
2024-10-21,0.00,158.40,158.40
2024-10-22,52.50,158.91,106.41
2024-10-23,51.61,155.80,104.19
2024-10-24,24.55,120.01,95.46
2024-10-25,18.70,103.06,84.36
2024-10-26,37.01,99.02,62.01
2024-10-27,39.99,128.70,88.71
2024-10-28,43.10,150.00,106.90
2024-10-29,49.04,160.11,111.07
2024-10-30,40.00,145.00,105.00
2024-10-31,70.99,134.14,63.15
2024-11-01,46.04,125.88,79.84
2024-11-02,69.84,114.64,44.80
2024-11-03,26.00,118.11,92.11
2024-11-04,83.82,160.54,76.72
2024-11-05,80.34,193.00,112.66
2024-11-06,87.62,171.89,84.27
2024-11-07,83.77,151.49,67.72
2024-11-08,88.16,133.58,45.42
2024-11-09,96.68,134.86,38.18
2024-11-10,89.18,128.02,38.84
2024-11-11,80.20,127.98,47.78
2024-11-12,31.24,150.04,118.80
2024-11-13,91.82,179.09,87.27
2024-11-14,92.85,160.04,67.19
2024-11-15,104.05,160.85,56.80
2024-11-16,90.25,134.00,43.75
2024-11-17,50.05,135.43,85.38
2024-11-18,61.78,168.20,106.42
2024-11-19,2.79,135.93,133.14
2024-11-20,76.15,143.18,67.03
2024-11-21,84.15,139.02,54.87
2024-11-22,77.13,141.31,64.18
2024-11-23,13.81,99.25,85.44
2024-11-24,3.32,41.54,38.22
2024-11-25,3.32,134.14,130.82
2024-11-26,73.04,162.07,89.03
2024-11-27,16.81,123.29,106.48
2024-11-28,41.71,158.24,116.53
2024-11-29,88.75,143.36,54.61
2024-11-30,88.13,136.71,48.58
2024-12-01,74.68,124.76,50.08
2024-12-02,38.37,149.61,111.24
2024-12-03,96.10,203.24,107.14
2024-12-04,106.98,219.09,112.11
2024-12-05,22.55,142.14,119.59
2024-12-06,10.46,146.85,136.39
2024-12-07,17.81,71.85,54.04
2024-12-08,5.85,74.97,69.12
2024-12-09,5.43,132.06,126.63
2024-12-10,85.00,181.00,96.00
2024-12-11,100.85,276.00,175.15
2024-12-12,107.35,277.00,169.65
2024-12-13,114.95,284.21,169.26
2024-12-14,86.56,125.69,39.13
2024-12-15,13.09,104.94,91.85
2024-12-16,9.64,118.02,108.38
2024-12-17,41.47,124.88,83.41
2024-12-18,7.01,81.13,74.12
2024-12-19,3.95,105.26,101.31
2024-12-20,20.15,124.91,104.76
2024-12-21,9.88,50.19,40.31
2024-12-22,4.41,77.44,73.03
2024-12-23,6.00,124.89,118.89
2024-12-24,78.00,120.95,42.95
2024-12-25,75.99,120.50,44.51
2024-12-26,89.64,138.05,48.41
2024-12-27,99.58,158.40,58.82
2024-12-28,102.93,148.30,45.37
2024-12-29,97.73,134.40,36.67
2024-12-30,82.97,144.30,61.33
2024-12-31,50.11,131.38,81.27
2025-01-01,5.90,50.14,44.24
2025-01-02,40.15,153.40,113.25
2025-01-03,84.06,144.48,60.42
2025-01-04,94.33,145.00,50.67
2025-01-05,13.28,70.50,57.22
2025-01-06,3.52,88.34,84.82
2025-01-07,0.40,128.87,128.47
2025-01-08,53.00,137.58,84.58
2025-01-09,13.01,135.73,122.72
2025-01-10,69.94,144.28,74.34
2025-01-11,90.82,123.86,33.04
2025-01-12,85.00,146.66,61.66
2025-01-13,100.00,186.00,86.00
2025-01-14,111.63,189.54,77.91
2025-01-15,109.76,275.00,165.24
2025-01-16,108.58,199.94,91.36
2025-01-17,117.26,208.13,90.87
2025-01-18,113.97,167.85,53.88
2025-01-19,107.51,159.68,52.17
2025-01-20,114.41,473.28,358.87
2025-01-21,115.30,245.00,129.70
2025-01-22,103.60,200.00,96.40
2025-01-23,65.01,160.34,95.33
2025-01-24,16.01,105.26,89.25
