Date,Min (EUR/MWhe),Max (EUR/MWhe),Daily Spread (EUR/MWhe)
2024-07-01,45.04,158.04,113.00
2024-07-02,63.72,119.54,55.82
2024-07-03,51.26,163.02,111.76
2024-07-04,-15.21,107.52,122.73
2024-07-05,-4.97,137.04,142.01
2024-07-06,-52.04,58.03,110.07
2024-07-07,-18.51,136.53,155.04
2024-07-08,32.66,248.05,215.39
2024-07-09,8.91,140.92,132.01
2024-07-10,43.92,164.80,120.88
2024-07-11,39.00,175.95,136.95
2024-07-12,51.78,119.05,67.27
2024-07-13,-17.71,80.43,98.14
2024-07-14,-68.46,108.45,176.91
2024-07-15,11.84,195.77,183.93
2024-07-16,-9.87,116.32,126.19
2024-07-17,14.55,177.32,162.77
2024-07-18,32.93,225.51,192.58
2024-07-19,32.93,176.36,143.43
2024-07-20,-4.24,128.19,132.43
2024-07-21,-0.82,126.83,127.65
2024-07-22,23.32,172.69,149.37
2024-07-23,34.95,134.58,99.63
2024-07-24,-1.10,120.72,121.82
2024-07-25,14.20,177.83,163.63
2024-07-26,56.59,150.58,93.99
2024-07-27,21.22,126.87,105.65
2024-07-28,-61.81,112.48,174.29
2024-07-29,6.60,178.74,172.14
2024-07-30,3.47,182.42,178.95
2024-07-31,13.69,139.72,126.03
2024-08-01,58.17,142.94,84.77
2024-08-02,50.39,149.61,99.22
2024-08-03,4.67,133.19,128.52
2024-08-04,-6.84,122.57,129.41
2024-08-05,29.88,216.76,186.88
2024-08-06,8.20,221.38,213.18
2024-08-07,36.22,149.86,113.64
2024-08-08,30.72,194.10,163.38
2024-08-09,-3.80,115.45,119.25
2024-08-10,-45.32,131.74,177.06
2024-08-11,-57.45,144.70,202.15
2024-08-12,6.05,204.64,198.59
2024-08-13,31.43,203.88,172.45
2024-08-14,70.62,220.92,150.30
2024-08-15,6.19,173.36,167.17
2024-08-16,47.46,227.01,179.55
2024-08-17,36.28,152.87,116.59
2024-08-18,19.69,118.33,98.64
2024-08-19,66.11,230.35,164.24
2024-08-20,24.13,155.62,131.49
2024-08-21,-22.05,137.30,159.35
2024-08-22,-3.23,125.33,128.56
2024-08-23,-21.38,120.16,141.54
2024-08-24,-41.97,95.41,137.38
2024-08-25,-16.91,125.94,142.85
2024-08-26,27.83,222.45,194.62
2024-08-27,9.70,224.11,214.41
2024-08-28,12.73,204.81,192.08
2024-08-29,47.91,265.39,217.48
2024-08-30,77.75,169.01,91.26
2024-08-31,-0.63,138.47,139.10
2024-09-01,-27.50,128.99,156.49
2024-09-02,67.78,227.25,159.47
2024-09-03,82.20,474.85,392.65
2024-09-04,92.68,277.99,185.31
2024-09-05,-16.86,121.14,138.00
2024-09-06,19.87,140.01,120.14
2024-09-07,-0.45,148.23,148.68
2024-09-08,0.08,134.28,134.20
2024-09-09,60.49,162.51,102.02
2024-09-10,-1.18,123.54,124.72
2024-09-11,37.10,157.41,120.31
2024-09-12,77.24,277.05,199.81
2024-09-13,55.18,131.80,76.62
2024-09-14,2.13,121.18,119.05
2024-09-15,0.47,127.79,127.32
2024-09-16,81.50,148.43,66.93
2024-09-17,32.51,136.12,103.61
2024-09-18,2.40,140.54,138.14
2024-09-19,1.75,138.77,137.02
2024-09-20,1.09,139.49,138.40
2024-09-21,-2.84,141.34,144.18
2024-09-22,-0.63,155.40,156.03
2024-09-23,76.99,265.87,188.88
2024-09-24,46.76,151.48,104.72
2024-09-25,27.41,191.98,164.57
2024-09-26,2.62,96.70,94.08
2024-09-27,-14.27,67.06,81.33
2024-09-28,0.42,108.75,108.33
2024-09-29,1.95,165.48,163.53
2024-09-30,2.44,95.20,92.76
2024-10-01,1.86,134.05,132.19
2024-10-02,72.69,136.15,63.46
2024-10-03,39.75,124.22,84.47
2024-10-04,71.78,143.54,71.76
2024-10-05,41.34,148.33,106.99
2024-10-06,1.28,106.99,105.71
2024-10-07,39.67,195.26,155.59
2024-10-08,58.54,175.07,116.53
2024-10-09,46.04,127.65,81.61
2024-10-10,14.70,115.92,101.22
2024-10-11,51.57,175.58,124.01
2024-10-12,2.94,90.41,87.47
2024-10-13,-21.09,65.32,86.41
2024-10-14,45.42,163.11,117.69
2024-10-15,15.97,184.70,168.73
2024-10-16,2.77,85.12,82.35
2024-10-17,5.25,178.32,173.07
2024-10-18,78.30,181.06,102.76
2024-10-19,52.55,135.24,82.69
2024-10-20,1.80,71.06,69.26
2024-10-21,6.52,117.65,111.13
2024-10-22,68.43,155.96,87.53
2024-10-23,79.94,218.92,138.98
2024-10-24,77.94,173.43,95.49
2024-10-25,76.32,232.26,155.94
2024-10-26,61.39,142.67,81.28
2024-10-27,31.71,138.35,106.64
2024-10-28,81.14,113.49,32.35
2024-10-29,96.01,270.52,174.51
2024-10-30,98.54,215.57,117.03
2024-10-31,60.59,132.58,71.99
2024-11-01,28.35,110.48,82.13
2024-11-02,81.44,159.81,78.37
2024-11-03,39.48,133.59,94.11
2024-11-04,91.31,283.62,192.31
2024-11-05,92.98,448.69,355.71
2024-11-06,100.40,733.08,632.68
2024-11-07,99.07,437.45,338.38
2024-11-08,96.80,140.39,43.59
2024-11-09,97.93,154.52,56.59
2024-11-10,99.48,150.94,51.46
2024-11-11,95.17,153.13,57.96
2024-11-12,99.88,354.64,254.76
2024-11-13,102.43,237.54,135.11
2024-11-14,93.35,164.59,71.24
2024-11-15,99.26,154.56,55.30
2024-11-16,63.28,116.89,53.61
2024-11-17,27.03,91.46,64.43
2024-11-18,33.33,155.85,122.52
2024-11-19,92.72,150.66,57.94
2024-11-20,82.03,143.43,61.40
2024-11-21,85.48,178.33,92.85
2024-11-22,80.74,140.88,60.14
2024-11-23,5.08,100.90,95.82
2024-11-24,0.70,26.88,26.18
2024-11-25,3.47,83.35,79.88
2024-11-26,63.95,168.88,104.93
2024-11-27,46.04,191.80,145.76
2024-11-28,37.50,110.14,72.64
2024-11-29,101.96,206.62,104.66
2024-11-30,88.22,139.45,51.23
2024-12-01,79.47,121.44,41.97
2024-12-02,57.92,142.47,84.55
2024-12-03,91.41,209.65,118.24
2024-12-04,113.07,320.79,207.72
2024-12-05,14.98,144.32,129.34
2024-12-06,2.56,149.20,146.64
2024-12-07,45.07,93.96,48.89
2024-12-08,58.34,112.75,54.41
2024-12-09,34.10,126.49,92.39
2024-12-10,84.02,202.36,118.34
2024-12-11,114.68,431.83,317.15
2024-12-12,114.41,808.87,694.46
2024-12-13,116.44,312.10,195.66
2024-12-14,67.86,121.57,53.71
2024-12-15,4.13,76.90,72.77
2024-12-16,0.91,91.13,90.22
2024-12-17,22.82,134.28,111.46
2024-12-18,11.18,84.79,73.61
2024-12-19,0.83,88.80,87.97
2024-12-20,12.79,110.29,97.50
2024-12-21,-0.90,39.61,40.51
2024-12-22,-2.73,59.48,62.21
2024-12-23,6.54,101.67,95.13
2024-12-24,76.23,120.65,44.42
2024-12-25,66.29,118.56,52.27
2024-12-26,85.42,133.20,47.78
2024-12-27,103.32,132.72,29.40
2024-12-28,104.13,149.22,45.09
2024-12-29,64.82,113.98,49.16
2024-12-30,46.14,114.20,68.06
2024-12-31,1.02,83.17,82.15
2025-01-01,-5.36,6.86,12.22
2025-01-02,5.23,151.92,146.69
2025-01-03,73.67,126.67,53.00
2025-01-04,89.84,152.96,63.12
2025-01-05,17.20,97.17,79.97
2025-01-06,6.47,48.83,42.36
2025-01-07,7.86,99.64,91.78
2025-01-08,51.28,153.32,102.04
2025-01-09,83.24,169.24,86.00
2025-01-10,70.50,146.25,75.75
2025-01-11,90.72,124.70,33.98
2025-01-12,88.87,144.17,55.30
2025-01-13,100.08,193.06,92.98
2025-01-14,98.00,170.65,72.65
2025-01-15,108.60,396.44,287.84
2025-01-16,114.52,207.51,92.99
