date,lowest_rate_p,highest_rate_p,average_rate_p,spread_p,cost_without_battery_p,cost_with_battery_p,daily_saving_p
2025-01-01,-1.5,40.8,14.73,42.3,166.22,-6.82,173.04
2025-01-02,16.8,44.4,25.576,27.599999999999998,264.64,194.32,70.32
2025-01-03,16.8,45.3,25.984,28.499999999999996,272.22,186.18,86.04
2025-01-04,20.9,45.3,27.08,24.4,280.64,209.68,70.96
2025-01-05,11.2,41.7,23.708000000000002,30.500000000000004,248.53,154.8,93.73
2025-01-06,2.0,41.1,20.974,39.1,228.92,57.85,171.07
2025-01-07,13.3,41.5,24.3,28.2,256.07,175.66,80.41
2025-01-08,12.9,99.5,40.872,86.6,457.56,148.61,308.95
2025-01-09,16.7,40.8,24.98,24.099999999999998,259.3,190.4,68.9
2025-01-10,14.1,100.0,52.501999999999995,85.9,575.72,170.23,405.49
2025-01-11,19.1,46.0,25.51,26.9,265.83,195.84,69.99
2025-01-12,18.6,41.7,25.372,23.1,262.54,202.75,59.79
2025-01-13,17.9,42.4,24.358,24.5,254.32,192.88,61.44
2025-01-14,20.0,47.3,26.302,27.299999999999997,275.86,202.8,73.06
2025-01-15,20.5,53.8,28.91,33.3,305.13,209.09,96.04
2025-01-16,19.5,45.3,25.528000000000002,25.799999999999997,266.44,202.52,63.92
2025-01-17,19.3,46.6,26.2,27.3,273.9,196.11,77.78
2025-01-18,21.3,44.3,26.288,22.999999999999996,273.13,215.49,57.64
2025-01-19,20.6,48.4,27.728,27.799999999999997,289.14,219.95,69.19
2025-01-20,20.2,100.0,42.06,79.8,463.27,214.89,248.38
2025-01-21,21.2,86.2,36.31,65.0,397.22,210.82,186.4
2025-01-22,21.7,100.0,48.576,78.3,536.91,215.15,321.76
2025-01-23,20.8,41.2,26.035999999999998,20.400000000000002,268.2,209.95,58.25
2025-01-24,6.7,40.0,22.508000000000003,33.3,241.09,101.93,139.16
2025-01-25,11.7,44.0,23.342,32.3,244.46,139.04,105.41
2025-01-26,2.7,41.1,23.894000000000002,38.4,249.77,156.95,92.82
2025-01-27,8.3,40.9,22.994,32.599999999999994,247.87,101.07,146.8
2025-01-28,16.6,41.2,24.752,24.6,260.27,173.61,86.67
2025-01-29,14.7,42.8,24.068,28.099999999999998,255.23,151.85,103.38
2025-01-30,19.1,53.3,27.748,34.199999999999996,292.35,203.03,89.32
2025-01-31,22.4,52.0,29.598000000000003,29.6,309.52,226.36,83.16
2025-02-01,21.7,43.8,27.644000000000002,22.099999999999998,286.98,223.77,63.21
2025-02-02,22.0,48.0,28.342,26.0,295.59,221.29,74.3
2025-02-03,19.1,44.6,27.436,25.5,287.08,218.34,68.74
2025-02-04,16.8,45.5,26.228,28.7,275.58,188.66,86.91
2025-02-05,20.2,49.6,28.584,29.400000000000002,301.68,202.63,99.05
2025-02-06,22.6,47.8,28.848000000000003,25.199999999999996,300.65,229.29,71.36
2025-02-07,20.2,43.0,27.23,22.8,281.95,221.37,60.58
2025-02-08,20.4,47.4,28.034000000000002,27.0,291.63,214.27,77.36
2025-02-09,22.4,46.8,28.478,24.4,295.14,234.61,60.53
2025-02-10,21.5,48.8,28.678,27.299999999999997,297.53,223.56,73.97
2025-02-11,22.0,49.0,29.246,27.0,302.82,233.82,68.99
2025-02-12,23.8,48.3,31.32,24.499999999999996,325.52,250.43,75.09
2025-02-13,23.1,47.5,30.608,24.4,319.19,238.94,80.25
2025-02-14,22.3,50.0,30.728,27.7,322.03,222.27,99.76
2025-02-15,22.0,44.3,27.614,22.299999999999997,286.04,220.81,65.23
2025-02-16,21.4,44.4,27.318,23.0,281.61,227.48,54.13
2025-02-17,20.9,49.7,27.698,28.800000000000004,292.26,215.02,77.24
2025-02-18,19.1,43.8,25.875999999999998,24.699999999999996,272.99,198.93,74.06
