date,cost_no_battery_p,sc_saving_p,sc_cost_p,fa_saving_p,fa_cost_p,fa_export_revenue_p,additional_export_value_p
2025-01-01,166.22,166.47,-0.25,153.83,12.38,74.03,-12.64
2025-01-02,264.65,59.18,205.47,35.31,229.34,95.17,-23.87
2025-01-03,272.22,61.55,210.67,40.54,231.68,96.65,-21.01
2025-01-04,280.64,13.81,266.83,26.95,253.69,112.75,13.14
2025-01-05,248.53,77.41,171.12,-50.06,298.59,6.7,-127.47
2025-01-06,228.93,176.93,52.0,152.85,76.08,73.11,-24.08
2025-01-07,256.07,65.14,190.93,45.78,210.29,90.41,-19.36
2025-01-08,457.56,301.34,156.22,272.45,185.11,179.94,-28.89
2025-01-09,259.3,31.86,227.45,40.51,218.79,81.52,8.66
2025-01-10,575.72,387.74,187.97,336.83,238.89,178.7,-50.91
2025-01-11,265.83,33.79,232.05,25.81,240.02,103.7,-7.97
2025-01-12,262.54,-6.42,268.95,-29.3,291.83,0,-22.88
2025-01-13,254.32,1.24,253.08,21.26,233.06,119.71,20.02
2025-01-14,275.86,-21.1,296.96,41.19,234.67,131.11,62.29
2025-01-15,305.12,47.88,257.24,-86.42,391.55,7.66,-134.31
2025-01-16,266.44,-5.44,271.88,-78.51,344.95,18.68,-73.07
2025-01-17,273.9,30.34,243.55,35.14,238.76,114.68,4.79
2025-01-18,273.13,-51.3,324.43,40.58,232.55,121.55,91.88
2025-01-19,289.14,-33.61,322.74,35.54,253.6,141.43,69.14
2025-01-20,463.27,207.53,255.75,213.36,249.91,189.21,5.84
2025-01-21,397.22,152.52,244.7,117.93,279.29,146.56,-34.59
2025-01-22,536.91,280.85,256.06,293.5,243.41,225.06,12.65
2025-01-23,268.2,-21.25,289.45,-44.07,312.27,0,-22.82
2025-01-24,241.09,139.18,101.91,109.95,131.14,74.25,-29.23
2025-01-25,244.46,86.79,157.67,70.86,173.59,88.94,-15.93
2025-01-26,249.77,109.74,140.03,-15.01,264.79,3.7,-124.76
2025-01-27,247.87,132.96,114.91,110.37,137.5,76.52,-22.59
2025-01-28,260.27,64.83,195.45,49.13,211.14,82.4,-15.69
2025-01-29,255.24,84.18,171.06,68.01,187.23,90.75,-16.17
2025-01-30,292.35,71.97,220.38,51.78,240.57,99.93,-20.19
2025-01-31,309.52,31.86,277.67,32.3,277.22,110.49,0.45
2025-02-01,286.98,-29.17,316.15,-46.11,333.09,0,-16.94
2025-02-02,295.59,-12.76,308.35,39.28,256.3,128.12,52.05
2025-02-03,287.08,-27.64,314.72,-37.5,324.58,0,-9.86
2025-02-04,275.57,67.09,208.48,36.17,239.4,89.05,-30.92
2025-02-05,301.69,69.95,231.74,42.31,259.38,93.74,-27.64
2025-02-06,300.65,-19.59,320.24,20.8,279.85,129.25,40.39
2025-02-07,281.95,-13.52,295.47,-36.95,318.9,0,-23.43
2025-02-08,291.63,37.69,253.94,41.21,250.42,87.1,3.52
2025-02-09,295.14,-46.24,341.38,-56.54,351.68,0,-10.3
2025-02-10,297.53,34.82,262.7,36.12,261.41,85.48,1.3
2025-02-11,302.82,27.93,274.89,49.02,253.8,76.96,21.09
2025-02-12,325.52,-5.37,330.89,-16.27,341.8,0,-10.9
2025-02-13,319.19,25.98,293.21,15.28,303.91,0,-10.7
2025-02-14,322.03,67.4,254.63,41.8,280.23,95.29,-25.6
2025-02-15,286.04,-12.29,298.33,-28.94,314.98,0,-16.65
2025-02-16,281.61,-71.65,353.26,-81.47,363.08,0,-9.82
2025-02-17,292.26,-25.54,317.8,68.93,223.33,142.62,94.47
2025-02-18,272.99,-1.31,274.3,32.66,240.33,166.9,33.97
2025-02-19,257.91,9.39,248.51,42.97,214.93,95.78,33.58
2025-02-20,227.4,28.77,198.63,-55.02,282.42,0.0,-83.79
2025-02-21,168.27,79.5,88.77,58.87,109.39,55.33,-20.63
2025-02-22,218.38,123.85,94.53,90.28,128.1,63.98,-33.57
2025-02-23,156.1,79.3,76.8,3.81,152.29,47.19,-75.49
2025-02-24,202.85,164.5,38.35,136.21,66.64,64.41,-28.29
2025-02-25,251.72,62.59,189.12,38.71,213.01,78.39,-23.88
2025-02-26,255.41,-2.05,257.47,49.17,206.25,152.99,51.22
2025-02-27,242.52,1.1,241.41,50.28,192.24,153.14,49.18
2025-02-28,255.27,19.95,235.32,46.06,209.21,150.5,26.11
2025-03-01,249.35,-13.0,262.35,36.65,212.7,121.03,49.64
2025-03-02,235.31,49.28,186.03,41.98,193.32,145.21,-7.3
2025-03-03,260.5,15.8,244.7,61.64,198.86,167.82,45.84
2025-03-04,243.25,75.13,168.11,53.53,189.72,146.16,-21.61
2025-03-05,213.01,151.84,61.17,133.44,79.56,130.85,-18.4
2025-03-06,220.1,132.32,87.78,121.94,98.16,132.19,-10.39
2025-03-07,236.53,44.24,192.3,33.08,203.46,73.73,-11.16
2025-03-08,223.26,31.98,191.27,40.29,182.97,143.22,8.31
2025-03-09,235.31,-41.65,276.95,50.62,184.68,157.78,92.27
2025-03-10,222.16,67.84,154.33,44.4,177.76,117.95,-23.44
2025-03-11,241.15,10.59,230.56,20.9,220.26,107.06,10.3
2025-03-12,249.48,-24.27,273.75,52.83,196.65,120.26,77.1
2025-03-13,272.93,51.49,221.44,30.24,242.69,81.06,-21.25
2025-03-14,257.94,-30.1,288.05,38.83,219.12,159.63,68.93
2025-03-15,244.14,-7.84,251.98,43.34,200.8,98.42,51.18
2025-03-16,240.01,-57.1,297.12,44.98,195.03,148.96,102.08
2025-03-17,265.13,-5.61,270.74,-63.74,328.87,75.62,-58.13
2025-03-18,237.6,4.69,232.91,51.71,185.89,156.07,47.02
2025-03-19,266.2,21.48,244.73,46.35,219.85,106.02,24.88
2025-03-20,256.06,1.73,254.33,54.35,201.71,163.69,52.62
2025-03-21,192.71,142.73,49.98,127.43,65.28,121.37,-15.29
2025-03-22,211.62,157.79,53.84,125.67,85.95,57.48,-32.11
2025-03-23,245.7,43.83,201.87,40.51,205.19,88.11,-3.32
2025-03-24,254.33,43.64,210.69,63.54,190.79,155.76,19.9
2025-03-25,250.22,10.36,239.86,37.0,213.22,101.53,26.64
2025-03-26,237.59,-15.25,252.84,26.97,210.62,113.16,42.22
2025-03-27,228.05,74.22,153.83,46.08,181.97,134.45,-28.14
2025-03-28,189.13,126.47,62.66,129.92,59.2,128.78,3.46
2025-03-29,180.67,151.58,29.08,118.74,61.93,97.62,-32.84
2025-03-30,108.88,138.95,-30.07,129.55,-20.67,59.14,-9.4
2025-03-31,251.9,25.98,225.92,-62.6,314.5,63.5,-88.58
2025-04-01,228.7,76.77,151.93,66.67,162.03,138.16,-10.11
2025-04-02,198.38,127.69,70.69,126.24,72.14,120.2,-1.45
2025-04-03,192.93,181.75,11.18,191.03,1.9,127.74,9.28
2025-04-04,202.22,148.97,53.25,143.98,58.24,120.42,-4.99
2025-04-05,151.91,170.68,-18.77,174.9,-22.99,101.87,4.22
2025-04-06,188.71,119.09,69.62,100.37,88.33,110.76,-18.71
2025-04-07,233.91,60.9,173.01,50.36,183.56,68.92,-10.54
2025-04-08,225.54,-14.46,240.01,50.2,175.34,106.43,64.67
2025-04-09,220.49,-4.65,225.14,27.08,193.41,102.16,31.73
2025-04-10,218.36,17.62,200.74,-57.45,275.81,55.96,-75.08
2025-04-11,208.92,33.01,175.91,24.39,184.52,127.48,-8.62
2025-04-12,199.38,94.62,104.75,69.83,129.54,119.58,-24.79
2025-04-13,190.83,59.92,130.91,41.86,148.97,78.68,-18.06
2025-04-14,212.26,-11.16,223.42,47.22,165.04,135.94,58.38
2025-04-15,213.36,3.49,209.87,-50.31,263.68,1.41,-53.81
2025-04-16,180.68,97.97,82.71,81.89,98.79,102.73,-16.08
2025-04-17,224.94,21.71,203.23,25.78,199.16,94.23,4.07
