Year,Revenue (£),COGS (£),Gross Profit (£),EBITDA (£),Depreciation (£),EBIT (£),Interest (£),EBT (£),Tax 25% (£),Net Income (£)
1,1500.14,305.88,1194.25,722.67,280.0,442.67,196.0,246.67,61.67,185.0
2,1500.14,305.88,1194.25,722.67,280.0,442.67,156.8,285.87,71.47,214.4
3,1500.14,305.88,1194.25,722.67,280.0,442.67,117.6,325.07,81.27,243.8
4,1500.14,305.88,1194.25,722.67,280.0,442.67,78.4,364.27,91.07,273.2
5,1500.14,305.88,1194.25,722.67,280.0,442.67,39.2,403.47,100.87,302.6
6,1500.14,305.88,1194.25,722.67,280.0,442.67,0.0,442.67,110.67,332.0
7,1500.14,305.88,1194.25,722.67,280.0,442.67,0.0,442.67,110.67,332.0
8,1500.14,305.88,1194.25,722.67,280.0,442.67,0.0,442.67,110.67,332.0
9,1500.14,305.88,1194.25,722.67,280.0,442.67,0.0,442.67,110.67,332.0
10,1500.14,305.88,1194.25,722.67,280.0,442.67,0.0,442.67,110.67,332.0
