Year,Loan Yrs,Net Income (£),Add: Depreciation (£),Operating CF (£),Principal Repaid (£),Financing CF (£),Free Cash (£),Cumulative Cash (£),CF Positive
1,3,112.93,280.0,392.93,933.33,-933.33,-540.4,-540.4,False
2,3,161.93,280.0,441.93,933.33,-933.33,-491.4,-1031.8,False
3,3,210.93,280.0,490.93,933.33,-933.33,-442.4,-1474.2,False
4,3,259.93,280.0,539.93,0.0,-0.0,539.93,-934.27,True
5,3,259.93,280.0,539.93,0.0,-0.0,539.93,-394.33,True
6,3,259.93,280.0,539.93,0.0,-0.0,539.93,145.6,True
7,3,259.93,280.0,539.93,0.0,-0.0,539.93,685.53,True
8,3,259.93,280.0,539.93,0.0,-0.0,539.93,1225.47,True
9,3,259.93,280.0,539.93,0.0,-0.0,539.93,1765.4,True
10,3,259.93,280.0,539.93,0.0,-0.0,539.93,2305.33,True
11,3,259.93,280.0,539.93,0.0,-0.0,539.93,2845.27,True
12,3,259.93,280.0,539.93,0.0,-0.0,539.93,3385.2,True
1,5,112.93,280.0,392.93,560.0,-560.0,-167.07,-167.07,False
2,5,142.33,280.0,422.33,560.0,-560.0,-137.67,-304.73,False
3,5,171.73,280.0,451.73,560.0,-560.0,-108.27,-413.0,False
4,5,201.13,280.0,481.13,560.0,-560.0,-78.87,-491.87,False
5,5,230.53,280.0,510.53,560.0,-560.0,-49.47,-541.33,False
6,5,259.93,280.0,539.93,0.0,-0.0,539.93,-1.4,True
7,5,259.93,280.0,539.93,0.0,-0.0,539.93,538.53,True
8,5,259.93,280.0,539.93,0.0,-0.0,539.93,1078.47,True
9,5,259.93,280.0,539.93,0.0,-0.0,539.93,1618.4,True
10,5,259.93,280.0,539.93,0.0,-0.0,539.93,2158.33,True
11,5,259.93,280.0,539.93,0.0,-0.0,539.93,2698.27,True
12,5,259.93,280.0,539.93,0.0,-0.0,539.93,3238.2,True
1,7,112.93,280.0,392.93,400.0,-400.0,-7.07,-7.07,False
2,7,133.93,280.0,413.93,400.0,-400.0,13.93,6.87,True
3,7,154.93,280.0,434.93,400.0,-400.0,34.93,41.8,True
4,7,175.93,280.0,455.93,400.0,-400.0,55.93,97.73,True
5,7,196.93,280.0,476.93,400.0,-400.0,76.93,174.67,True
6,7,217.93,280.0,497.93,400.0,-400.0,97.93,272.6,True
7,7,238.93,280.0,518.93,400.0,-400.0,118.93,391.53,True
8,7,259.93,280.0,539.93,0.0,-0.0,539.93,931.47,True
9,7,259.93,280.0,539.93,0.0,-0.0,539.93,1471.4,True
10,7,259.93,280.0,539.93,0.0,-0.0,539.93,2011.33,True
11,7,259.93,280.0,539.93,0.0,-0.0,539.93,2551.27,True
12,7,259.93,280.0,539.93,0.0,-0.0,539.93,3091.2,True
1,10,112.93,280.0,392.93,280.0,-280.0,112.93,112.93,True
2,10,127.63,280.0,407.63,280.0,-280.0,127.63,240.57,True
3,10,142.33,280.0,422.33,280.0,-280.0,142.33,382.9,True
4,10,157.03,280.0,437.03,280.0,-280.0,157.03,539.93,True
5,10,171.73,280.0,451.73,280.0,-280.0,171.73,711.67,True
6,10,186.43,280.0,466.43,280.0,-280.0,186.43,898.1,True
7,10,201.13,280.0,481.13,280.0,-280.0,201.13,1099.23,True
8,10,215.83,280.0,495.83,280.0,-280.0,215.83,1315.07,True
9,10,230.53,280.0,510.53,280.0,-280.0,230.53,1545.6,True
10,10,245.23,280.0,525.23,280.0,-280.0,245.23,1790.83,True
11,10,259.93,280.0,539.93,0.0,-0.0,539.93,2330.77,True
12,10,259.93,280.0,539.93,0.0,-0.0,539.93,2870.7,True
