Year,Loan Yrs,EBITDA (£),Tax (£),Operating CF (£),Interest (£),Principal Repaid (£),CAC (£),Free Cash (£),Cumulative Cash (£),CF Positive,Consumption kWh
1,3,482.44,1.61,480.83,196.0,933.33,100.0,-748.5,-748.5,False,4000
2,3,448.28,9.4,438.87,130.67,933.33,0.0,-625.13,-1373.63,False,4000
3,3,428.11,20.69,407.41,65.33,933.33,0.0,-591.25,-1964.88,False,4000
4,3,414.0,33.5,380.5,0.0,0.0,0.0,380.5,-1584.38,True,4000
5,3,405.6,31.4,374.2,0.0,0.0,0.0,374.2,-1210.18,True,4000
6,3,401.31,30.33,370.98,0.0,0.0,0.0,370.98,-839.2,True,4000
7,3,397.42,29.35,368.06,0.0,0.0,0.0,368.06,-471.14,True,4000
8,3,393.85,28.46,365.39,0.0,0.0,0.0,365.39,-105.75,True,4000
9,3,390.55,27.64,362.91,0.0,0.0,0.0,362.91,257.16,True,4000
10,3,387.46,26.87,360.6,0.0,0.0,0.0,360.6,617.76,True,4000
11,3,384.57,26.14,358.43,0.0,0.0,0.0,358.43,976.19,True,4000
12,3,384.57,26.14,358.43,0.0,0.0,0.0,358.43,1334.62,True,4000
1,5,482.44,1.61,480.83,196.0,560.0,100.0,-375.17,-375.17,False,4000
2,5,448.28,2.87,445.41,156.8,560.0,0.0,-271.39,-646.56,False,4000
3,5,428.11,7.63,420.48,117.6,560.0,0.0,-257.12,-903.68,False,4000
4,5,414.0,13.9,400.1,78.4,560.0,0.0,-238.3,-1141.98,False,4000
5,5,405.6,21.6,384.0,39.2,560.0,0.0,-215.2,-1357.18,False,4000
6,5,401.31,30.33,370.98,0.0,0.0,0.0,370.98,-986.2,True,4000
7,5,397.42,29.35,368.06,0.0,0.0,0.0,368.06,-618.14,True,4000
8,5,393.85,28.46,365.39,0.0,0.0,0.0,365.39,-252.75,True,4000
9,5,390.55,27.64,362.91,0.0,0.0,0.0,362.91,110.16,True,4000
10,5,387.46,26.87,360.6,0.0,0.0,0.0,360.6,470.76,True,4000
11,5,384.57,26.14,358.43,0.0,0.0,0.0,358.43,829.19,True,4000
12,5,384.57,26.14,358.43,0.0,0.0,0.0,358.43,1187.62,True,4000
1,7,482.44,1.61,480.83,196.0,400.0,100.0,-215.17,-215.17,False,4000
2,7,448.28,0.07,448.21,168.0,400.0,0.0,-119.79,-334.96,False,4000
3,7,428.11,2.03,426.08,140.0,400.0,0.0,-113.92,-448.88,False,4000
4,7,414.0,5.5,408.5,112.0,400.0,0.0,-103.5,-552.38,False,4000
5,7,405.6,10.4,395.2,84.0,400.0,0.0,-88.8,-641.18,False,4000
6,7,401.31,16.33,384.98,56.0,400.0,0.0,-71.02,-712.2,False,4000
7,7,397.42,22.35,375.06,28.0,400.0,0.0,-52.94,-765.14,False,4000
8,7,393.85,28.46,365.39,0.0,0.0,0.0,365.39,-399.75,True,4000
9,7,390.55,27.64,362.91,0.0,0.0,0.0,362.91,-36.84,True,4000
10,7,387.46,26.87,360.6,0.0,0.0,0.0,360.6,323.76,True,4000
11,7,384.57,26.14,358.43,0.0,0.0,0.0,358.43,682.19,True,4000
12,7,384.57,26.14,358.43,0.0,0.0,0.0,358.43,1040.62,True,4000
1,10,482.44,1.61,480.83,196.0,280.0,100.0,-95.17,-95.17,False,4000
2,10,448.28,0.0,448.28,176.4,280.0,0.0,-8.12,-103.29,False,4000
3,10,428.11,0.0,428.11,156.8,280.0,0.0,-8.69,-111.99,False,4000
4,10,414.0,0.0,414.0,137.2,280.0,0.0,-3.2,-115.19,False,4000
5,10,405.6,2.0,403.6,117.6,280.0,0.0,6.0,-109.19,True,4000
6,10,401.31,5.83,395.48,98.0,280.0,0.0,17.48,-91.7,True,4000
7,10,397.42,9.75,387.66,78.4,280.0,0.0,29.26,-62.44,True,4000
8,10,393.85,13.76,380.09,58.8,280.0,0.0,41.29,-21.15,True,4000
9,10,390.55,17.84,372.71,39.2,280.0,0.0,53.51,32.36,True,4000
10,10,387.46,21.97,365.5,19.6,280.0,0.0,65.9,98.25,True,4000
11,10,384.57,26.14,358.43,0.0,0.0,0.0,358.43,456.68,True,4000
12,10,384.57,26.14,358.43,0.0,0.0,0.0,358.43,815.11,True,4000
1,3,541.17,16.29,524.87,196.0,933.33,100.0,-704.46,-704.46,False,5000
2,3,506.25,23.9,482.35,130.67,933.33,0.0,-581.65,-1286.1,False,5000
3,3,485.64,35.08,450.56,65.33,933.33,0.0,-548.1,-1834.21,False,5000
4,3,471.22,47.81,423.42,0.0,0.0,0.0,423.42,-1410.79,True,5000
5,3,462.64,45.66,416.98,0.0,0.0,0.0,416.98,-993.82,True,5000
6,3,458.25,44.56,413.69,0.0,0.0,0.0,413.69,-580.13,True,5000
7,3,454.28,43.57,410.71,0.0,0.0,0.0,410.71,-169.42,True,5000
8,3,450.63,42.66,407.97,0.0,0.0,0.0,407.97,238.55,True,5000
9,3,447.25,41.81,405.44,0.0,0.0,0.0,405.44,643.99,True,5000
10,3,444.1,41.03,403.08,0.0,0.0,0.0,403.08,1047.07,True,5000
11,3,441.15,40.29,400.86,0.0,0.0,0.0,400.86,1447.93,True,5000
12,3,441.15,40.29,400.86,0.0,0.0,0.0,400.86,1848.79,True,5000
1,5,541.17,16.29,524.87,196.0,560.0,100.0,-331.13,-331.13,False,5000
2,5,506.25,17.36,488.89,156.8,560.0,0.0,-227.91,-559.04,False,5000
3,5,485.64,22.01,463.63,117.6,560.0,0.0,-213.97,-773.01,False,5000
4,5,471.22,28.21,443.02,78.4,560.0,0.0,-195.38,-968.39,False,5000
5,5,462.64,35.86,426.78,39.2,560.0,0.0,-172.42,-1140.82,False,5000
6,5,458.25,44.56,413.69,0.0,0.0,0.0,413.69,-727.13,True,5000
7,5,454.28,43.57,410.71,0.0,0.0,0.0,410.71,-316.42,True,5000
8,5,450.63,42.66,407.97,0.0,0.0,0.0,407.97,91.55,True,5000
9,5,447.25,41.81,405.44,0.0,0.0,0.0,405.44,496.99,True,5000
10,5,444.1,41.03,403.08,0.0,0.0,0.0,403.08,900.07,True,5000
11,5,441.15,40.29,400.86,0.0,0.0,0.0,400.86,1300.93,True,5000
12,5,441.15,40.29,400.86,0.0,0.0,0.0,400.86,1701.79,True,5000
1,7,541.17,16.29,524.87,196.0,400.0,100.0,-171.13,-171.13,False,5000
2,7,506.25,14.56,491.69,168.0,400.0,0.0,-76.31,-247.44,False,5000
