Year,Loan Yrs,EBITDA (£),Tax (£),Operating CF (£),Interest (£),Principal Repaid (£),CAC (£),Free Cash (£),Cumulative Cash (£),CF Positive,Consumption kWh
1,3,482.44,1.61,480.83,196.0,933.33,100.0,-748.5,-748.5,False,4000
2,3,458.49,11.96,446.53,130.67,933.33,0.0,-617.47,-1365.97,False,4000
3,3,441.83,24.12,417.71,65.33,933.33,0.0,-580.96,-1946.93,False,4000
4,3,431.82,37.95,393.86,0.0,0.0,0.0,393.86,-1553.06,True,4000
5,3,428.3,37.07,391.22,0.0,0.0,0.0,391.22,-1161.84,True,4000
6,3,428.46,37.11,391.34,0.0,0.0,0.0,391.34,-770.5,True,4000
7,3,428.7,37.17,391.52,0.0,0.0,0.0,391.52,-378.98,True,4000
8,3,428.97,37.24,391.73,0.0,0.0,0.0,391.73,12.75,True,4000
9,3,429.26,37.31,391.94,0.0,0.0,0.0,391.94,404.7,True,4000
10,3,429.54,37.39,392.16,0.0,0.0,0.0,392.16,796.85,True,4000
11,3,429.81,37.45,392.36,0.0,0.0,0.0,392.36,1189.21,True,4000
12,3,429.81,37.45,392.36,0.0,0.0,0.0,392.36,1581.57,True,4000
1,5,482.44,1.61,480.83,196.0,560.0,100.0,-375.17,-375.17,False,4000
2,5,458.49,5.42,453.07,156.8,560.0,0.0,-263.73,-638.9,False,4000
3,5,441.83,11.06,430.77,117.6,560.0,0.0,-246.83,-885.73,False,4000
4,5,431.82,18.35,413.46,78.4,560.0,0.0,-224.94,-1110.66,False,4000
5,5,428.3,27.27,401.02,39.2,560.0,0.0,-198.18,-1308.84,False,4000
6,5,428.46,37.11,391.34,0.0,0.0,0.0,391.34,-917.5,True,4000
7,5,428.7,37.17,391.52,0.0,0.0,0.0,391.52,-525.98,True,4000
8,5,428.97,37.24,391.73,0.0,0.0,0.0,391.73,-134.25,True,4000
9,5,429.26,37.31,391.94,0.0,0.0,0.0,391.94,257.7,True,4000
10,5,429.54,37.39,392.16,0.0,0.0,0.0,392.16,649.85,True,4000
11,5,429.81,37.45,392.36,0.0,0.0,0.0,392.36,1042.21,True,4000
12,5,429.81,37.45,392.36,0.0,0.0,0.0,392.36,1434.57,True,4000
1,7,482.44,1.61,480.83,196.0,400.0,100.0,-215.17,-215.17,False,4000
2,7,458.49,2.62,455.87,168.0,400.0,0.0,-112.13,-327.3,False,4000
3,7,441.83,5.46,436.37,140.0,400.0,0.0,-103.63,-430.93,False,4000
4,7,431.82,9.95,421.86,112.0,400.0,0.0,-90.14,-521.06,False,4000
5,7,428.3,16.07,412.22,84.0,400.0,0.0,-71.78,-592.84,False,4000
6,7,428.46,23.11,405.34,56.0,400.0,0.0,-50.66,-643.5,False,4000
7,7,428.7,30.17,398.52,28.0,400.0,0.0,-29.48,-672.98,False,4000
8,7,428.97,37.24,391.73,0.0,0.0,0.0,391.73,-281.25,True,4000
9,7,429.26,37.31,391.94,0.0,0.0,0.0,391.94,110.7,True,4000
10,7,429.54,37.39,392.16,0.0,0.0,0.0,392.16,502.85,True,4000
11,7,429.81,37.45,392.36,0.0,0.0,0.0,392.36,895.21,True,4000
12,7,429.81,37.45,392.36,0.0,0.0,0.0,392.36,1287.57,True,4000
1,10,482.44,1.61,480.83,196.0,280.0,100.0,-95.17,-95.17,False,4000
