Year,Loan Yrs,EBITDA (£),Tax (£),Operating CF (£),Interest (£),Principal Repaid (£),CAC (£),Free Cash (£),Cumulative Cash (£),CF Positive,Consumption kWh
1,3,482.44,1.61,480.83,196.0,933.33,100.0,-748.5,-748.5,False,4000
2,3,417.01,1.59,415.42,130.67,933.33,0.0,-648.58,-1397.08,False,4000
3,3,387.17,10.46,376.71,65.33,933.33,0.0,-621.95,-2019.03,False,4000
4,3,362.97,20.74,342.23,0.0,0.0,0.0,342.23,-1676.81,True,4000
5,3,343.74,15.93,327.8,0.0,0.0,0.0,327.8,-1349.0,True,4000
6,3,330.4,12.6,317.8,0.0,0.0,0.0,317.8,-1031.2,True,4000
7,3,318.81,9.7,309.11,0.0,0.0,0.0,309.11,-722.09,True,4000
8,3,308.65,7.16,301.49,0.0,0.0,0.0,301.49,-420.61,True,4000
9,3,299.66,4.91,294.74,0.0,0.0,0.0,294.74,-125.86,True,4000
10,3,291.65,2.91,288.74,0.0,0.0,0.0,288.74,162.88,True,4000
11,3,284.48,1.12,283.36,0.0,0.0,0.0,283.36,446.24,True,4000
12,3,284.48,1.12,283.36,0.0,0.0,0.0,283.36,729.6,True,4000
1,5,482.44,1.61,480.83,196.0,560.0,100.0,-375.17,-375.17,False,4000
2,5,417.01,0.0,417.01,156.8,560.0,0.0,-299.79,-674.96,False,4000
3,5,387.17,0.0,387.17,117.6,560.0,0.0,-290.43,-965.39,False,4000
4,5,362.97,1.14,361.83,78.4,560.0,0.0,-276.57,-1241.96,False,4000
5,5,343.74,6.13,337.6,39.2,560.0,0.0,-261.6,-1503.56,False,4000
6,5,330.4,12.6,317.8,0.0,0.0,0.0,317.8,-1185.76,True,4000
7,5,318.81,9.7,309.11,0.0,0.0,0.0,309.11,-876.65,True,4000
8,5,308.65,7.16,301.49,0.0,0.0,0.0,301.49,-575.16,True,4000
9,5,299.66,4.91,294.74,0.0,0.0,0.0,294.74,-280.42,True,4000
10,5,291.65,2.91,288.74,0.0,0.0,0.0,288.74,8.32,True,4000
11,5,284.48,1.12,283.36,0.0,0.0,0.0,283.36,291.68,True,4000
12,5,284.48,1.12,283.36,0.0,0.0,0.0,283.36,575.04,True,4000
1,7,482.44,1.61,480.83,196.0,400.0,100.0,-215.17,-215.17,False,4000
2,7,417.01,0.0,417.01,168.0,400.0,0.0,-150.99,-366.16,False,4000
3,7,387.17,0.0,387.17,140.0,400.0,0.0,-152.83,-518.99,False,4000
4,7,362.97,0.0,362.97,112.0,400.0,0.0,-149.03,-668.02,False,4000
5,7,343.74,0.0,343.74,84.0,400.0,0.0,-140.26,-808.28,False,4000
6,7,330.4,0.0,330.4,56.0,400.0,0.0,-125.6,-933.88,False,4000
7,7,318.81,2.7,316.11,28.0,400.0,0.0,-111.89,-1045.77,False,4000
8,7,308.65,7.16,301.49,0.0,0.0,0.0,301.49,-744.28,True,4000
9,7,299.66,4.91,294.74,0.0,0.0,0.0,294.74,-449.54,True,4000
10,7,291.65,2.91,288.74,0.0,0.0,0.0,288.74,-160.8,True,4000
11,7,284.48,1.12,283.36,0.0,0.0,0.0,283.36,122.56,True,4000
12,7,284.48,1.12,283.36,0.0,0.0,0.0,283.36,405.92,True,4000
1,10,482.44,1.61,480.83,196.0,280.0,100.0,-95.17,-95.17,False,4000
2,10,417.01,0.0,417.01,176.4,280.0,0.0,-39.39,-134.56,False,4000
3,10,387.17,0.0,387.17,156.8,280.0,0.0,-49.63,-184.19,False,4000
4,10,362.97,0.0,362.97,137.2,280.0,0.0,-54.23,-238.42,False,4000
5,10,343.74,0.0,343.74,117.6,280.0,0.0,-53.86,-292.28,False,4000
6,10,330.4,0.0,330.4,98.0,280.0,0.0,-47.6,-339.88,False,4000
7,10,318.81,0.0,318.81,78.4,280.0,0.0,-39.59,-379.47,False,4000
8,10,308.65,0.0,308.65,58.8,280.0,0.0,-30.15,-409.62,False,4000
9,10,299.66,0.0,299.66,39.2,280.0,0.0,-19.54,-429.16,False,4000
10,10,291.65,0.0,291.65,19.6,280.0,0.0,-7.95,-437.11,False,4000
11,10,284.48,1.12,283.36,0.0,0.0,0.0,283.36,-153.75,True,4000
12,10,284.48,1.12,283.36,0.0,0.0,0.0,283.36,129.61,True,4000
1,3,541.17,16.29,524.87,196.0,933.33,100.0,-704.46,-704.46,False,5000
2,3,474.3,15.91,458.39,130.67,933.33,0.0,-605.61,-1310.07,False,5000
3,3,443.8,24.62,419.19,65.33,933.33,0.0,-579.48,-1889.55,False,5000
4,3,419.07,34.77,384.3,0.0,0.0,0.0,384.3,-1505.25,True,5000
5,3,399.41,29.85,369.56,0.0,0.0,0.0,369.56,-1135.69,True,5000
6,3,385.79,26.45,359.34,0.0,0.0,0.0,359.34,-776.35,True,5000
7,3,373.94,23.49,350.46,0.0,0.0,0.0,350.46,-425.89,True,5000
8,3,363.55,20.89,342.67,0.0,0.0,0.0,342.67,-83.23,True,5000
9,3,354.37,18.59,335.78,0.0,0.0,0.0,335.78,252.55,True,5000
10,3,346.19,16.55,329.64,0.0,0.0,0.0,329.64,582.19,True,5000
11,3,338.85,14.71,324.14,0.0,0.0,0.0,324.14,906.33,True,5000
12,3,338.85,14.71,324.14,0.0,0.0,0.0,324.14,1230.47,True,5000
1,5,541.17,16.29,524.87,196.0,560.0,100.0,-331.13,-331.13,False,5000
2,5,474.3,9.37,464.92,156.8,560.0,0.0,-251.88,-583.0,False,5000
3,5,443.8,11.55,432.25,117.6,560.0,0.0,-245.35,-828.35,False,5000
4,5,419.07,15.17,403.9,78.4,560.0,0.0,-234.5,-1062.85,False,5000
5,5,399.41,20.05,379.36,39.2,560.0,0.0,-219.84,-1282.69,False,5000
6,5,385.79,26.45,359.34,0.0,0.0,0.0,359.34,-923.35,True,5000
7,5,373.94,23.49,350.46,0.0,0.0,0.0,350.46,-572.89,True,5000
8,5,363.55,20.89,342.67,0.0,0.0,0.0,342.67,-230.23,True,5000
9,5,354.37,18.59,335.78,0.0,0.0,0.0,335.78,105.55,True,5000
10,5,346.19,16.55,329.64,0.0,0.0,0.0,329.64,435.19,True,5000
11,5,338.85,14.71,324.14,0.0,0.0,0.0,324.14,759.33,True,5000
12,5,338.85,14.71,324.14,0.0,0.0,0.0,324.14,1083.47,True,5000
1,7,541.17,16.29,524.87,196.0,400.0,100.0,-171.13,-171.13,False,5000
2,7,474.3,6.57,467.72,168.0,400.0,0.0,-100.28,-271.4,False,5000
