Year,Loan Yrs,EBITDA (£),Tax (£),Operating CF (£),Interest (£),Principal Repaid (£),CAC (£),Free Cash (£),Cumulative Cash (£),CF Positive,Consumption kWh
1,3,418.44,0.0,418.44,196.0,933.33,100.0,-810.89,-810.89,False,4000
2,3,376.18,0.0,376.18,130.67,933.33,0.0,-687.82,-1498.71,False,4000
3,3,348.88,0.89,347.99,65.33,933.33,0.0,-650.67,-2149.38,False,4000
4,3,328.22,12.05,316.16,0.0,0.0,0.0,316.16,-1833.22,True,4000
5,3,313.5,8.37,305.12,0.0,0.0,0.0,305.12,-1528.1,True,4000
6,3,302.94,5.74,297.21,0.0,0.0,0.0,297.21,-1230.89,True,4000
7,3,293.03,3.26,289.77,0.0,0.0,0.0,289.77,-941.12,True,4000
8,3,283.66,0.91,282.74,0.0,0.0,0.0,282.74,-658.38,True,4000
9,3,274.77,0.0,274.77,0.0,0.0,0.0,274.77,-383.61,True,4000
10,3,266.29,0.0,266.29,0.0,0.0,0.0,266.29,-117.32,True,4000
11,3,258.2,0.0,258.2,0.0,0.0,0.0,258.2,140.88,True,4000
12,3,252.63,0.0,252.63,0.0,0.0,0.0,252.63,393.5,True,4000
1,5,418.44,0.0,418.44,196.0,560.0,100.0,-437.56,-437.56,False,4000
2,5,376.18,0.0,376.18,156.8,560.0,0.0,-340.62,-778.18,False,4000
3,5,348.88,0.0,348.88,117.6,560.0,0.0,-328.72,-1106.9,False,4000
4,5,328.22,0.0,328.22,78.4,560.0,0.0,-310.18,-1417.08,False,4000
5,5,313.5,0.0,313.5,39.2,560.0,0.0,-285.7,-1702.78,False,4000
6,5,302.94,5.74,297.21,0.0,0.0,0.0,297.21,-1405.58,True,4000
7,5,293.03,3.26,289.77,0.0,0.0,0.0,289.77,-1115.81,True,4000
8,5,283.66,0.91,282.74,0.0,0.0,0.0,282.74,-833.06,True,4000
9,5,274.77,0.0,274.77,0.0,0.0,0.0,274.77,-558.3,True,4000
10,5,266.29,0.0,266.29,0.0,0.0,0.0,266.29,-292.0,True,4000
11,5,258.2,0.0,258.2,0.0,0.0,0.0,258.2,-33.81,True,4000
12,5,252.63,0.0,252.63,0.0,0.0,0.0,252.63,218.82,True,4000
1,7,418.44,0.0,418.44,196.0,400.0,100.0,-277.56,-277.56,False,4000
2,7,376.18,0.0,376.18,168.0,400.0,0.0,-191.82,-469.38,False,4000
3,7,348.88,0.0,348.88,140.0,400.0,0.0,-191.12,-660.5,False,4000
4,7,328.22,0.0,328.22,112.0,400.0,0.0,-183.78,-844.28,False,4000
5,7,313.5,0.0,313.5,84.0,400.0,0.0,-170.5,-1014.78,False,4000
6,7,302.94,0.0,302.94,56.0,400.0,0.0,-153.06,-1167.84,False,4000
7,7,293.03,0.0,293.03,28.0,400.0,0.0,-134.97,-1302.82,False,4000
8,7,283.66,0.91,282.74,0.0,0.0,0.0,282.74,-1020.07,True,4000
9,7,274.77,0.0,274.77,0.0,0.0,0.0,274.77,-745.31,True,4000
10,7,266.29,0.0,266.29,0.0,0.0,0.0,266.29,-479.01,True,4000
11,7,258.2,0.0,258.2,0.0,0.0,0.0,258.2,-220.81,True,4000
12,7,252.63,0.0,252.63,0.0,0.0,0.0,252.63,31.81,True,4000
