Year,Loan Yrs,EBITDA (£),Tax (£),Operating CF (£),Interest (£),Principal Repaid (£),CAC (£),Free Cash (£),Cumulative Cash (£),CF Positive,Consumption kWh
1,3,418.44,0.0,418.44,196.0,933.33,100.0,-810.89,-810.89,False,4000
2,3,394.49,0.0,394.49,130.67,933.33,0.0,-669.51,-1480.4,False,4000
3,3,377.83,8.12,369.71,65.33,933.33,0.0,-628.96,-2109.36,False,4000
4,3,367.82,21.95,345.86,0.0,0.0,0.0,345.86,-1763.5,True,4000
5,3,364.3,21.07,343.22,0.0,0.0,0.0,343.22,-1420.28,True,4000
6,3,364.46,21.11,343.34,0.0,0.0,0.0,343.34,-1076.93,True,4000
7,3,364.7,21.17,343.52,0.0,0.0,0.0,343.52,-733.41,True,4000
8,3,364.97,21.24,343.73,0.0,0.0,0.0,343.73,-389.68,True,4000
9,3,365.26,21.31,343.94,0.0,0.0,0.0,343.94,-45.74,True,4000
10,3,365.54,21.39,344.16,0.0,0.0,0.0,344.16,298.42,True,4000
11,3,365.81,21.45,344.36,0.0,0.0,0.0,344.36,642.78,True,4000
12,3,365.81,21.45,344.36,0.0,0.0,0.0,344.36,987.14,True,4000
1,5,418.44,0.0,418.44,196.0,560.0,100.0,-437.56,-437.56,False,4000
2,5,394.49,0.0,394.49,156.8,560.0,0.0,-322.31,-759.87,False,4000
3,5,377.83,0.0,377.83,117.6,560.0,0.0,-299.77,-1059.64,False,4000
4,5,367.82,2.35,365.46,78.4,560.0,0.0,-272.94,-1332.57,False,4000
5,5,364.3,11.27,353.02,39.2,560.0,0.0,-246.18,-1578.75,False,4000
6,5,364.46,21.11,343.34,0.0,0.0,0.0,343.34,-1235.41,True,4000
7,5,364.7,21.17,343.52,0.0,0.0,0.0,343.52,-891.88,True,4000
8,5,364.97,21.24,343.73,0.0,0.0,0.0,343.73,-548.16,True,4000
9,5,365.26,21.31,343.94,0.0,0.0,0.0,343.94,-204.21,True,4000
10,5,365.54,21.39,344.16,0.0,0.0,0.0,344.16,139.94,True,4000
11,5,365.81,21.45,344.36,0.0,0.0,0.0,344.36,484.3,True,4000
12,5,365.81,21.45,344.36,0.0,0.0,0.0,344.36,828.66,True,4000
1,7,418.44,0.0,418.44,196.0,400.0,100.0,-277.56,-277.56,False,4000
2,7,394.49,0.0,394.49,168.0,400.0,0.0,-173.51,-451.07,False,4000
3,7,377.83,0.0,377.83,140.0,400.0,0.0,-162.17,-613.24,False,4000
4,7,367.82,0.0,367.82,112.0,400.0,0.0,-144.18,-757.42,False,4000
5,7,364.3,0.07,364.22,84.0,400.0,0.0,-119.78,-877.2,False,4000
6,7,364.46,7.11,357.34,56.0,400.0,0.0,-98.66,-975.85,False,4000
7,7,364.7,14.17,350.52,28.0,400.0,0.0,-77.48,-1053.33,False,4000
8,7,364.97,21.24,343.73,0.0,0.0,0.0,343.73,-709.6,True,4000
9,7,365.26,21.31,343.94,0.0,0.0,0.0,343.94,-365.66,True,4000
10,7,365.54,21.39,344.16,0.0,0.0,0.0,344.16,-21.5,True,4000
11,7,365.81,21.45,344.36,0.0,0.0,0.0,344.36,322.86,True,4000
12,7,365.81,21.45,344.36,0.0,0.0,0.0,344.36,667.21,True,4000
1,10,418.44,0.0,418.44,196.0,280.0,100.0,-157.56,-157.56,False,4000
2,10,394.49,0.0,394.49,176.4,280.0,0.0,-61.91,-219.47,False,4000
3,10,377.83,0.0,377.83,156.8,280.0,0.0,-58.97,-278.44,False,4000
4,10,367.82,0.0,367.82,137.2,280.0,0.0,-49.38,-327.82,False,4000
5,10,364.3,0.0,364.3,117.6,280.0,0.0,-33.3,-361.12,False,4000
6,10,364.46,0.0,364.46,98.0,280.0,0.0,-13.54,-374.66,False,4000
7,10,364.7,1.57,363.12,78.4,280.0,0.0,4.72,-369.94,True,4000
8,10,364.97,6.54,358.43,58.8,280.0,0.0,19.63,-350.31,True,4000
9,10,365.26,11.51,353.74,39.2,280.0,0.0,34.54,-315.77,True,4000
10,10,365.54,16.49,349.06,19.6,280.0,0.0,49.46,-266.31,True,4000
11,10,365.81,21.45,344.36,0.0,0.0,0.0,344.36,78.04,True,4000
12,10,365.81,21.45,344.36,0.0,0.0,0.0,344.36,422.4,True,4000
1,3,467.17,0.0,467.17,196.0,933.33,100.0,-762.17,-762.17,False,5000
2,3,442.69,8.01,434.68,130.67,933.33,0.0,-629.32,-1391.48,False,5000
3,3,425.67,20.08,405.58,65.33,933.33,0.0,-593.08,-1984.57,False,5000
4,3,415.43,33.86,381.57,0.0,0.0,0.0,381.57,-1602.99,True,5000
5,3,411.83,32.96,378.87,0.0,0.0,0.0,378.87,-1224.12,True,5000
6,3,412.0,33.0,379.0,0.0,0.0,0.0,379.0,-845.12,True,5000
7,3,412.24,33.06,379.18,0.0,0.0,0.0,379.18,-465.94,True,5000
8,3,412.52,33.13,379.39,0.0,0.0,0.0,379.39,-86.55,True,5000
9,3,412.81,33.2,379.61,0.0,0.0,0.0,379.61,293.06,True,5000
10,3,413.1,33.28,379.83,0.0,0.0,0.0,379.83,672.89,True,5000
11,3,413.38,33.35,380.04,0.0,0.0,0.0,380.04,1052.92,True,5000
12,3,413.38,33.35,380.04,0.0,0.0,0.0,380.04,1432.96,True,5000
1,5,467.17,0.0,467.17,196.0,560.0,100.0,-388.83,-388.83,False,5000
2,5,442.69,1.47,441.22,156.8,560.0,0.0,-275.58,-664.42,False,5000
3,5,425.67,7.02,418.65,117.6,560.0,0.0,-258.95,-923.37,False,5000
4,5,415.43,14.26,401.17,78.4,560.0,0.0,-237.23,-1160.59,False,5000
5,5,411.83,23.16,388.67,39.2,560.0,0.0,-210.53,-1371.12,False,5000
6,5,412.0,33.0,379.0,0.0,0.0,0.0,379.0,-992.12,True,5000
