Year,Loan Yrs,EBITDA (£),Tax (£),Operating CF (£),Interest (£),Principal Repaid (£),CAC (£),Free Cash (£),Cumulative Cash (£),CF Positive,Consumption kWh
1,3,418.44,0.0,418.44,196.0,933.33,100.0,-810.89,-810.89,False,4000
2,3,345.54,0.0,345.54,130.67,933.33,0.0,-718.46,-1529.35,False,4000
3,3,309.57,0.0,309.57,65.33,933.33,0.0,-689.1,-2218.45,False,4000
4,3,280.19,0.05,280.14,0.0,0.0,0.0,280.14,-1938.31,True,4000
5,3,256.44,0.0,256.44,0.0,0.0,0.0,256.44,-1681.87,True,4000
6,3,238.84,0.0,238.84,0.0,0.0,0.0,238.84,-1443.03,True,4000
7,3,223.39,0.0,223.39,0.0,0.0,0.0,223.39,-1219.64,True,4000
8,3,209.69,0.0,209.69,0.0,0.0,0.0,209.69,-1009.94,True,4000
9,3,197.44,0.0,197.44,0.0,0.0,0.0,197.44,-812.5,True,4000
10,3,186.41,0.0,186.41,0.0,0.0,0.0,186.41,-626.09,True,4000
11,3,176.41,0.0,176.41,0.0,0.0,0.0,176.41,-449.67,True,4000
12,3,172.48,0.0,172.48,0.0,0.0,0.0,172.48,-277.2,True,4000
1,5,418.44,0.0,418.44,196.0,560.0,100.0,-437.56,-437.56,False,4000
2,5,345.54,0.0,345.54,156.8,560.0,0.0,-371.26,-808.82,False,4000
3,5,309.57,0.0,309.57,117.6,560.0,0.0,-368.03,-1176.85,False,4000
4,5,280.19,0.0,280.19,78.4,560.0,0.0,-358.21,-1535.06,False,4000
5,5,256.44,0.0,256.44,39.2,560.0,0.0,-342.76,-1877.83,False,4000
6,5,238.84,0.0,238.84,0.0,0.0,0.0,238.84,-1638.98,True,4000
7,5,223.39,0.0,223.39,0.0,0.0,0.0,223.39,-1415.59,True,4000
8,5,209.69,0.0,209.69,0.0,0.0,0.0,209.69,-1205.89,True,4000
9,5,197.44,0.0,197.44,0.0,0.0,0.0,197.44,-1008.45,True,4000
10,5,186.41,0.0,186.41,0.0,0.0,0.0,186.41,-822.04,True,4000
11,5,176.41,0.0,176.41,0.0,0.0,0.0,176.41,-645.63,True,4000
12,5,172.48,0.0,172.48,0.0,0.0,0.0,172.48,-473.15,True,4000
1,7,418.44,0.0,418.44,196.0,400.0,100.0,-277.56,-277.56,False,4000
2,7,345.54,0.0,345.54,168.0,400.0,0.0,-222.46,-500.02,False,4000
