Year,Loan Yrs,Net Income (£),Add: Depreciation (£),Operating CF (£),Principal Repaid (£),Financing CF (£),Free Cash (£),Cumulative Cash (£),CF Positive
1,3,31.87,280.0,311.87,933.33,-933.33,-621.47,-621.47,False
2,3,80.87,280.0,360.87,933.33,-933.33,-572.47,-1193.93,False
3,3,129.87,280.0,409.87,933.33,-933.33,-523.47,-1717.4,False
4,3,178.87,280.0,458.87,0.0,-0.0,458.87,-1258.53,True
5,3,178.87,280.0,458.87,0.0,-0.0,458.87,-799.66,True
6,3,178.87,280.0,458.87,0.0,-0.0,458.87,-340.8,True
7,3,178.87,280.0,458.87,0.0,-0.0,458.87,118.07,True
8,3,178.87,280.0,458.87,0.0,-0.0,458.87,576.94,True
9,3,178.87,280.0,458.87,0.0,-0.0,458.87,1035.81,True
10,3,178.87,280.0,458.87,0.0,-0.0,458.87,1494.67,True
11,3,178.87,280.0,458.87,0.0,-0.0,458.87,1953.54,True
12,3,178.87,280.0,458.87,0.0,-0.0,458.87,2412.41,True
1,5,31.87,280.0,311.87,560.0,-560.0,-248.13,-248.13,False
2,5,61.27,280.0,341.27,560.0,-560.0,-218.73,-466.87,False
3,5,90.67,280.0,370.67,560.0,-560.0,-189.33,-656.2,False
4,5,120.07,280.0,400.07,560.0,-560.0,-159.93,-816.13,False
5,5,149.47,280.0,429.47,560.0,-560.0,-130.53,-946.66,False
6,5,178.87,280.0,458.87,0.0,-0.0,458.87,-487.8,True
7,5,178.87,280.0,458.87,0.0,-0.0,458.87,-28.93,True
8,5,178.87,280.0,458.87,0.0,-0.0,458.87,429.94,True
9,5,178.87,280.0,458.87,0.0,-0.0,458.87,888.81,True
10,5,178.87,280.0,458.87,0.0,-0.0,458.87,1347.67,True
11,5,178.87,280.0,458.87,0.0,-0.0,458.87,1806.54,True
12,5,178.87,280.0,458.87,0.0,-0.0,458.87,2265.41,True
1,7,31.87,280.0,311.87,400.0,-400.0,-88.13,-88.13,False
2,7,52.87,280.0,332.87,400.0,-400.0,-67.13,-155.27,False
3,7,73.87,280.0,353.87,400.0,-400.0,-46.13,-201.4,False
4,7,94.87,280.0,374.87,400.0,-400.0,-25.13,-226.53,False
5,7,115.87,280.0,395.87,400.0,-400.0,-4.13,-230.66,False
6,7,136.87,280.0,416.87,400.0,-400.0,16.87,-213.8,True
7,7,157.87,280.0,437.87,400.0,-400.0,37.87,-175.93,True
8,7,178.87,280.0,458.87,0.0,-0.0,458.87,282.94,True
9,7,178.87,280.0,458.87,0.0,-0.0,458.87,741.81,True
10,7,178.87,280.0,458.87,0.0,-0.0,458.87,1200.67,True
11,7,178.87,280.0,458.87,0.0,-0.0,458.87,1659.54,True
12,7,178.87,280.0,458.87,0.0,-0.0,458.87,2118.41,True
1,10,31.87,280.0,311.87,280.0,-280.0,31.87,31.87,True
2,10,46.57,280.0,326.57,280.0,-280.0,46.57,78.43,True
3,10,61.27,280.0,341.27,280.0,-280.0,61.27,139.7,True
4,10,75.97,280.0,355.97,280.0,-280.0,75.97,215.67,True
5,10,90.67,280.0,370.67,280.0,-280.0,90.67,306.34,True
6,10,105.37,280.0,385.37,280.0,-280.0,105.37,411.7,True
7,10,120.07,280.0,400.07,280.0,-280.0,120.07,531.77,True
8,10,134.77,280.0,414.77,280.0,-280.0,134.77,666.54,True
9,10,149.47,280.0,429.47,280.0,-280.0,149.47,816.01,True
10,10,164.17,280.0,444.17,280.0,-280.0,164.17,980.17,True
11,10,178.87,280.0,458.87,0.0,-0.0,458.87,1439.04,True
12,10,178.87,280.0,458.87,0.0,-0.0,458.87,1897.91,True
