Year,Loan Yrs,EBITDA (£),Tax (£),Operating CF (£),Interest (£),Principal Repaid (£),CAC (£),Free Cash (£),Cumulative Cash (£),CF Positive,Consumption kWh
1,3,366.44,0.0,366.44,196.0,933.33,100.0,-862.89,-862.89,False,4000
2,3,332.28,0.0,332.28,130.67,933.33,0.0,-731.72,-1594.62,False,4000
3,3,312.11,0.0,312.11,65.33,933.33,0.0,-686.56,-2281.18,False,4000
4,3,298.0,4.5,293.5,0.0,0.0,0.0,293.5,-1987.68,True,4000
5,3,289.6,2.4,287.2,0.0,0.0,0.0,287.2,-1700.48,True,4000
6,3,285.31,1.33,283.98,0.0,0.0,0.0,283.98,-1416.49,True,4000
7,3,281.42,0.35,281.06,0.0,0.0,0.0,281.06,-1135.43,True,4000
8,3,277.85,0.0,277.85,0.0,0.0,0.0,277.85,-857.58,True,4000
9,3,274.55,0.0,274.55,0.0,0.0,0.0,274.55,-583.04,True,4000
10,3,271.46,0.0,271.46,0.0,0.0,0.0,271.46,-311.57,True,4000
11,3,268.57,0.0,268.57,0.0,0.0,0.0,268.57,-43.0,True,4000
12,3,268.57,0.0,268.57,0.0,0.0,0.0,268.57,225.57,True,4000
1,5,366.44,0.0,366.44,196.0,560.0,100.0,-489.56,-489.56,False,4000
2,5,332.28,0.0,332.28,156.8,560.0,0.0,-384.52,-874.08,False,4000
3,5,312.11,0.0,312.11,117.6,560.0,0.0,-365.49,-1239.58,False,4000
4,5,298.0,0.0,298.0,78.4,560.0,0.0,-340.4,-1579.98,False,4000
5,5,289.6,0.0,289.6,39.2,560.0,0.0,-309.6,-1889.58,False,4000
6,5,285.31,1.33,283.98,0.0,0.0,0.0,283.98,-1605.59,True,4000
7,5,281.42,0.35,281.06,0.0,0.0,0.0,281.06,-1324.53,True,4000
8,5,277.85,0.0,277.85,0.0,0.0,0.0,277.85,-1046.68,True,4000
9,5,274.55,0.0,274.55,0.0,0.0,0.0,274.55,-772.14,True,4000
10,5,271.46,0.0,271.46,0.0,0.0,0.0,271.46,-500.67,True,4000
11,5,268.57,0.0,268.57,0.0,0.0,0.0,268.57,-232.1,True,4000
12,5,268.57,0.0,268.57,0.0,0.0,0.0,268.57,36.47,True,4000
1,7,366.44,0.0,366.44,196.0,400.0,100.0,-329.56,-329.56,False,4000
2,7,332.28,0.0,332.28,168.0,400.0,0.0,-235.72,-565.28,False,4000
3,7,312.11,0.0,312.11,140.0,400.0,0.0,-227.89,-793.18,False,4000
4,7,298.0,0.0,298.0,112.0,400.0,0.0,-214.0,-1007.18,False,4000
5,7,289.6,0.0,289.6,84.0,400.0,0.0,-194.4,-1201.58,False,4000
6,7,285.31,0.0,285.31,56.0,400.0,0.0,-170.69,-1372.27,False,4000
7,7,281.42,0.0,281.42,28.0,400.0,0.0,-146.58,-1518.85,False,4000
8,7,277.85,0.0,277.85,0.0,0.0,0.0,277.85,-1241.0,True,4000
9,7,274.55,0.0,274.55,0.0,0.0,0.0,274.55,-966.45,True,4000
10,7,271.46,0.0,271.46,0.0,0.0,0.0,271.46,-694.99,True,4000
11,7,268.57,0.0,268.57,0.0,0.0,0.0,268.57,-426.42,True,4000
12,7,268.57,0.0,268.57,0.0,0.0,0.0,268.57,-157.84,True,4000
1,10,366.44,0.0,366.44,196.0,280.0,100.0,-209.56,-209.56,False,4000
2,10,332.28,0.0,332.28,176.4,280.0,0.0,-124.12,-333.68,False,4000
3,10,312.11,0.0,312.11,156.8,280.0,0.0,-124.69,-458.38,False,4000
4,10,298.0,0.0,298.0,137.2,280.0,0.0,-119.2,-577.58,False,4000
5,10,289.6,0.0,289.6,117.6,280.0,0.0,-108.0,-685.58,False,4000
6,10,285.31,0.0,285.31,98.0,280.0,0.0,-92.69,-778.27,False,4000
7,10,281.42,0.0,281.42,78.4,280.0,0.0,-76.98,-855.25,False,4000
8,10,277.85,0.0,277.85,58.8,280.0,0.0,-60.95,-916.2,False,4000
9,10,274.55,0.0,274.55,39.2,280.0,0.0,-44.65,-960.85,False,4000
10,10,271.46,0.0,271.46,19.6,280.0,0.0,-28.14,-988.99,False,4000
11,10,268.57,0.0,268.57,0.0,0.0,0.0,268.57,-720.42,True,4000
12,10,268.57,0.0,268.57,0.0,0.0,0.0,268.57,-451.84,True,4000
1,3,405.17,0.0,405.17,196.0,933.33,100.0,-824.17,-824.17,False,5000
2,3,370.25,0.0,370.25,130.67,933.33,0.0,-693.75,-1517.92,False,5000
3,3,349.64,1.08,348.56,65.33,933.33,0.0,-650.1,-2168.02,False,5000
4,3,335.22,13.81,321.42,0.0,0.0,0.0,321.42,-1846.61,True,5000
5,3,326.64,11.66,314.98,0.0,0.0,0.0,314.98,-1531.63,True,5000
6,3,322.25,10.56,311.69,0.0,0.0,0.0,311.69,-1219.94,True,5000
7,3,318.28,9.57,308.71,0.0,0.0,0.0,308.71,-911.23,True,5000
8,3,314.63,8.66,305.97,0.0,0.0,0.0,305.97,-605.26,True,5000
9,3,311.25,7.81,303.44,0.0,0.0,0.0,303.44,-301.82,True,5000
10,3,308.1,7.03,301.08,0.0,0.0,0.0,301.08,-0.75,True,5000
11,3,305.15,6.29,298.86,0.0,0.0,0.0,298.86,298.11,True,5000
12,3,305.15,6.29,298.86,0.0,0.0,0.0,298.86,596.97,True,5000
1,5,405.17,0.0,405.17,196.0,560.0,100.0,-450.83,-450.83,False,5000
2,5,370.25,0.0,370.25,156.8,560.0,0.0,-346.55,-797.38,False,5000
3,5,349.64,0.0,349.64,117.6,560.0,0.0,-327.96,-1125.35,False,5000
4,5,335.22,0.0,335.22,78.4,560.0,0.0,-303.18,-1428.53,False,5000
5,5,326.64,1.86,324.78,39.2,560.0,0.0,-274.42,-1702.95,False,5000
6,5,322.25,10.56,311.69,0.0,0.0,0.0,311.69,-1391.26,True,5000
7,5,318.28,9.57,308.71,0.0,0.0,0.0,308.71,-1082.55,True,5000
8,5,314.63,8.66,305.97,0.0,0.0,0.0,305.97,-776.58,True,5000
9,5,311.25,7.81,303.44,0.0,0.0,0.0,303.44,-473.14,True,5000
10,5,308.1,7.03,301.08,0.0,0.0,0.0,301.08,-172.07,True,5000
11,5,305.15,6.29,298.86,0.0,0.0,0.0,298.86,126.79,True,5000
12,5,305.15,6.29,298.86,0.0,0.0,0.0,298.86,425.65,True,5000
1,7,405.17,0.0,405.17,196.0,400.0,100.0,-290.83,-290.83,False,5000
2,7,370.25,0.0,370.25,168.0,400.0,0.0,-197.75,-488.58,False,5000
3,7,349.64,0.0,349.64,140.0,400.0,0.0,-190.36,-678.95,False,5000
4,7,335.22,0.0,335.22,112.0,400.0,0.0,-176.78,-855.73,False,5000
5,7,326.64,0.0,326.64,84.0,400.0,0.0,-157.36,-1013.09,False,5000
6,7,322.25,0.0,322.25,56.0,400.0,0.0,-133.75,-1146.84,False,5000
7,7,318.28,2.57,315.71,28.0,400.0,0.0,-112.29,-1259.13,False,5000
8,7,314.63,8.66,305.97,0.0,0.0,0.0,305.97,-953.16,True,5000
9,7,311.25,7.81,303.44,0.0,0.0,0.0,303.44,-649.72,True,5000
10,7,308.1,7.03,301.08,0.0,0.0,0.0,301.08,-348.64,True,5000
11,7,305.15,6.29,298.86,0.0,0.0,0.0,298.86,-49.78,True,5000
12,7,305.15,6.29,298.86,0.0,0.0,0.0,298.86,249.08,True,5000
1,10,405.17,0.0,405.17,196.0,280.0,100.0,-170.83,-170.83,False,5000
2,10,370.25,0.0,370.25,176.4,280.0,0.0,-86.15,-256.98,False,5000
3,10,349.64,0.0,349.64,156.8,280.0,0.0,-87.16,-344.15,False,5000
4,10,335.22,0.0,335.22,137.2,280.0,0.0,-81.98,-426.13,False,5000
5,10,326.64,0.0,326.64,117.6,280.0,0.0,-70.96,-497.09,False,5000
6,10,322.25,0.0,322.25,98.0,280.0,0.0,-55.75,-552.84,False,5000
7,10,318.28,0.0,318.28,78.4,280.0,0.0,-40.12,-592.96,False,5000
8,10,314.63,0.0,314.63,58.8,280.0,0.0,-24.17,-617.13,False,5000
9,10,311.25,0.0,311.25,39.2,280.0,0.0,-7.95,-625.08,False,5000
10,10,308.1,2.13,305.98,19.6,280.0,0.0,6.38,-618.71,True,5000
11,10,305.15,6.29,298.86,0.0,0.0,0.0,298.86,-319.84,True,5000
12,10,305.15,6.29,298.86,0.0,0.0,0.0,298.86,-20.98,True,5000
1,3,443.89,0.0,443.89,196.0,933.33,100.0,-785.44,-785.44,False,6000
2,3,408.22,0.0,408.22,130.67,933.33,0.0,-655.78,-1441.22,False,6000
3,3,387.17,10.46,376.71,65.33,933.33,0.0,-621.96,-2063.17,False,6000
4,3,372.44,23.11,349.33,0.0,0.0,0.0,349.33,-1713.84,True,6000
