Year,Loan Yrs,EBITDA (£),Tax (£),Operating CF (£),Interest (£),Principal Repaid (£),CAC (£),Free Cash (£),Cumulative Cash (£),CF Positive,Consumption kWh
1,3,366.44,0.0,366.44,196.0,933.33,100.0,-862.89,-862.89,False,4000
2,3,342.49,0.0,342.49,130.67,933.33,0.0,-721.51,-1584.4,False,4000
3,3,325.83,0.0,325.83,65.33,933.33,0.0,-672.83,-2257.24,False,4000
4,3,315.82,8.95,306.86,0.0,0.0,0.0,306.86,-1950.37,True,4000
5,3,312.3,8.07,304.22,0.0,0.0,0.0,304.22,-1646.15,True,4000
6,3,312.46,8.11,304.34,0.0,0.0,0.0,304.34,-1341.81,True,4000
7,3,312.7,8.17,304.52,0.0,0.0,0.0,304.52,-1037.28,True,4000
8,3,312.97,8.24,304.73,0.0,0.0,0.0,304.73,-732.56,True,4000
9,3,313.26,8.31,304.94,0.0,0.0,0.0,304.94,-427.61,True,4000
10,3,313.54,8.39,305.16,0.0,0.0,0.0,305.16,-122.46,True,4000
11,3,313.81,8.45,305.36,0.0,0.0,0.0,305.36,182.9,True,4000
12,3,313.81,8.45,305.36,0.0,0.0,0.0,305.36,488.26,True,4000
1,5,366.44,0.0,366.44,196.0,560.0,100.0,-489.56,-489.56,False,4000
2,5,342.49,0.0,342.49,156.8,560.0,0.0,-374.31,-863.87,False,4000
3,5,325.83,0.0,325.83,117.6,560.0,0.0,-351.77,-1215.64,False,4000
4,5,315.82,0.0,315.82,78.4,560.0,0.0,-322.58,-1538.22,False,4000
5,5,312.3,0.0,312.3,39.2,560.0,0.0,-286.9,-1825.12,False,4000
6,5,312.46,8.11,304.34,0.0,0.0,0.0,304.34,-1520.78,True,4000
7,5,312.7,8.17,304.52,0.0,0.0,0.0,304.52,-1216.26,True,4000
8,5,312.97,8.24,304.73,0.0,0.0,0.0,304.73,-911.53,True,4000
9,5,313.26,8.31,304.94,0.0,0.0,0.0,304.94,-606.58,True,4000
10,5,313.54,8.39,305.16,0.0,0.0,0.0,305.16,-301.43,True,4000
11,5,313.81,8.45,305.36,0.0,0.0,0.0,305.36,3.93,True,4000
12,5,313.81,8.45,305.36,0.0,0.0,0.0,305.36,309.29,True,4000
1,7,366.44,0.0,366.44,196.0,400.0,100.0,-329.56,-329.56,False,4000
2,7,342.49,0.0,342.49,168.0,400.0,0.0,-225.51,-555.07,False,4000
3,7,325.83,0.0,325.83,140.0,400.0,0.0,-214.17,-769.24,False,4000
4,7,315.82,0.0,315.82,112.0,400.0,0.0,-196.18,-965.42,False,4000
5,7,312.3,0.0,312.3,84.0,400.0,0.0,-171.7,-1137.12,False,4000
6,7,312.46,0.0,312.46,56.0,400.0,0.0,-143.54,-1280.66,False,4000
7,7,312.7,1.17,311.52,28.0,400.0,0.0,-116.48,-1397.14,False,4000
8,7,312.97,8.24,304.73,0.0,0.0,0.0,304.73,-1092.41,True,4000
9,7,313.26,8.31,304.94,0.0,0.0,0.0,304.94,-787.47,True,4000
