Year,Loan Yrs,EBITDA (£),Tax (£),Operating CF (£),Interest (£),Principal Repaid (£),CAC (£),Free Cash (£),Cumulative Cash (£),CF Positive,Consumption kWh
1,3,366.44,0.0,366.44,196.0,933.33,100.0,-862.89,-862.89,False,4000
2,3,301.01,0.0,301.01,130.67,933.33,0.0,-762.99,-1625.88,False,4000
3,3,271.17,0.0,271.17,65.33,933.33,0.0,-727.49,-2353.38,False,4000
4,3,246.97,0.0,246.97,0.0,0.0,0.0,246.97,-2106.41,True,4000
5,3,227.74,0.0,227.74,0.0,0.0,0.0,227.74,-1878.67,True,4000
6,3,214.4,0.0,214.4,0.0,0.0,0.0,214.4,-1664.27,True,4000
7,3,202.81,0.0,202.81,0.0,0.0,0.0,202.81,-1461.46,True,4000
8,3,192.65,0.0,192.65,0.0,0.0,0.0,192.65,-1268.81,True,4000
9,3,183.66,0.0,183.66,0.0,0.0,0.0,183.66,-1085.15,True,4000
10,3,175.65,0.0,175.65,0.0,0.0,0.0,175.65,-909.5,True,4000
11,3,168.48,0.0,168.48,0.0,0.0,0.0,168.48,-741.02,True,4000
12,3,168.48,0.0,168.48,0.0,0.0,0.0,168.48,-572.54,True,4000
1,5,366.44,0.0,366.44,196.0,560.0,100.0,-489.56,-489.56,False,4000
2,5,301.01,0.0,301.01,156.8,560.0,0.0,-415.79,-905.35,False,4000
3,5,271.17,0.0,271.17,117.6,560.0,0.0,-406.43,-1311.78,False,4000
4,5,246.97,0.0,246.97,78.4,560.0,0.0,-391.43,-1703.21,False,4000
5,5,227.74,0.0,227.74,39.2,560.0,0.0,-371.46,-2074.67,False,4000
6,5,214.4,0.0,214.4,0.0,0.0,0.0,214.4,-1860.27,True,4000
7,5,202.81,0.0,202.81,0.0,0.0,0.0,202.81,-1657.46,True,4000
8,5,192.65,0.0,192.65,0.0,0.0,0.0,192.65,-1464.81,True,4000
9,5,183.66,0.0,183.66,0.0,0.0,0.0,183.66,-1281.15,True,4000
10,5,175.65,0.0,175.65,0.0,0.0,0.0,175.65,-1105.5,True,4000
11,5,168.48,0.0,168.48,0.0,0.0,0.0,168.48,-937.02,True,4000
12,5,168.48,0.0,168.48,0.0,0.0,0.0,168.48,-768.54,True,4000
1,7,366.44,0.0,366.44,196.0,400.0,100.0,-329.56,-329.56,False,4000
2,7,301.01,0.0,301.01,168.0,400.0,0.0,-266.99,-596.55,False,4000
3,7,271.17,0.0,271.17,140.0,400.0,0.0,-268.83,-865.38,False,4000
4,7,246.97,0.0,246.97,112.0,400.0,0.0,-265.03,-1130.41,False,4000
5,7,227.74,0.0,227.74,84.0,400.0,0.0,-256.26,-1386.67,False,4000
6,7,214.4,0.0,214.4,56.0,400.0,0.0,-241.6,-1628.27,False,4000
7,7,202.81,0.0,202.81,28.0,400.0,0.0,-225.19,-1853.46,False,4000
8,7,192.65,0.0,192.65,0.0,0.0,0.0,192.65,-1660.81,True,4000
9,7,183.66,0.0,183.66,0.0,0.0,0.0,183.66,-1477.15,True,4000
10,7,175.65,0.0,175.65,0.0,0.0,0.0,175.65,-1301.5,True,4000
11,7,168.48,0.0,168.48,0.0,0.0,0.0,168.48,-1133.02,True,4000
12,7,168.48,0.0,168.48,0.0,0.0,0.0,168.48,-964.54,True,4000
1,10,366.44,0.0,366.44,196.0,280.0,100.0,-209.56,-209.56,False,4000
2,10,301.01,0.0,301.01,176.4,280.0,0.0,-155.39,-364.95,False,4000
3,10,271.17,0.0,271.17,156.8,280.0,0.0,-165.63,-530.58,False,4000
4,10,246.97,0.0,246.97,137.2,280.0,0.0,-170.23,-700.81,False,4000
5,10,227.74,0.0,227.74,117.6,280.0,0.0,-169.86,-870.67,False,4000
6,10,214.4,0.0,214.4,98.0,280.0,0.0,-163.6,-1034.27,False,4000
7,10,202.81,0.0,202.81,78.4,280.0,0.0,-155.59,-1189.86,False,4000
8,10,192.65,0.0,192.65,58.8,280.0,0.0,-146.15,-1336.01,False,4000
9,10,183.66,0.0,183.66,39.2,280.0,0.0,-135.54,-1471.55,False,4000
10,10,175.65,0.0,175.65,19.6,280.0,0.0,-123.95,-1595.5,False,4000
11,10,168.48,0.0,168.48,0.0,0.0,0.0,168.48,-1427.02,True,4000
12,10,168.48,0.0,168.48,0.0,0.0,0.0,168.48,-1258.54,True,4000
1,3,405.17,0.0,405.17,196.0,933.33,100.0,-824.17,-824.17,False,5000
2,3,338.3,0.0,338.3,130.67,933.33,0.0,-725.7,-1549.87,False,5000
3,3,307.8,0.0,307.8,65.33,933.33,0.0,-690.86,-2240.73,False,5000
4,3,283.07,0.77,282.3,0.0,0.0,0.0,282.3,-1958.43,True,5000
5,3,263.41,0.0,263.41,0.0,0.0,0.0,263.41,-1695.02,True,5000
6,3,249.79,0.0,249.79,0.0,0.0,0.0,249.79,-1445.23,True,5000
7,3,237.94,0.0,237.94,0.0,0.0,0.0,237.94,-1207.29,True,5000
8,3,227.55,0.0,227.55,0.0,0.0,0.0,227.55,-979.74,True,5000
9,3,218.37,0.0,218.37,0.0,0.0,0.0,218.37,-761.37,True,5000
10,3,210.19,0.0,210.19,0.0,0.0,0.0,210.19,-551.18,True,5000
11,3,202.85,0.0,202.85,0.0,0.0,0.0,202.85,-348.33,True,5000
12,3,202.85,0.0,202.85,0.0,0.0,0.0,202.85,-145.48,True,5000
1,5,405.17,0.0,405.17,196.0,560.0,100.0,-450.83,-450.83,False,5000
2,5,338.3,0.0,338.3,156.8,560.0,0.0,-378.5,-829.34,False,5000
3,5,307.8,0.0,307.8,117.6,560.0,0.0,-369.8,-1199.13,False,5000
4,5,283.07,0.0,283.07,78.4,560.0,0.0,-355.33,-1554.46,False,5000
5,5,263.41,0.0,263.41,39.2,560.0,0.0,-335.79,-1890.25,False,5000
6,5,249.79,0.0,249.79,0.0,0.0,0.0,249.79,-1640.46,True,5000
7,5,237.94,0.0,237.94,0.0,0.0,0.0,237.94,-1402.52,True,5000
8,5,227.55,0.0,227.55,0.0,0.0,0.0,227.55,-1174.97,True,5000
9,5,218.37,0.0,218.37,0.0,0.0,0.0,218.37,-956.6,True,5000
10,5,210.19,0.0,210.19,0.0,0.0,0.0,210.19,-746.41,True,5000
11,5,202.85,0.0,202.85,0.0,0.0,0.0,202.85,-543.56,True,5000
12,5,202.85,0.0,202.85,0.0,0.0,0.0,202.85,-340.71,True,5000
1,7,405.17,0.0,405.17,196.0,400.0,100.0,-290.83,-290.83,False,5000
2,7,338.3,0.0,338.3,168.0,400.0,0.0,-229.7,-520.54,False,5000
3,7,307.8,0.0,307.8,140.0,400.0,0.0,-232.2,-752.73,False,5000
4,7,283.07,0.0,283.07,112.0,400.0,0.0,-228.93,-981.66,False,5000
5,7,263.41,0.0,263.41,84.0,400.0,0.0,-220.59,-1202.25,False,5000
6,7,249.79,0.0,249.79,56.0,400.0,0.0,-206.21,-1408.46,False,5000
7,7,237.94,0.0,237.94,28.0,400.0,0.0,-190.06,-1598.52,False,5000
8,7,227.55,0.0,227.55,0.0,0.0,0.0,227.55,-1370.97,True,5000
9,7,218.37,0.0,218.37,0.0,0.0,0.0,218.37,-1152.6,True,5000
10,7,210.19,0.0,210.19,0.0,0.0,0.0,210.19,-942.41,True,5000
11,7,202.85,0.0,202.85,0.0,0.0,0.0,202.85,-739.56,True,5000
12,7,202.85,0.0,202.85,0.0,0.0,0.0,202.85,-536.71,True,5000
1,10,405.17,0.0,405.17,196.0,280.0,100.0,-170.83,-170.83,False,5000
2,10,338.3,0.0,338.3,176.4,280.0,0.0,-118.1,-288.94,False,5000
3,10,307.8,0.0,307.8,156.8,280.0,0.0,-129.0,-417.93,False,5000
4,10,283.07,0.0,283.07,137.2,280.0,0.0,-134.13,-552.06,False,5000
5,10,263.41,0.0,263.41,117.6,280.0,0.0,-134.19,-686.25,False,5000
6,10,249.79,0.0,249.79,98.0,280.0,0.0,-128.21,-814.46,False,5000
7,10,237.94,0.0,237.94,78.4,280.0,0.0,-120.46,-934.92,False,5000
8,10,227.55,0.0,227.55,58.8,280.0,0.0,-111.25,-1046.17,False,5000
9,10,218.37,0.0,218.37,39.2,280.0,0.0,-100.83,-1147.0,False,5000
10,10,210.19,0.0,210.19,19.6,280.0,0.0,-89.41,-1236.41,False,5000
11,10,202.85,0.0,202.85,0.0,0.0,0.0,202.85,-1033.56,True,5000
12,10,202.85,0.0,202.85,0.0,0.0,0.0,202.85,-830.71,True,5000
1,3,443.89,0.0,443.89,196.0,933.33,100.0,-785.44,-785.44,False,6000
2,3,375.58,0.0,375.58,130.67,933.33,0.0,-688.42,-1473.86,False,6000
3,3,344.44,0.0,344.44,65.33,933.33,0.0,-654.23,-2128.09,False,6000
4,3,319.17,9.79,309.38,0.0,0.0,0.0,309.38,-1818.71,True,6000
5,3,299.09,4.77,294.32,0.0,0.0,0.0,294.32,-1524.39,True,6000
6,3,285.17,1.29,283.88,0.0,0.0,0.0,283.88,-1240.52,True,6000
7,3,273.07,0.0,273.07,0.0,0.0,0.0,273.07,-967.45,True,6000
8,3,262.46,0.0,262.46,0.0,0.0,0.0,262.46,-704.99,True,6000
9,3,253.08,0.0,253.08,0.0,0.0,0.0,253.08,-451.91,True,6000
