Year,Loan Yrs,EBITDA (£),Tax (£),Operating CF (£),Interest (£),Principal Repaid (£),CAC (£),Free Cash (£),Cumulative Cash (£),CF Positive,Consumption kWh
1,3,718.44,60.61,657.83,196.0,933.33,100.0,-571.5,-571.5,False,4000
2,3,676.18,66.38,609.8,130.67,933.33,0.0,-454.2,-1025.7,False,4000
3,3,648.88,75.89,572.99,65.33,933.33,0.0,-425.67,-1451.37,False,4000
4,3,628.22,87.05,541.16,0.0,0.0,0.0,541.16,-910.21,True,4000
5,3,613.5,83.37,530.12,0.0,0.0,0.0,530.12,-380.09,True,4000
6,3,602.94,80.74,522.21,0.0,0.0,0.0,522.21,142.12,True,4000
7,3,593.03,78.26,514.77,0.0,0.0,0.0,514.77,656.89,True,4000
8,3,583.66,75.91,507.74,0.0,0.0,0.0,507.74,1164.63,True,4000
9,3,574.77,73.69,501.07,0.0,0.0,0.0,501.07,1665.71,True,4000
10,3,566.29,71.57,494.72,0.0,0.0,0.0,494.72,2160.43,True,4000
11,3,558.2,69.55,488.65,0.0,0.0,0.0,488.65,2649.08,True,4000
12,3,552.63,68.16,484.47,0.0,0.0,0.0,484.47,3133.54,True,4000
1,5,718.44,60.61,657.83,196.0,560.0,100.0,-198.17,-198.17,False,4000
2,5,676.18,59.85,616.34,156.8,560.0,0.0,-100.46,-298.63,False,4000
3,5,648.88,62.82,586.06,117.6,560.0,0.0,-91.54,-390.17,False,4000
4,5,628.22,67.45,560.76,78.4,560.0,0.0,-77.64,-467.81,False,4000
5,5,613.5,73.57,539.92,39.2,560.0,0.0,-59.28,-527.09,False,4000
6,5,602.94,80.74,522.21,0.0,0.0,0.0,522.21,-4.88,True,4000
7,5,593.03,78.26,514.77,0.0,0.0,0.0,514.77,509.89,True,4000
8,5,583.66,75.91,507.74,0.0,0.0,0.0,507.74,1017.63,True,4000
9,5,574.77,73.69,501.07,0.0,0.0,0.0,501.07,1518.71,True,4000
10,5,566.29,71.57,494.72,0.0,0.0,0.0,494.72,2013.43,True,4000
11,5,558.2,69.55,488.65,0.0,0.0,0.0,488.65,2502.08,True,4000
12,5,552.63,68.16,484.47,0.0,0.0,0.0,484.47,2986.54,True,4000
1,7,718.44,60.61,657.83,196.0,400.0,100.0,-38.17,-38.17,False,4000
2,7,676.18,57.05,619.14,168.0,400.0,0.0,51.14,12.97,True,4000
3,7,648.88,57.22,591.66,140.0,400.0,0.0,51.66,64.63,True,4000
4,7,628.22,59.05,569.16,112.0,400.0,0.0,57.16,121.79,True,4000
5,7,613.5,62.37,551.12,84.0,400.0,0.0,67.12,188.91,True,4000
6,7,602.94,66.74,536.21,56.0,400.0,0.0,80.21,269.12,True,4000
7,7,593.03,71.26,521.77,28.0,400.0,0.0,93.77,362.89,True,4000
8,7,583.66,75.91,507.74,0.0,0.0,0.0,507.74,870.63,True,4000
9,7,574.77,73.69,501.07,0.0,0.0,0.0,501.07,1371.71,True,4000
10,7,566.29,71.57,494.72,0.0,0.0,0.0,494.72,1866.43,True,4000
11,7,558.2,69.55,488.65,0.0,0.0,0.0,488.65,2355.08,True,4000
12,7,552.63,68.16,484.47,0.0,0.0,0.0,484.47,2839.54,True,4000
1,10,718.44,60.61,657.83,196.0,280.0,100.0,81.83,81.83,True,4000
2,10,676.18,54.95,621.24,176.4,280.0,0.0,164.84,246.67,True,4000
3,10,648.88,53.02,595.86,156.8,280.0,0.0,159.06,405.73,True,4000
4,10,628.22,52.75,575.46,137.2,280.0,0.0,158.26,563.99,True,4000
5,10,613.5,53.97,559.52,117.6,280.0,0.0,161.92,725.91,True,4000
6,10,602.94,56.24,546.71,98.0,280.0,0.0,168.71,894.62,True,4000
7,10,593.03,58.66,534.37,78.4,280.0,0.0,175.97,1070.59,True,4000
8,10,583.66,61.21,522.44,58.8,280.0,0.0,183.64,1254.23,True,4000
9,10,574.77,63.89,510.87,39.2,280.0,0.0,191.67,1445.91,True,4000
10,10,566.29,66.67,499.62,19.6,280.0,0.0,200.02,1645.93,True,4000
11,10,558.2,69.55,488.65,0.0,0.0,0.0,488.65,2134.58,True,4000
12,10,552.63,68.16,484.47,0.0,0.0,0.0,484.47,2619.04,True,4000
1,3,797.17,80.29,716.87,196.0,933.33,100.0,-512.46,-512.46,False,5000
2,3,753.98,85.83,668.15,130.67,933.33,0.0,-395.85,-908.31,False,5000
3,3,726.08,95.19,630.89,65.33,933.33,0.0,-367.78,-1276.08,False,5000
4,3,704.96,106.24,598.72,0.0,0.0,0.0,598.72,-677.37,True,5000
5,3,689.92,102.48,587.44,0.0,0.0,0.0,587.44,-89.93,True,5000
6,3,679.13,99.78,579.35,0.0,0.0,0.0,579.35,489.42,True,5000
7,3,669.0,97.25,571.75,0.0,0.0,0.0,571.75,1061.16,True,5000
8,3,659.42,94.86,564.57,0.0,0.0,0.0,564.57,1625.73,True,5000
9,3,650.33,92.58,557.75,0.0,0.0,0.0,557.75,2183.48,True,5000
10,3,641.68,90.42,551.26,0.0,0.0,0.0,551.26,2734.74,True,5000
11,3,633.4,88.35,545.05,0.0,0.0,0.0,545.05,3279.79,True,5000
12,3,627.71,86.93,540.78,0.0,0.0,0.0,540.78,3820.57,True,5000
1,5,797.17,80.29,716.87,196.0,560.0,100.0,-139.13,-139.13,False,5000
2,5,753.98,79.29,674.68,156.8,560.0,0.0,-42.12,-181.24,False,5000
3,5,726.08,82.12,643.96,117.6,560.0,0.0,-33.64,-214.88,False,5000
4,5,704.96,86.64,618.32,78.4,560.0,0.0,-20.08,-234.97,False,5000
5,5,689.92,92.68,597.24,39.2,560.0,0.0,-1.96,-236.93,False,5000
6,5,679.13,99.78,579.35,0.0,0.0,0.0,579.35,342.42,True,5000
7,5,669.0,97.25,571.75,0.0,0.0,0.0,571.75,914.16,True,5000
8,5,659.42,94.86,564.57,0.0,0.0,0.0,564.57,1478.73,True,5000
9,5,650.33,92.58,557.75,0.0,0.0,0.0,557.75,2036.48,True,5000
10,5,641.68,90.42,551.26,0.0,0.0,0.0,551.26,2587.74,True,5000
11,5,633.4,88.35,545.05,0.0,0.0,0.0,545.05,3132.79,True,5000
12,5,627.71,86.93,540.78,0.0,0.0,0.0,540.78,3673.57,True,5000
1,7,797.17,80.29,716.87,196.0,400.0,100.0,20.87,20.87,True,5000
