Year,Loan Yrs,EBITDA (£),Tax (£),Operating CF (£),Interest (£),Principal Repaid (£),CAC (£),Free Cash (£),Cumulative Cash (£),CF Positive,Consumption kWh
1,3,718.44,60.61,657.83,196.0,933.33,100.0,-571.5,-571.5,False,4000
2,3,686.19,68.88,617.31,130.67,933.33,0.0,-446.69,-1018.19,False,4000
3,3,662.06,79.18,582.88,65.33,933.33,0.0,-415.79,-1433.98,False,4000
4,3,644.99,91.25,553.74,0.0,0.0,0.0,553.74,-880.24,True,4000
5,3,634.43,88.61,545.82,0.0,0.0,0.0,545.82,-334.41,True,4000
6,3,627.48,86.87,540.61,0.0,0.0,0.0,540.61,206.2,True,4000
7,3,620.73,85.18,535.55,0.0,0.0,0.0,535.55,741.75,True,4000
8,3,614.15,83.54,530.61,0.0,0.0,0.0,530.61,1272.36,True,4000
9,3,607.7,81.93,525.78,0.0,0.0,0.0,525.78,1798.13,True,4000
10,3,601.38,80.34,521.03,0.0,0.0,0.0,521.03,2319.16,True,4000
11,3,595.16,78.79,516.37,0.0,0.0,0.0,516.37,2835.54,True,4000
12,3,588.85,77.21,511.64,0.0,0.0,0.0,511.64,3347.17,True,4000
1,5,718.44,60.61,657.83,196.0,560.0,100.0,-198.17,-198.17,False,4000
2,5,686.19,62.35,623.84,156.8,560.0,0.0,-92.96,-291.13,False,4000
3,5,662.06,66.12,595.95,117.6,560.0,0.0,-81.65,-372.78,False,4000
4,5,644.99,71.65,573.34,78.4,560.0,0.0,-65.06,-437.84,False,4000
5,5,634.43,78.81,555.62,39.2,560.0,0.0,-43.58,-481.41,False,4000
6,5,627.48,86.87,540.61,0.0,0.0,0.0,540.61,59.2,True,4000
7,5,620.73,85.18,535.55,0.0,0.0,0.0,535.55,594.75,True,4000
8,5,614.15,83.54,530.61,0.0,0.0,0.0,530.61,1125.36,True,4000
9,5,607.7,81.93,525.78,0.0,0.0,0.0,525.78,1651.13,True,4000
10,5,601.38,80.34,521.03,0.0,0.0,0.0,521.03,2172.16,True,4000
11,5,595.16,78.79,516.37,0.0,0.0,0.0,516.37,2688.54,True,4000
12,5,588.85,77.21,511.64,0.0,0.0,0.0,511.64,3200.17,True,4000
1,7,718.44,60.61,657.83,196.0,400.0,100.0,-38.17,-38.17,False,4000
