Year,Loan Yrs,EBITDA (£),Tax (£),Operating CF (£),Interest (£),Principal Repaid (£),CAC (£),Free Cash (£),Cumulative Cash (£),CF Positive,Consumption kWh
1,3,718.44,60.61,657.83,196.0,933.33,100.0,-571.5,-571.5,False,4000
2,3,645.54,58.72,586.82,130.67,933.33,0.0,-477.18,-1048.68,False,4000
3,3,609.57,66.06,543.51,65.33,933.33,0.0,-455.16,-1503.84,False,4000
4,3,580.19,75.05,505.14,0.0,0.0,0.0,505.14,-998.7,True,4000
5,3,556.44,69.11,487.33,0.0,0.0,0.0,487.33,-511.37,True,4000
6,3,538.84,64.71,474.13,0.0,0.0,0.0,474.13,-37.24,True,4000
7,3,523.39,60.85,462.55,0.0,0.0,0.0,462.55,425.31,True,4000
8,3,509.69,57.42,452.27,0.0,0.0,0.0,452.27,877.58,True,4000
9,3,497.44,54.36,443.08,0.0,0.0,0.0,443.08,1320.66,True,4000
10,3,486.41,51.6,434.81,0.0,0.0,0.0,434.81,1755.47,True,4000
11,3,476.41,49.1,427.31,0.0,0.0,0.0,427.31,2182.78,True,4000
12,3,472.48,48.12,424.36,0.0,0.0,0.0,424.36,2607.14,True,4000
1,5,718.44,60.61,657.83,196.0,560.0,100.0,-198.17,-198.17,False,4000
2,5,645.54,52.19,593.36,156.8,560.0,0.0,-123.44,-321.61,False,4000
3,5,609.57,52.99,556.58,117.6,560.0,0.0,-121.02,-442.64,False,4000
4,5,580.19,55.45,524.74,78.4,560.0,0.0,-113.66,-556.3,False,4000
5,5,556.44,59.31,497.13,39.2,560.0,0.0,-102.07,-658.37,False,4000
6,5,538.84,64.71,474.13,0.0,0.0,0.0,474.13,-184.24,True,4000
7,5,523.39,60.85,462.55,0.0,0.0,0.0,462.55,278.31,True,4000
8,5,509.69,57.42,452.27,0.0,0.0,0.0,452.27,730.58,True,4000
9,5,497.44,54.36,443.08,0.0,0.0,0.0,443.08,1173.66,True,4000
10,5,486.41,51.6,434.81,0.0,0.0,0.0,434.81,1608.47,True,4000
11,5,476.41,49.1,427.31,0.0,0.0,0.0,427.31,2035.78,True,4000
