Year,Loan Yrs,Revenue (£),COGS (£),Gross Profit (£),EBITDA (£),Depreciation (£),EBIT (£),Interest (£),EBT (£),Tax 25% (£),Net Income (£)
1,3,1404.05,305.88,1098.16,626.58,280.0,346.58,196.0,150.58,37.64,112.93
2,3,1404.05,305.88,1098.16,626.58,280.0,346.58,130.67,215.91,53.98,161.93
3,3,1404.05,305.88,1098.16,626.58,280.0,346.58,65.33,281.24,70.31,210.93
4,3,1404.05,305.88,1098.16,626.58,280.0,346.58,0.0,346.58,86.64,259.93
5,3,1404.05,305.88,1098.16,626.58,280.0,346.58,0.0,346.58,86.64,259.93
6,3,1404.05,305.88,1098.16,626.58,280.0,346.58,0.0,346.58,86.64,259.93
7,3,1404.05,305.88,1098.16,626.58,280.0,346.58,0.0,346.58,86.64,259.93
8,3,1404.05,305.88,1098.16,626.58,280.0,346.58,0.0,346.58,86.64,259.93
9,3,1404.05,305.88,1098.16,626.58,280.0,346.58,0.0,346.58,86.64,259.93
10,3,1404.05,305.88,1098.16,626.58,280.0,346.58,0.0,346.58,86.64,259.93
11,3,1404.05,305.88,1098.16,626.58,280.0,346.58,0.0,346.58,86.64,259.93
12,3,1404.05,305.88,1098.16,626.58,280.0,346.58,0.0,346.58,86.64,259.93
1,5,1404.05,305.88,1098.16,626.58,280.0,346.58,196.0,150.58,37.64,112.93
2,5,1404.05,305.88,1098.16,626.58,280.0,346.58,156.8,189.78,47.44,142.33
3,5,1404.05,305.88,1098.16,626.58,280.0,346.58,117.6,228.98,57.24,171.73
4,5,1404.05,305.88,1098.16,626.58,280.0,346.58,78.4,268.18,67.04,201.13
5,5,1404.05,305.88,1098.16,626.58,280.0,346.58,39.2,307.38,76.84,230.53
6,5,1404.05,305.88,1098.16,626.58,280.0,346.58,0.0,346.58,86.64,259.93
7,5,1404.05,305.88,1098.16,626.58,280.0,346.58,0.0,346.58,86.64,259.93
8,5,1404.05,305.88,1098.16,626.58,280.0,346.58,0.0,346.58,86.64,259.93
9,5,1404.05,305.88,1098.16,626.58,280.0,346.58,0.0,346.58,86.64,259.93
10,5,1404.05,305.88,1098.16,626.58,280.0,346.58,0.0,346.58,86.64,259.93
11,5,1404.05,305.88,1098.16,626.58,280.0,346.58,0.0,346.58,86.64,259.93
12,5,1404.05,305.88,1098.16,626.58,280.0,346.58,0.0,346.58,86.64,259.93
1,7,1404.05,305.88,1098.16,626.58,280.0,346.58,196.0,150.58,37.64,112.93
2,7,1404.05,305.88,1098.16,626.58,280.0,346.58,168.0,178.58,44.64,133.93
3,7,1404.05,305.88,1098.16,626.58,280.0,346.58,140.0,206.58,51.64,154.93
4,7,1404.05,305.88,1098.16,626.58,280.0,346.58,112.0,234.58,58.64,175.93
5,7,1404.05,305.88,1098.16,626.58,280.0,346.58,84.0,262.58,65.64,196.93
6,7,1404.05,305.88,1098.16,626.58,280.0,346.58,56.0,290.58,72.64,217.93
7,7,1404.05,305.88,1098.16,626.58,280.0,346.58,28.0,318.58,79.64,238.93
8,7,1404.05,305.88,1098.16,626.58,280.0,346.58,0.0,346.58,86.64,259.93
9,7,1404.05,305.88,1098.16,626.58,280.0,346.58,0.0,346.58,86.64,259.93
10,7,1404.05,305.88,1098.16,626.58,280.0,346.58,0.0,346.58,86.64,259.93
11,7,1404.05,305.88,1098.16,626.58,280.0,346.58,0.0,346.58,86.64,259.93
12,7,1404.05,305.88,1098.16,626.58,280.0,346.58,0.0,346.58,86.64,259.93
1,10,1404.05,305.88,1098.16,626.58,280.0,346.58,196.0,150.58,37.64,112.93
2,10,1404.05,305.88,1098.16,626.58,280.0,346.58,176.4,170.18,42.54,127.63
3,10,1404.05,305.88,1098.16,626.58,280.0,346.58,156.8,189.78,47.44,142.33
4,10,1404.05,305.88,1098.16,626.58,280.0,346.58,137.2,209.38,52.34,157.03
5,10,1404.05,305.88,1098.16,626.58,280.0,346.58,117.6,228.98,57.24,171.73
6,10,1404.05,305.88,1098.16,626.58,280.0,346.58,98.0,248.58,62.14,186.43
7,10,1404.05,305.88,1098.16,626.58,280.0,346.58,78.4,268.18,67.04,201.13
8,10,1404.05,305.88,1098.16,626.58,280.0,346.58,58.8,287.78,71.94,215.83
9,10,1404.05,305.88,1098.16,626.58,280.0,346.58,39.2,307.38,76.84,230.53
10,10,1404.05,305.88,1098.16,626.58,280.0,346.58,19.6,326.98,81.74,245.23
11,10,1404.05,305.88,1098.16,626.58,280.0,346.58,0.0,346.58,86.64,259.93
12,10,1404.05,305.88,1098.16,626.58,280.0,346.58,0.0,346.58,86.64,259.93
