Year,Loan Yrs,Revenue (£),  Customer Bill,  Battery Rev,  Spread Scale,  Degrade Scale,COGS (£),Gross Profit (£),Opex (£),  Staff Cost,EBITDA (£),Depreciation (£),EBIT (£),Interest (£),EBT (£),Tax 25% (£),Net Income (£),Consumption kWh
1,3,1334.85,896.0,438.85,1.0,1.0,339.46,995.4,512.95,50.0,482.44,280.0,202.44,196.0,6.44,1.61,4.83,4000
2,3,1292.59,896.0,396.59,0.922,0.98,339.46,953.14,512.95,50.0,440.18,280.0,160.18,130.67,29.51,7.38,22.14,4000
3,3,1265.29,896.0,369.29,0.876,0.96,339.46,925.83,512.95,50.0,412.88,280.0,132.88,65.33,67.55,16.89,50.66,4000
4,3,1244.63,896.0,348.63,0.844,0.941,339.46,905.17,512.95,50.0,392.22,280.0,112.22,0.0,112.22,28.05,84.16,4000
5,3,1229.91,896.0,333.91,0.825,0.922,339.46,890.45,512.95,50.0,377.5,280.0,97.5,0.0,97.5,24.37,73.12,4000
6,3,1219.35,896.0,323.35,0.815,0.904,339.46,879.9,512.95,50.0,366.94,280.0,86.94,0.0,86.94,21.74,65.21,4000
7,3,1209.44,896.0,313.44,0.806,0.886,339.46,869.98,512.95,50.0,357.03,280.0,77.03,0.0,77.03,19.26,57.77,4000
8,3,1200.07,896.0,304.07,0.798,0.868,339.46,860.61,512.95,50.0,347.66,280.0,67.66,0.0,67.66,16.91,50.74,4000
9,3,1191.18,896.0,295.18,0.791,0.851,339.46,851.72,512.95,50.0,338.77,280.0,58.77,0.0,58.77,14.69,44.07,4000
10,3,1182.7,896.0,286.7,0.784,0.834,339.46,843.25,512.95,50.0,330.29,280.0,50.29,0.0,50.29,12.57,37.72,4000
11,3,1174.61,896.0,278.61,0.777,0.817,339.46,835.15,512.95,50.0,322.2,280.0,42.2,0.0,42.2,10.55,31.65,4000
12,3,1169.04,896.0,273.04,0.777,0.801,339.46,829.58,512.95,50.0,316.63,280.0,36.63,0.0,36.63,9.16,27.47,4000
1,5,1334.85,896.0,438.85,1.0,1.0,339.46,995.4,512.95,50.0,482.44,280.0,202.44,196.0,6.44,1.61,4.83,4000
2,5,1292.59,896.0,396.59,0.922,0.98,339.46,953.14,512.95,50.0,440.18,280.0,160.18,156.8,3.38,0.85,2.54,4000
3,5,1265.29,896.0,369.29,0.876,0.96,339.46,925.83,512.95,50.0,412.88,280.0,132.88,117.6,15.28,3.82,11.46,4000
4,5,1244.63,896.0,348.63,0.844,0.941,339.46,905.17,512.95,50.0,392.22,280.0,112.22,78.4,33.82,8.45,25.36,4000
5,5,1229.91,896.0,333.91,0.825,0.922,339.46,890.45,512.95,50.0,377.5,280.0,97.5,39.2,58.3,14.57,43.72,4000
6,5,1219.35,896.0,323.35,0.815,0.904,339.46,879.9,512.95,50.0,366.94,280.0,86.94,0.0,86.94,21.74,65.21,4000
7,5,1209.44,896.0,313.44,0.806,0.886,339.46,869.98,512.95,50.0,357.03,280.0,77.03,0.0,77.03,19.26,57.77,4000
8,5,1200.07,896.0,304.07,0.798,0.868,339.46,860.61,512.95,50.0,347.66,280.0,67.66,0.0,67.66,16.91,50.74,4000
9,5,1191.18,896.0,295.18,0.791,0.851,339.46,851.72,512.95,50.0,338.77,280.0,58.77,0.0,58.77,14.69,44.07,4000
10,5,1182.7,896.0,286.7,0.784,0.834,339.46,843.25,512.95,50.0,330.29,280.0,50.29,0.0,50.29,12.57,37.72,4000
11,5,1174.61,896.0,278.61,0.777,0.817,339.46,835.15,512.95,50.0,322.2,280.0,42.2,0.0,42.2,10.55,31.65,4000
12,5,1169.04,896.0,273.04,0.777,0.801,339.46,829.58,512.95,50.0,316.63,280.0,36.63,0.0,36.63,9.16,27.47,4000
1,7,1334.85,896.0,438.85,1.0,1.0,339.46,995.4,512.95,50.0,482.44,280.0,202.44,196.0,6.44,1.61,4.83,4000
2,7,1292.59,896.0,396.59,0.922,0.98,339.46,953.14,512.95,50.0,440.18,280.0,160.18,168.0,-7.82,0.0,-7.82,4000
3,7,1265.29,896.0,369.29,0.876,0.96,339.46,925.83,512.95,50.0,412.88,280.0,132.88,140.0,-7.12,0.0,-7.12,4000
4,7,1244.63,896.0,348.63,0.844,0.941,339.46,905.17,512.95,50.0,392.22,280.0,112.22,112.0,0.22,0.05,0.16,4000
5,7,1229.91,896.0,333.91,0.825,0.922,339.46,890.45,512.95,50.0,377.5,280.0,97.5,84.0,13.5,3.37,10.12,4000
6,7,1219.35,896.0,323.35,0.815,0.904,339.46,879.9,512.95,50.0,366.94,280.0,86.94,56.0,30.94,7.74,23.21,4000
7,7,1209.44,896.0,313.44,0.806,0.886,339.46,869.98,512.95,50.0,357.03,280.0,77.03,28.0,49.03,12.26,36.77,4000
8,7,1200.07,896.0,304.07,0.798,0.868,339.46,860.61,512.95,50.0,347.66,280.0,67.66,0.0,67.66,16.91,50.74,4000
