Year,Loan Yrs,Revenue (£),  Customer Bill,  Battery Rev,  Spread Scale,COGS (£),Gross Profit (£),Opex (£),  Staff Cost,EBITDA (£),Depreciation (£),EBIT (£),Interest (£),EBT (£),Tax 25% (£),Net Income (£),Consumption kWh
1,3,1334.85,896.0,438.85,1.0,339.46,995.4,512.95,50.0,482.44,280.0,202.44,196.0,6.44,1.61,4.83,4000
2,3,1310.9,896.0,414.9,0.945,339.46,971.44,512.95,50.0,458.49,280.0,178.49,130.67,47.82,11.96,35.87,4000
3,3,1294.24,896.0,398.24,0.907,339.46,954.79,512.95,50.0,441.83,280.0,161.83,65.33,96.5,24.12,72.37,4000
4,3,1284.23,896.0,388.23,0.885,339.46,944.77,512.95,50.0,431.82,280.0,151.82,0.0,151.82,37.95,113.86,4000
5,3,1280.71,896.0,384.71,0.877,339.46,941.25,512.95,50.0,428.3,280.0,148.3,0.0,148.3,37.07,111.22,4000
6,3,1280.87,896.0,384.87,0.877,339.46,941.41,512.95,50.0,428.46,280.0,148.46,0.0,148.46,37.11,111.34,4000
7,3,1281.11,896.0,385.11,0.878,339.46,941.65,512.95,50.0,428.7,280.0,148.7,0.0,148.7,37.17,111.52,4000
8,3,1281.38,896.0,385.38,0.878,339.46,941.92,512.95,50.0,428.97,280.0,148.97,0.0,148.97,37.24,111.73,4000
9,3,1281.67,896.0,385.67,0.879,339.46,942.21,512.95,50.0,429.26,280.0,149.26,0.0,149.26,37.31,111.94,4000
10,3,1281.95,896.0,385.95,0.879,339.46,942.5,512.95,50.0,429.54,280.0,149.54,0.0,149.54,37.39,112.16,4000
11,3,1282.22,896.0,386.22,0.88,339.46,942.77,512.95,50.0,429.81,280.0,149.81,0.0,149.81,37.45,112.36,4000
12,3,1282.22,896.0,386.22,0.88,339.46,942.77,512.95,50.0,429.81,280.0,149.81,0.0,149.81,37.45,112.36,4000
1,5,1334.85,896.0,438.85,1.0,339.46,995.4,512.95,50.0,482.44,280.0,202.44,196.0,6.44,1.61,4.83,4000
2,5,1310.9,896.0,414.9,0.945,339.46,971.44,512.95,50.0,458.49,280.0,178.49,156.8,21.69,5.42,16.27,4000
3,5,1294.24,896.0,398.24,0.907,339.46,954.79,512.95,50.0,441.83,280.0,161.83,117.6,44.23,11.06,33.17,4000
4,5,1284.23,896.0,388.23,0.885,339.46,944.77,512.95,50.0,431.82,280.0,151.82,78.4,73.42,18.35,55.06,4000
5,5,1280.71,896.0,384.71,0.877,339.46,941.25,512.95,50.0,428.3,280.0,148.3,39.2,109.1,27.27,81.82,4000
6,5,1280.87,896.0,384.87,0.877,339.46,941.41,512.95,50.0,428.46,280.0,148.46,0.0,148.46,37.11,111.34,4000
7,5,1281.11,896.0,385.11,0.878,339.46,941.65,512.95,50.0,428.7,280.0,148.7,0.0,148.7,37.17,111.52,4000
8,5,1281.38,896.0,385.38,0.878,339.46,941.92,512.95,50.0,428.97,280.0,148.97,0.0,148.97,37.24,111.73,4000
9,5,1281.67,896.0,385.67,0.879,339.46,942.21,512.95,50.0,429.26,280.0,149.26,0.0,149.26,37.31,111.94,4000
