Year,Loan Yrs,Revenue (£),  Customer Bill,  Battery Rev,  Spread Scale,  Degrade Scale,COGS (£),Gross Profit (£),Opex (£),  Staff Cost,EBITDA (£),Depreciation (£),EBIT (£),Interest (£),EBT (£),Tax 25% (£),Net Income (£),Consumption kWh
1,3,1334.85,896.0,438.85,1.0,1.0,339.46,995.4,512.95,50.0,482.44,280.0,202.44,196.0,6.44,1.61,4.83,4000
2,3,1261.95,896.0,365.95,0.851,0.98,339.46,922.5,512.95,50.0,409.54,280.0,129.54,130.67,-1.13,0.0,-1.13,4000
3,3,1225.98,896.0,329.98,0.783,0.96,339.46,886.52,512.95,50.0,373.57,280.0,93.57,65.33,28.23,7.06,21.18,4000
4,3,1196.6,896.0,300.6,0.728,0.941,339.46,857.14,512.95,50.0,344.19,280.0,64.19,0.0,64.19,16.05,48.14,4000
5,3,1172.85,896.0,276.85,0.684,0.922,339.46,833.39,512.95,50.0,320.44,280.0,40.44,0.0,40.44,10.11,30.33,4000
6,3,1155.26,896.0,259.26,0.654,0.904,339.46,815.8,512.95,50.0,302.84,280.0,22.84,0.0,22.84,5.71,17.13,4000
7,3,1139.8,896.0,243.8,0.627,0.886,339.46,800.35,512.95,50.0,287.39,280.0,7.39,0.0,7.39,1.85,5.55,4000
8,3,1126.1,896.0,230.1,0.604,0.868,339.46,786.65,512.95,50.0,273.69,280.0,-6.31,0.0,-6.31,0.0,-6.31,4000
9,3,1113.85,896.0,217.85,0.583,0.851,339.46,774.4,512.95,50.0,261.44,280.0,-18.56,0.0,-18.56,0.0,-18.56,4000
10,3,1102.82,896.0,206.82,0.565,0.834,339.46,763.37,512.95,50.0,250.41,280.0,-29.59,0.0,-29.59,0.0,-29.59,4000
11,3,1092.82,896.0,196.82,0.549,0.817,339.46,753.37,512.95,50.0,240.41,280.0,-39.59,0.0,-39.59,0.0,-39.59,4000
12,3,1088.89,896.0,192.89,0.549,0.801,339.46,749.43,512.95,50.0,236.48,280.0,-43.52,0.0,-43.52,0.0,-43.52,4000
1,5,1334.85,896.0,438.85,1.0,1.0,339.46,995.4,512.95,50.0,482.44,280.0,202.44,196.0,6.44,1.61,4.83,4000
2,5,1261.95,896.0,365.95,0.851,0.98,339.46,922.5,512.95,50.0,409.54,280.0,129.54,156.8,-27.26,0.0,-27.26,4000
3,5,1225.98,896.0,329.98,0.783,0.96,339.46,886.52,512.95,50.0,373.57,280.0,93.57,117.6,-24.03,0.0,-24.03,4000
4,5,1196.6,896.0,300.6,0.728,0.941,339.46,857.14,512.95,50.0,344.19,280.0,64.19,78.4,-14.21,0.0,-14.21,4000
5,5,1172.85,896.0,276.85,0.684,0.922,339.46,833.39,512.95,50.0,320.44,280.0,40.44,39.2,1.24,0.31,0.93,4000
6,5,1155.26,896.0,259.26,0.654,0.904,339.46,815.8,512.95,50.0,302.84,280.0,22.84,0.0,22.84,5.71,17.13,4000
7,5,1139.8,896.0,243.8,0.627,0.886,339.46,800.35,512.95,50.0,287.39,280.0,7.39,0.0,7.39,1.85,5.55,4000
8,5,1126.1,896.0,230.1,0.604,0.868,339.46,786.65,512.95,50.0,273.69,280.0,-6.31,0.0,-6.31,0.0,-6.31,4000
9,5,1113.85,896.0,217.85,0.583,0.851,339.46,774.4,512.95,50.0,261.44,280.0,-18.56,0.0,-18.56,0.0,-18.56,4000
10,5,1102.82,896.0,206.82,0.565,0.834,339.46,763.37,512.95,50.0,250.41,280.0,-29.59,0.0,-29.59,0.0,-29.59,4000
11,5,1092.82,896.0,196.82,0.549,0.817,339.46,753.37,512.95,50.0,240.41,280.0,-39.59,0.0,-39.59,0.0,-39.59,4000
