Year,Loan Yrs,Revenue (£),  Customer Bill,  Battery Rev,  Spread Scale,  Degrade Scale,COGS (£),Gross Profit (£),Opex (£),  Staff Cost,EBITDA (£),Depreciation (£),EBIT (£),Interest (£),EBT (£),Tax 25% (£),Net Income (£),Consumption kWh
1,3,1270.85,832.0,438.85,1.0,1.0,339.46,931.4,512.95,50.0,418.44,280.0,138.44,196.0,-57.56,0.0,-57.56,4000
2,3,1228.59,832.0,396.59,0.922,0.98,339.46,889.14,512.95,50.0,376.18,280.0,96.18,130.67,-34.49,0.0,-34.49,4000
3,3,1201.29,832.0,369.29,0.876,0.96,339.46,861.83,512.95,50.0,348.88,280.0,68.88,65.33,3.55,0.89,2.66,4000
4,3,1180.63,832.0,348.63,0.844,0.941,339.46,841.17,512.95,50.0,328.22,280.0,48.22,0.0,48.22,12.05,36.16,4000
5,3,1165.91,832.0,333.91,0.825,0.922,339.46,826.45,512.95,50.0,313.5,280.0,33.5,0.0,33.5,8.37,25.12,4000
6,3,1155.35,832.0,323.35,0.815,0.904,339.46,815.9,512.95,50.0,302.94,280.0,22.94,0.0,22.94,5.74,17.21,4000
7,3,1145.44,832.0,313.44,0.806,0.886,339.46,805.98,512.95,50.0,293.03,280.0,13.03,0.0,13.03,3.26,9.77,4000
8,3,1136.07,832.0,304.07,0.798,0.868,339.46,796.61,512.95,50.0,283.66,280.0,3.66,0.0,3.66,0.91,2.74,4000
9,3,1127.18,832.0,295.18,0.791,0.851,339.46,787.72,512.95,50.0,274.77,280.0,-5.23,0.0,-5.23,0.0,-5.23,4000
10,3,1118.7,832.0,286.7,0.784,0.834,339.46,779.25,512.95,50.0,266.29,280.0,-13.71,0.0,-13.71,0.0,-13.71,4000
11,3,1110.61,832.0,278.61,0.777,0.817,339.46,771.15,512.95,50.0,258.2,280.0,-21.8,0.0,-21.8,0.0,-21.8,4000
12,3,1105.04,832.0,273.04,0.777,0.801,339.46,765.58,512.95,50.0,252.63,280.0,-27.37,0.0,-27.37,0.0,-27.37,4000
1,5,1270.85,832.0,438.85,1.0,1.0,339.46,931.4,512.95,50.0,418.44,280.0,138.44,196.0,-57.56,0.0,-57.56,4000
2,5,1228.59,832.0,396.59,0.922,0.98,339.46,889.14,512.95,50.0,376.18,280.0,96.18,156.8,-60.62,0.0,-60.62,4000
3,5,1201.29,832.0,369.29,0.876,0.96,339.46,861.83,512.95,50.0,348.88,280.0,68.88,117.6,-48.72,0.0,-48.72,4000
4,5,1180.63,832.0,348.63,0.844,0.941,339.46,841.17,512.95,50.0,328.22,280.0,48.22,78.4,-30.18,0.0,-30.18,4000
5,5,1165.91,832.0,333.91,0.825,0.922,339.46,826.45,512.95,50.0,313.5,280.0,33.5,39.2,-5.7,0.0,-5.7,4000
6,5,1155.35,832.0,323.35,0.815,0.904,339.46,815.9,512.95,50.0,302.94,280.0,22.94,0.0,22.94,5.74,17.21,4000
7,5,1145.44,832.0,313.44,0.806,0.886,339.46,805.98,512.95,50.0,293.03,280.0,13.03,0.0,13.03,3.26,9.77,4000
8,5,1136.07,832.0,304.07,0.798,0.868,339.46,796.61,512.95,50.0,283.66,280.0,3.66,0.0,3.66,0.91,2.74,4000
9,5,1127.18,832.0,295.18,0.791,0.851,339.46,787.72,512.95,50.0,274.77,280.0,-5.23,0.0,-5.23,0.0,-5.23,4000
10,5,1118.7,832.0,286.7,0.784,0.834,339.46,779.25,512.95,50.0,266.29,280.0,-13.71,0.0,-13.71,0.0,-13.71,4000
11,5,1110.61,832.0,278.61,0.777,0.817,339.46,771.15,512.95,50.0,258.2,280.0,-21.8,0.0,-21.8,0.0,-21.8,4000
12,5,1105.04,832.0,273.04,0.777,0.801,339.46,765.58,512.95,50.0,252.63,280.0,-27.37,0.0,-27.37,0.0,-27.37,4000
1,7,1270.85,832.0,438.85,1.0,1.0,339.46,931.4,512.95,50.0,418.44,280.0,138.44,196.0,-57.56,0.0,-57.56,4000
2,7,1228.59,832.0,396.59,0.922,0.98,339.46,889.14,512.95,50.0,376.18,280.0,96.18,168.0,-71.82,0.0,-71.82,4000
3,7,1201.29,832.0,369.29,0.876,0.96,339.46,861.83,512.95,50.0,348.88,280.0,68.88,140.0,-71.12,0.0,-71.12,4000
4,7,1180.63,832.0,348.63,0.844,0.941,339.46,841.17,512.95,50.0,328.22,280.0,48.22,112.0,-63.78,0.0,-63.78,4000
5,7,1165.91,832.0,333.91,0.825,0.922,339.46,826.45,512.95,50.0,313.5,280.0,33.5,84.0,-50.5,0.0,-50.5,4000
6,7,1155.35,832.0,323.35,0.815,0.904,339.46,815.9,512.95,50.0,302.94,280.0,22.94,56.0,-33.06,0.0,-33.06,4000
7,7,1145.44,832.0,313.44,0.806,0.886,339.46,805.98,512.95,50.0,293.03,280.0,13.03,28.0,-14.97,0.0,-14.97,4000
8,7,1136.07,832.0,304.07,0.798,0.868,339.46,796.61,512.95,50.0,283.66,280.0,3.66,0.0,3.66,0.91,2.74,4000
9,7,1127.18,832.0,295.18,0.791,0.851,339.46,787.72,512.95,50.0,274.77,280.0,-5.23,0.0,-5.23,0.0,-5.23,4000
10,7,1118.7,832.0,286.7,0.784,0.834,339.46,779.25,512.95,50.0,266.29,280.0,-13.71,0.0,-13.71,0.0,-13.71,4000
11,7,1110.61,832.0,278.61,0.777,0.817,339.46,771.15,512.95,50.0,258.2,280.0,-21.8,0.0,-21.8,0.0,-21.8,4000
12,7,1105.04,832.0,273.04,0.777,0.801,339.46,765.58,512.95,50.0,252.63,280.0,-27.37,0.0,-27.37,0.0,-27.37,4000
1,10,1270.85,832.0,438.85,1.0,1.0,339.46,931.4,512.95,50.0,418.44,280.0,138.44,196.0,-57.56,0.0,-57.56,4000
2,10,1228.59,832.0,396.59,0.922,0.98,339.46,889.14,512.95,50.0,376.18,280.0,96.18,176.4,-80.22,0.0,-80.22,4000
3,10,1201.29,832.0,369.29,0.876,0.96,339.46,861.83,512.95,50.0,348.88,280.0,68.88,156.8,-87.92,0.0,-87.92,4000
4,10,1180.63,832.0,348.63,0.844,0.941,339.46,841.17,512.95,50.0,328.22,280.0,48.22,137.2,-88.98,0.0,-88.98,4000
5,10,1165.91,832.0,333.91,0.825,0.922,339.46,826.45,512.95,50.0,313.5,280.0,33.5,117.6,-84.1,0.0,-84.1,4000
6,10,1155.35,832.0,323.35,0.815,0.904,339.46,815.9,512.95,50.0,302.94,280.0,22.94,98.0,-75.06,0.0,-75.06,4000
7,10,1145.44,832.0,313.44,0.806,0.886,339.46,805.98,512.95,50.0,293.03,280.0,13.03,78.4,-65.37,0.0,-65.37,4000
8,10,1136.07,832.0,304.07,0.798,0.868,339.46,796.61,512.95,50.0,283.66,280.0,3.66,58.8,-55.14,0.0,-55.14,4000
9,10,1127.18,832.0,295.18,0.791,0.851,339.46,787.72,512.95,50.0,274.77,280.0,-5.23,39.2,-44.43,0.0,-44.43,4000
10,10,1118.7,832.0,286.7,0.784,0.834,339.46,779.25,512.95,50.0,266.29,280.0,-13.71,19.6,-33.31,0.0,-33.31,4000
11,10,1110.61,832.0,278.61,0.777,0.817,339.46,771.15,512.95,50.0,258.2,280.0,-21.8,0.0,-21.8,0.0,-21.8,4000
12,10,1105.04,832.0,273.04,0.777,0.801,339.46,765.58,512.95,50.0,252.63,280.0,-27.37,0.0,-27.37,0.0,-27.37,4000
1,3,1470.5,1022.0,448.5,1.0,1.0,424.32,1046.18,579.01,50.0,467.17,280.0,187.17,196.0,-8.83,0.0,-8.83,5000
2,3,1427.31,1022.0,405.31,0.922,0.98,424.32,1002.99,579.01,50.0,423.98,280.0,143.98,130.67,13.31,3.33,9.98,5000
3,3,1399.41,1022.0,377.41,0.876,0.96,424.32,975.09,579.01,50.0,396.08,280.0,116.08,65.33,50.74,12.69,38.06,5000
4,3,1378.29,1022.0,356.29,0.844,0.941,424.32,953.97,579.01,50.0,374.96,280.0,94.96,0.0,94.96,23.74,71.22,5000
5,3,1363.25,1022.0,341.25,0.825,0.922,424.32,938.93,579.01,50.0,359.92,280.0,79.92,0.0,79.92,19.98,59.94,5000
6,3,1352.46,1022.0,330.46,0.815,0.904,424.32,928.14,579.01,50.0,349.13,280.0,69.13,0.0,69.13,17.28,51.85,5000
7,3,1342.33,1022.0,320.33,0.806,0.886,424.32,918.01,579.01,50.0,339.0,280.0,59.0,0.0,59.0,14.75,44.25,5000
8,3,1332.75,1022.0,310.75,0.798,0.868,424.32,908.43,579.01,50.0,329.42,280.0,49.42,0.0,49.42,12.36,37.07,5000
9,3,1323.66,1022.0,301.66,0.791,0.851,424.32,899.34,579.01,50.0,320.33,280.0,40.33,0.0,40.33,10.08,30.25,5000
10,3,1315.01,1022.0,293.01,0.784,0.834,424.32,890.69,579.01,50.0,311.68,280.0,31.68,0.0,31.68,7.92,23.76,5000
11,3,1306.73,1022.0,284.73,0.777,0.817,424.32,882.41,579.01,50.0,303.4,280.0,23.4,0.0,23.4,5.85,17.55,5000
12,3,1301.04,1022.0,279.04,0.777,0.801,424.32,876.72,579.01,50.0,297.71,280.0,17.71,0.0,17.71,4.43,13.28,5000
1,5,1470.5,1022.0,448.5,1.0,1.0,424.32,1046.18,579.01,50.0,467.17,280.0,187.17,196.0,-8.83,0.0,-8.83,5000
2,5,1427.31,1022.0,405.31,0.922,0.98,424.32,1002.99,579.01,50.0,423.98,280.0,143.98,156.8,-12.82,0.0,-12.82,5000
