Year,Loan Yrs,Revenue (£),  Customer Bill,  Battery Rev,  Spread Scale,  Degrade Scale,COGS (£),Gross Profit (£),Opex (£),  Staff Cost,EBITDA (£),Depreciation (£),EBIT (£),Interest (£),EBT (£),Tax 25% (£),Net Income (£),Consumption kWh
1,3,1270.85,832.0,438.85,1.0,1.0,339.46,931.4,512.95,50.0,418.44,280.0,138.44,196.0,-57.56,0.0,-57.56,4000
2,3,1238.6,832.0,406.6,0.945,0.98,339.46,899.15,512.95,50.0,386.19,280.0,106.19,130.67,-24.48,0.0,-24.48,4000
3,3,1214.47,832.0,382.47,0.907,0.96,339.46,875.02,512.95,50.0,362.06,280.0,82.06,65.33,16.73,4.18,12.55,4000
4,3,1197.4,832.0,365.4,0.885,0.941,339.46,857.94,512.95,50.0,344.99,280.0,64.99,0.0,64.99,16.25,48.74,4000
5,3,1186.84,832.0,354.84,0.877,0.922,339.46,847.39,512.95,50.0,334.43,280.0,54.43,0.0,54.43,13.61,40.82,4000
6,3,1179.89,832.0,347.89,0.877,0.904,339.46,840.44,512.95,50.0,327.48,280.0,47.48,0.0,47.48,11.87,35.61,4000
7,3,1173.14,832.0,341.14,0.878,0.886,339.46,833.69,512.95,50.0,320.73,280.0,40.73,0.0,40.73,10.18,30.55,4000
8,3,1166.56,832.0,334.56,0.878,0.868,339.46,827.1,512.95,50.0,314.15,280.0,34.15,0.0,34.15,8.54,25.61,4000
9,3,1160.11,832.0,328.11,0.879,0.851,339.46,820.66,512.95,50.0,307.7,280.0,27.7,0.0,27.7,6.93,20.78,4000
10,3,1153.79,832.0,321.79,0.879,0.834,339.46,814.33,512.95,50.0,301.38,280.0,21.38,0.0,21.38,5.34,16.03,4000
11,3,1147.57,832.0,315.57,0.88,0.817,339.46,808.12,512.95,50.0,295.16,280.0,15.16,0.0,15.16,3.79,11.37,4000
12,3,1141.26,832.0,309.26,0.88,0.801,339.46,801.8,512.95,50.0,288.85,280.0,8.85,0.0,8.85,2.21,6.64,4000
1,5,1270.85,832.0,438.85,1.0,1.0,339.46,931.4,512.95,50.0,418.44,280.0,138.44,196.0,-57.56,0.0,-57.56,4000
2,5,1238.6,832.0,406.6,0.945,0.98,339.46,899.15,512.95,50.0,386.19,280.0,106.19,156.8,-50.61,0.0,-50.61,4000
3,5,1214.47,832.0,382.47,0.907,0.96,339.46,875.02,512.95,50.0,362.06,280.0,82.06,117.6,-35.54,0.0,-35.54,4000
4,5,1197.4,832.0,365.4,0.885,0.941,339.46,857.94,512.95,50.0,344.99,280.0,64.99,78.4,-13.41,0.0,-13.41,4000
5,5,1186.84,832.0,354.84,0.877,0.922,339.46,847.39,512.95,50.0,334.43,280.0,54.43,39.2,15.23,3.81,11.42,4000
