Year,Loan Yrs,Revenue (£),  Customer Bill,  Battery Rev,  Spread Scale,COGS (£),Gross Profit (£),Opex (£),  Staff Cost,EBITDA (£),Depreciation (£),EBIT (£),Interest (£),EBT (£),Tax 25% (£),Net Income (£),Consumption kWh
1,3,1270.85,832.0,438.85,1.0,339.46,931.4,512.95,50.0,418.44,280.0,138.44,196.0,-57.56,0.0,-57.56,4000
2,3,1205.42,832.0,373.42,0.851,339.46,865.96,512.95,50.0,353.01,280.0,73.01,130.67,-57.66,0.0,-57.66,4000
3,3,1175.58,832.0,343.58,0.783,339.46,836.13,512.95,50.0,323.17,280.0,43.17,65.33,-22.16,0.0,-22.16,4000
4,3,1151.38,832.0,319.38,0.728,339.46,811.92,512.95,50.0,298.97,280.0,18.97,0.0,18.97,4.74,14.23,4000
5,3,1132.15,832.0,300.15,0.684,339.46,792.69,512.95,50.0,279.74,280.0,-0.26,0.0,-0.26,0.0,-0.26,4000
6,3,1118.81,832.0,286.81,0.654,339.46,779.36,512.95,50.0,266.4,280.0,-13.6,0.0,-13.6,0.0,-13.6,4000
7,3,1107.22,832.0,275.22,0.627,339.46,767.77,512.95,50.0,254.81,280.0,-25.19,0.0,-25.19,0.0,-25.19,4000
8,3,1097.06,832.0,265.06,0.604,339.46,757.6,512.95,50.0,244.65,280.0,-35.35,0.0,-35.35,0.0,-35.35,4000
9,3,1088.07,832.0,256.07,0.583,339.46,748.61,512.95,50.0,235.66,280.0,-44.34,0.0,-44.34,0.0,-44.34,4000
10,3,1080.06,832.0,248.06,0.565,339.46,740.61,512.95,50.0,227.65,280.0,-52.35,0.0,-52.35,0.0,-52.35,4000
11,3,1072.89,832.0,240.89,0.549,339.46,733.43,512.95,50.0,220.48,280.0,-59.52,0.0,-59.52,0.0,-59.52,4000
12,3,1072.89,832.0,240.89,0.549,339.46,733.43,512.95,50.0,220.48,280.0,-59.52,0.0,-59.52,0.0,-59.52,4000
1,5,1270.85,832.0,438.85,1.0,339.46,931.4,512.95,50.0,418.44,280.0,138.44,196.0,-57.56,0.0,-57.56,4000
2,5,1205.42,832.0,373.42,0.851,339.46,865.96,512.95,50.0,353.01,280.0,73.01,156.8,-83.79,0.0,-83.79,4000
3,5,1175.58,832.0,343.58,0.783,339.46,836.13,512.95,50.0,323.17,280.0,43.17,117.6,-74.43,0.0,-74.43,4000
4,5,1151.38,832.0,319.38,0.728,339.46,811.92,512.95,50.0,298.97,280.0,18.97,78.4,-59.43,0.0,-59.43,4000
5,5,1132.15,832.0,300.15,0.684,339.46,792.69,512.95,50.0,279.74,280.0,-0.26,39.2,-39.46,0.0,-39.46,4000
6,5,1118.81,832.0,286.81,0.654,339.46,779.36,512.95,50.0,266.4,280.0,-13.6,0.0,-13.6,0.0,-13.6,4000
7,5,1107.22,832.0,275.22,0.627,339.46,767.77,512.95,50.0,254.81,280.0,-25.19,0.0,-25.19,0.0,-25.19,4000
8,5,1097.06,832.0,265.06,0.604,339.46,757.6,512.95,50.0,244.65,280.0,-35.35,0.0,-35.35,0.0,-35.35,4000
9,5,1088.07,832.0,256.07,0.583,339.46,748.61,512.95,50.0,235.66,280.0,-44.34,0.0,-44.34,0.0,-44.34,4000
10,5,1080.06,832.0,248.06,0.565,339.46,740.61,512.95,50.0,227.65,280.0,-52.35,0.0,-52.35,0.0,-52.35,4000
11,5,1072.89,832.0,240.89,0.549,339.46,733.43,512.95,50.0,220.48,280.0,-59.52,0.0,-59.52,0.0,-59.52,4000
12,5,1072.89,832.0,240.89,0.549,339.46,733.43,512.95,50.0,220.48,280.0,-59.52,0.0,-59.52,0.0,-59.52,4000
1,7,1270.85,832.0,438.85,1.0,339.46,931.4,512.95,50.0,418.44,280.0,138.44,196.0,-57.56,0.0,-57.56,4000
2,7,1205.42,832.0,373.42,0.851,339.46,865.96,512.95,50.0,353.01,280.0,73.01,168.0,-94.99,0.0,-94.99,4000
3,7,1175.58,832.0,343.58,0.783,339.46,836.13,512.95,50.0,323.17,280.0,43.17,140.0,-96.83,0.0,-96.83,4000
4,7,1151.38,832.0,319.38,0.728,339.46,811.92,512.95,50.0,298.97,280.0,18.97,112.0,-93.03,0.0,-93.03,4000
5,7,1132.15,832.0,300.15,0.684,339.46,792.69,512.95,50.0,279.74,280.0,-0.26,84.0,-84.26,0.0,-84.26,4000
6,7,1118.81,832.0,286.81,0.654,339.46,779.36,512.95,50.0,266.4,280.0,-13.6,56.0,-69.6,0.0,-69.6,4000
7,7,1107.22,832.0,275.22,0.627,339.46,767.77,512.95,50.0,254.81,280.0,-25.19,28.0,-53.19,0.0,-53.19,4000
8,7,1097.06,832.0,265.06,0.604,339.46,757.6,512.95,50.0,244.65,280.0,-35.35,0.0,-35.35,0.0,-35.35,4000
9,7,1088.07,832.0,256.07,0.583,339.46,748.61,512.95,50.0,235.66,280.0,-44.34,0.0,-44.34,0.0,-44.34,4000
10,7,1080.06,832.0,248.06,0.565,339.46,740.61,512.95,50.0,227.65,280.0,-52.35,0.0,-52.35,0.0,-52.35,4000
11,7,1072.89,832.0,240.89,0.549,339.46,733.43,512.95,50.0,220.48,280.0,-59.52,0.0,-59.52,0.0,-59.52,4000
12,7,1072.89,832.0,240.89,0.549,339.46,733.43,512.95,50.0,220.48,280.0,-59.52,0.0,-59.52,0.0,-59.52,4000
1,10,1270.85,832.0,438.85,1.0,339.46,931.4,512.95,50.0,418.44,280.0,138.44,196.0,-57.56,0.0,-57.56,4000
2,10,1205.42,832.0,373.42,0.851,339.46,865.96,512.95,50.0,353.01,280.0,73.01,176.4,-103.39,0.0,-103.39,4000
3,10,1175.58,832.0,343.58,0.783,339.46,836.13,512.95,50.0,323.17,280.0,43.17,156.8,-113.63,0.0,-113.63,4000
4,10,1151.38,832.0,319.38,0.728,339.46,811.92,512.95,50.0,298.97,280.0,18.97,137.2,-118.23,0.0,-118.23,4000
5,10,1132.15,832.0,300.15,0.684,339.46,792.69,512.95,50.0,279.74,280.0,-0.26,117.6,-117.86,0.0,-117.86,4000
6,10,1118.81,832.0,286.81,0.654,339.46,779.36,512.95,50.0,266.4,280.0,-13.6,98.0,-111.6,0.0,-111.6,4000
7,10,1107.22,832.0,275.22,0.627,339.46,767.77,512.95,50.0,254.81,280.0,-25.19,78.4,-103.59,0.0,-103.59,4000
8,10,1097.06,832.0,265.06,0.604,339.46,757.6,512.95,50.0,244.65,280.0,-35.35,58.8,-94.15,0.0,-94.15,4000
9,10,1088.07,832.0,256.07,0.583,339.46,748.61,512.95,50.0,235.66,280.0,-44.34,39.2,-83.54,0.0,-83.54,4000
10,10,1080.06,832.0,248.06,0.565,339.46,740.61,512.95,50.0,227.65,280.0,-52.35,19.6,-71.95,0.0,-71.95,4000
11,10,1072.89,832.0,240.89,0.549,339.46,733.43,512.95,50.0,220.48,280.0,-59.52,0.0,-59.52,0.0,-59.52,4000
12,10,1072.89,832.0,240.89,0.549,339.46,733.43,512.95,50.0,220.48,280.0,-59.52,0.0,-59.52,0.0,-59.52,4000
1,3,1470.5,1022.0,448.5,1.0,424.32,1046.18,579.01,50.0,467.17,280.0,187.17,196.0,-8.83,0.0,-8.83,5000
2,3,1403.63,1022.0,381.63,0.851,424.32,979.31,579.01,50.0,400.3,280.0,120.3,130.67,-10.37,0.0,-10.37,5000
3,3,1373.13,1022.0,351.13,0.783,424.32,948.81,579.01,50.0,369.8,280.0,89.8,65.33,24.47,6.12,18.35,5000
4,3,1348.4,1022.0,326.4,0.728,424.32,924.08,579.01,50.0,345.07,280.0,65.07,0.0,65.07,16.27,48.8,5000
5,3,1328.74,1022.0,306.74,0.684,424.32,904.42,579.01,50.0,325.41,280.0,45.41,0.0,45.41,11.35,34.06,5000
6,3,1315.12,1022.0,293.12,0.654,424.32,890.8,579.01,50.0,311.79,280.0,31.79,0.0,31.79,7.95,23.84,5000
7,3,1303.27,1022.0,281.27,0.627,424.32,878.95,579.01,50.0,299.94,280.0,19.94,0.0,19.94,4.99,14.96,5000
8,3,1292.88,1022.0,270.88,0.604,424.32,868.56,579.01,50.0,289.55,280.0,9.55,0.0,9.55,2.39,7.17,5000
9,3,1283.7,1022.0,261.7,0.583,424.32,859.38,579.01,50.0,280.37,280.0,0.37,0.0,0.37,0.09,0.28,5000
10,3,1275.52,1022.0,253.52,0.565,424.32,851.2,579.01,50.0,272.19,280.0,-7.81,0.0,-7.81,0.0,-7.81,5000
11,3,1268.18,1022.0,246.18,0.549,424.32,843.86,579.01,50.0,264.85,280.0,-15.15,0.0,-15.15,0.0,-15.15,5000
12,3,1268.18,1022.0,246.18,0.549,424.32,843.86,579.01,50.0,264.85,280.0,-15.15,0.0,-15.15,0.0,-15.15,5000
1,5,1470.5,1022.0,448.5,1.0,424.32,1046.18,579.01,50.0,467.17,280.0,187.17,196.0,-8.83,0.0,-8.83,5000
2,5,1403.63,1022.0,381.63,0.851,424.32,979.31,579.01,50.0,400.3,280.0,120.3,156.8,-36.5,0.0,-36.5,5000
3,5,1373.13,1022.0,351.13,0.783,424.32,948.81,579.01,50.0,369.8,280.0,89.8,117.6,-27.8,0.0,-27.8,5000
4,5,1348.4,1022.0,326.4,0.728,424.32,924.08,579.01,50.0,345.07,280.0,65.07,78.4,-13.33,0.0,-13.33,5000
5,5,1328.74,1022.0,306.74,0.684,424.32,904.42,579.01,50.0,325.41,280.0,45.41,39.2,6.21,1.55,4.66,5000
6,5,1315.12,1022.0,293.12,0.654,424.32,890.8,579.01,50.0,311.79,280.0,31.79,0.0,31.79,7.95,23.84,5000
7,5,1303.27,1022.0,281.27,0.627,424.32,878.95,579.01,50.0,299.94,280.0,19.94,0.0,19.94,4.99,14.96,5000
8,5,1292.88,1022.0,270.88,0.604,424.32,868.56,579.01,50.0,289.55,280.0,9.55,0.0,9.55,2.39,7.17,5000
9,5,1283.7,1022.0,261.7,0.583,424.32,859.38,579.01,50.0,280.37,280.0,0.37,0.0,0.37,0.09,0.28,5000
10,5,1275.52,1022.0,253.52,0.565,424.32,851.2,579.01,50.0,272.19,280.0,-7.81,0.0,-7.81,0.0,-7.81,5000
11,5,1268.18,1022.0,246.18,0.549,424.32,843.86,579.01,50.0,264.85,280.0,-15.15,0.0,-15.15,0.0,-15.15,5000
12,5,1268.18,1022.0,246.18,0.549,424.32,843.86,579.01,50.0,264.85,280.0,-15.15,0.0,-15.15,0.0,-15.15,5000
1,7,1470.5,1022.0,448.5,1.0,424.32,1046.18,579.01,50.0,467.17,280.0,187.17,196.0,-8.83,0.0,-8.83,5000
2,7,1403.63,1022.0,381.63,0.851,424.32,979.31,579.01,50.0,400.3,280.0,120.3,168.0,-47.7,0.0,-47.7,5000
3,7,1373.13,1022.0,351.13,0.783,424.32,948.81,579.01,50.0,369.8,280.0,89.8,140.0,-50.2,0.0,-50.2,5000
4,7,1348.4,1022.0,326.4,0.728,424.32,924.08,579.01,50.0,345.07,280.0,65.07,112.0,-46.93,0.0,-46.93,5000
5,7,1328.74,1022.0,306.74,0.684,424.32,904.42,579.01,50.0,325.41,280.0,45.41,84.0,-38.59,0.0,-38.59,5000
6,7,1315.12,1022.0,293.12,0.654,424.32,890.8,579.01,50.0,311.79,280.0,31.79,56.0,-24.21,0.0,-24.21,5000
7,7,1303.27,1022.0,281.27,0.627,424.32,878.95,579.01,50.0,299.94,280.0,19.94,28.0,-8.06,0.0,-8.06,5000
8,7,1292.88,1022.0,270.88,0.604,424.32,868.56,579.01,50.0,289.55,280.0,9.55,0.0,9.55,2.39,7.17,5000
9,7,1283.7,1022.0,261.7,0.583,424.32,859.38,579.01,50.0,280.37,280.0,0.37,0.0,0.37,0.09,0.28,5000
10,7,1275.52,1022.0,253.52,0.565,424.32,851.2,579.01,50.0,272.19,280.0,-7.81,0.0,-7.81,0.0,-7.81,5000
11,7,1268.18,1022.0,246.18,0.549,424.32,843.86,579.01,50.0,264.85,280.0,-15.15,0.0,-15.15,0.0,-15.15,5000
12,7,1268.18,1022.0,246.18,0.549,424.32,843.86,579.01,50.0,264.85,280.0,-15.15,0.0,-15.15,0.0,-15.15,5000
1,10,1470.5,1022.0,448.5,1.0,424.32,1046.18,579.01,50.0,467.17,280.0,187.17,196.0,-8.83,0.0,-8.83,5000
2,10,1403.63,1022.0,381.63,0.851,424.32,979.31,579.01,50.0,400.3,280.0,120.3,176.4,-56.1,0.0,-56.1,5000
3,10,1373.13,1022.0,351.13,0.783,424.32,948.81,579.01,50.0,369.8,280.0,89.8,156.8,-67.0,0.0,-67.0,5000
4,10,1348.4,1022.0,326.4,0.728,424.32,924.08,579.01,50.0,345.07,280.0,65.07,137.2,-72.13,0.0,-72.13,5000
5,10,1328.74,1022.0,306.74,0.684,424.32,904.42,579.01,50.0,325.41,280.0,45.41,117.6,-72.19,0.0,-72.19,5000
6,10,1315.12,1022.0,293.12,0.654,424.32,890.8,579.01,50.0,311.79,280.0,31.79,98.0,-66.21,0.0,-66.21,5000
7,10,1303.27,1022.0,281.27,0.627,424.32,878.95,579.01,50.0,299.94,280.0,19.94,78.4,-58.46,0.0,-58.46,5000
8,10,1292.88,1022.0,270.88,0.604,424.32,868.56,579.01,50.0,289.55,280.0,9.55,58.8,-49.25,0.0,-49.25,5000
9,10,1283.7,1022.0,261.7,0.583,424.32,859.38,579.01,50.0,280.37,280.0,0.37,39.2,-38.83,0.0,-38.83,5000
10,10,1275.52,1022.0,253.52,0.565,424.32,851.2,579.01,50.0,272.19,280.0,-7.81,19.6,-27.41,0.0,-27.41,5000
11,10,1268.18,1022.0,246.18,0.549,424.32,843.86,579.01,50.0,264.85,280.0,-15.15,0.0,-15.15,0.0,-15.15,5000
12,10,1268.18,1022.0,246.18,0.549,424.32,843.86,579.01,50.0,264.85,280.0,-15.15,0.0,-15.15,0.0,-15.15,5000
1,3,1670.14,1212.0,458.14,1.0,509.18,1160.96,645.07,50.0,515.89,280.0,235.89,196.0,39.89,9.97,29.92,6000
2,3,1601.83,1212.0,389.83,0.851,509.18,1092.65,645.07,50.0,447.58,280.0,167.58,130.67,36.92,9.23,27.69,6000
3,3,1570.69,1212.0,358.69,0.783,509.18,1061.5,645.07,50.0,416.44,280.0,136.44,65.33,71.1,17.78,53.33,6000
4,3,1545.42,1212.0,333.42,0.728,509.18,1036.23,645.07,50.0,391.17,280.0,111.17,0.0,111.17,27.79,83.38,6000
5,3,1525.34,1212.0,313.34,0.684,509.18,1016.16,645.07,50.0,371.09,280.0,91.09,0.0,91.09,22.77,68.32,6000
6,3,1511.42,1212.0,299.42,0.654,509.18,1002.23,645.07,50.0,357.17,280.0,77.17,0.0,77.17,19.29,57.88,6000
7,3,1499.32,1212.0,287.32,0.627,509.18,990.14,645.07,50.0,345.07,280.0,65.07,0.0,65.07,16.27,48.8,6000
8,3,1488.71,1212.0,276.71,0.604,509.18,979.52,645.07,50.0,334.46,280.0,54.46,0.0,54.46,13.61,40.84,6000
9,3,1479.32,1212.0,267.32,0.583,509.18,970.14,645.07,50.0,325.08,280.0,45.08,0.0,45.08,11.27,33.81,6000
10,3,1470.97,1212.0,258.97,0.565,509.18,961.78,645.07,50.0,316.72,280.0,36.72,0.0,36.72,9.18,27.54,6000
