Year,Loan Yrs,Revenue (£),COGS (£),Gross Profit (£),EBITDA (£),Depreciation (£),EBIT (£),Interest (£),EBT (£),Tax 25% (£),Net Income (£)
1,3,1295.96,305.88,990.08,518.49,280.0,238.49,196.0,42.49,10.62,31.87
2,3,1295.96,305.88,990.08,518.49,280.0,238.49,130.67,107.82,26.96,80.87
3,3,1295.96,305.88,990.08,518.49,280.0,238.49,65.33,173.16,43.29,129.87
4,3,1295.96,305.88,990.08,518.49,280.0,238.49,0.0,238.49,59.62,178.87
5,3,1295.96,305.88,990.08,518.49,280.0,238.49,0.0,238.49,59.62,178.87
6,3,1295.96,305.88,990.08,518.49,280.0,238.49,0.0,238.49,59.62,178.87
7,3,1295.96,305.88,990.08,518.49,280.0,238.49,0.0,238.49,59.62,178.87
8,3,1295.96,305.88,990.08,518.49,280.0,238.49,0.0,238.49,59.62,178.87
9,3,1295.96,305.88,990.08,518.49,280.0,238.49,0.0,238.49,59.62,178.87
10,3,1295.96,305.88,990.08,518.49,280.0,238.49,0.0,238.49,59.62,178.87
11,3,1295.96,305.88,990.08,518.49,280.0,238.49,0.0,238.49,59.62,178.87
12,3,1295.96,305.88,990.08,518.49,280.0,238.49,0.0,238.49,59.62,178.87
1,5,1295.96,305.88,990.08,518.49,280.0,238.49,196.0,42.49,10.62,31.87
2,5,1295.96,305.88,990.08,518.49,280.0,238.49,156.8,81.69,20.42,61.27
3,5,1295.96,305.88,990.08,518.49,280.0,238.49,117.6,120.89,30.22,90.67
4,5,1295.96,305.88,990.08,518.49,280.0,238.49,78.4,160.09,40.02,120.07
5,5,1295.96,305.88,990.08,518.49,280.0,238.49,39.2,199.29,49.82,149.47
6,5,1295.96,305.88,990.08,518.49,280.0,238.49,0.0,238.49,59.62,178.87
7,5,1295.96,305.88,990.08,518.49,280.0,238.49,0.0,238.49,59.62,178.87
8,5,1295.96,305.88,990.08,518.49,280.0,238.49,0.0,238.49,59.62,178.87
9,5,1295.96,305.88,990.08,518.49,280.0,238.49,0.0,238.49,59.62,178.87
10,5,1295.96,305.88,990.08,518.49,280.0,238.49,0.0,238.49,59.62,178.87
11,5,1295.96,305.88,990.08,518.49,280.0,238.49,0.0,238.49,59.62,178.87
12,5,1295.96,305.88,990.08,518.49,280.0,238.49,0.0,238.49,59.62,178.87
1,7,1295.96,305.88,990.08,518.49,280.0,238.49,196.0,42.49,10.62,31.87
2,7,1295.96,305.88,990.08,518.49,280.0,238.49,168.0,70.49,17.62,52.87
3,7,1295.96,305.88,990.08,518.49,280.0,238.49,140.0,98.49,24.62,73.87
4,7,1295.96,305.88,990.08,518.49,280.0,238.49,112.0,126.49,31.62,94.87
5,7,1295.96,305.88,990.08,518.49,280.0,238.49,84.0,154.49,38.62,115.87
6,7,1295.96,305.88,990.08,518.49,280.0,238.49,56.0,182.49,45.62,136.87
7,7,1295.96,305.88,990.08,518.49,280.0,238.49,28.0,210.49,52.62,157.87
8,7,1295.96,305.88,990.08,518.49,280.0,238.49,0.0,238.49,59.62,178.87
9,7,1295.96,305.88,990.08,518.49,280.0,238.49,0.0,238.49,59.62,178.87
10,7,1295.96,305.88,990.08,518.49,280.0,238.49,0.0,238.49,59.62,178.87
11,7,1295.96,305.88,990.08,518.49,280.0,238.49,0.0,238.49,59.62,178.87
12,7,1295.96,305.88,990.08,518.49,280.0,238.49,0.0,238.49,59.62,178.87
1,10,1295.96,305.88,990.08,518.49,280.0,238.49,196.0,42.49,10.62,31.87
2,10,1295.96,305.88,990.08,518.49,280.0,238.49,176.4,62.09,15.52,46.57
3,10,1295.96,305.88,990.08,518.49,280.0,238.49,156.8,81.69,20.42,61.27
4,10,1295.96,305.88,990.08,518.49,280.0,238.49,137.2,101.29,25.32,75.97
5,10,1295.96,305.88,990.08,518.49,280.0,238.49,117.6,120.89,30.22,90.67
6,10,1295.96,305.88,990.08,518.49,280.0,238.49,98.0,140.49,35.12,105.37
7,10,1295.96,305.88,990.08,518.49,280.0,238.49,78.4,160.09,40.02,120.07
8,10,1295.96,305.88,990.08,518.49,280.0,238.49,58.8,179.69,44.92,134.77
9,10,1295.96,305.88,990.08,518.49,280.0,238.49,39.2,199.29,49.82,149.47
10,10,1295.96,305.88,990.08,518.49,280.0,238.49,19.6,218.89,54.72,164.17
11,10,1295.96,305.88,990.08,518.49,280.0,238.49,0.0,238.49,59.62,178.87
12,10,1295.96,305.88,990.08,518.49,280.0,238.49,0.0,238.49,59.62,178.87
