Year,Loan Yrs,Revenue (£),  Customer Bill,  Battery Rev,  Spread Scale,COGS (£),Gross Profit (£),Opex (£),  Staff Cost,EBITDA (£),Depreciation (£),EBIT (£),Interest (£),EBT (£),Tax 25% (£),Net Income (£),Consumption kWh
1,3,1218.85,780.0,438.85,1.0,339.46,879.4,512.95,50.0,366.44,280.0,86.44,196.0,-109.56,0.0,-109.56,4000
2,3,1184.69,780.0,404.69,0.922,339.46,845.23,512.95,50.0,332.28,280.0,52.28,130.67,-78.39,0.0,-78.39,4000
3,3,1164.52,780.0,384.52,0.876,339.46,825.06,512.95,50.0,312.11,280.0,32.11,65.33,-33.23,0.0,-33.23,4000
4,3,1150.41,780.0,370.41,0.844,339.46,810.95,512.95,50.0,298.0,280.0,18.0,0.0,18.0,4.5,13.5,4000
5,3,1142.01,780.0,362.01,0.825,339.46,802.56,512.95,50.0,289.6,280.0,9.6,0.0,9.6,2.4,7.2,4000
6,3,1137.72,780.0,357.72,0.815,339.46,798.26,512.95,50.0,285.31,280.0,5.31,0.0,5.31,1.33,3.98,4000
7,3,1133.83,780.0,353.83,0.806,339.46,794.37,512.95,50.0,281.42,280.0,1.42,0.0,1.42,0.35,1.06,4000
8,3,1130.26,780.0,350.26,0.798,339.46,790.8,512.95,50.0,277.85,280.0,-2.15,0.0,-2.15,0.0,-2.15,4000
9,3,1126.96,780.0,346.96,0.791,339.46,787.5,512.95,50.0,274.55,280.0,-5.45,0.0,-5.45,0.0,-5.45,4000
10,3,1123.87,780.0,343.87,0.784,339.46,784.42,512.95,50.0,271.46,280.0,-8.54,0.0,-8.54,0.0,-8.54,4000
11,3,1120.98,780.0,340.98,0.777,339.46,781.53,512.95,50.0,268.57,280.0,-11.43,0.0,-11.43,0.0,-11.43,4000
12,3,1120.98,780.0,340.98,0.777,339.46,781.53,512.95,50.0,268.57,280.0,-11.43,0.0,-11.43,0.0,-11.43,4000
1,5,1218.85,780.0,438.85,1.0,339.46,879.4,512.95,50.0,366.44,280.0,86.44,196.0,-109.56,0.0,-109.56,4000
2,5,1184.69,780.0,404.69,0.922,339.46,845.23,512.95,50.0,332.28,280.0,52.28,156.8,-104.52,0.0,-104.52,4000
3,5,1164.52,780.0,384.52,0.876,339.46,825.06,512.95,50.0,312.11,280.0,32.11,117.6,-85.49,0.0,-85.49,4000
4,5,1150.41,780.0,370.41,0.844,339.46,810.95,512.95,50.0,298.0,280.0,18.0,78.4,-60.4,0.0,-60.4,4000
5,5,1142.01,780.0,362.01,0.825,339.46,802.56,512.95,50.0,289.6,280.0,9.6,39.2,-29.6,0.0,-29.6,4000
6,5,1137.72,780.0,357.72,0.815,339.46,798.26,512.95,50.0,285.31,280.0,5.31,0.0,5.31,1.33,3.98,4000
7,5,1133.83,780.0,353.83,0.806,339.46,794.37,512.95,50.0,281.42,280.0,1.42,0.0,1.42,0.35,1.06,4000
8,5,1130.26,780.0,350.26,0.798,339.46,790.8,512.95,50.0,277.85,280.0,-2.15,0.0,-2.15,0.0,-2.15,4000
9,5,1126.96,780.0,346.96,0.791,339.46,787.5,512.95,50.0,274.55,280.0,-5.45,0.0,-5.45,0.0,-5.45,4000
