Year,Loan Yrs,Revenue (£),  Customer Bill,  Battery Rev,  Spread Scale,COGS (£),Gross Profit (£),Opex (£),  Staff Cost,EBITDA (£),Depreciation (£),EBIT (£),Interest (£),EBT (£),Tax 25% (£),Net Income (£),Consumption kWh
1,3,1218.85,780.0,438.85,1.0,339.46,879.4,512.95,50.0,366.44,280.0,86.44,196.0,-109.56,0.0,-109.56,4000
2,3,1194.9,780.0,414.9,0.945,339.46,855.44,512.95,50.0,342.49,280.0,62.49,130.67,-68.18,0.0,-68.18,4000
3,3,1178.24,780.0,398.24,0.907,339.46,838.79,512.95,50.0,325.83,280.0,45.83,65.33,-19.5,0.0,-19.5,4000
4,3,1168.23,780.0,388.23,0.885,339.46,828.77,512.95,50.0,315.82,280.0,35.82,0.0,35.82,8.95,26.86,4000
5,3,1164.71,780.0,384.71,0.877,339.46,825.25,512.95,50.0,312.3,280.0,32.3,0.0,32.3,8.07,24.22,4000
6,3,1164.87,780.0,384.87,0.877,339.46,825.41,512.95,50.0,312.46,280.0,32.46,0.0,32.46,8.11,24.34,4000
7,3,1165.11,780.0,385.11,0.878,339.46,825.65,512.95,50.0,312.7,280.0,32.7,0.0,32.7,8.17,24.52,4000
8,3,1165.38,780.0,385.38,0.878,339.46,825.92,512.95,50.0,312.97,280.0,32.97,0.0,32.97,8.24,24.73,4000
9,3,1165.67,780.0,385.67,0.879,339.46,826.21,512.95,50.0,313.26,280.0,33.26,0.0,33.26,8.31,24.94,4000
10,3,1165.95,780.0,385.95,0.879,339.46,826.5,512.95,50.0,313.54,280.0,33.54,0.0,33.54,8.39,25.16,4000
11,3,1166.22,780.0,386.22,0.88,339.46,826.77,512.95,50.0,313.81,280.0,33.81,0.0,33.81,8.45,25.36,4000
12,3,1166.22,780.0,386.22,0.88,339.46,826.77,512.95,50.0,313.81,280.0,33.81,0.0,33.81,8.45,25.36,4000
1,5,1218.85,780.0,438.85,1.0,339.46,879.4,512.95,50.0,366.44,280.0,86.44,196.0,-109.56,0.0,-109.56,4000
2,5,1194.9,780.0,414.9,0.945,339.46,855.44,512.95,50.0,342.49,280.0,62.49,156.8,-94.31,0.0,-94.31,4000
3,5,1178.24,780.0,398.24,0.907,339.46,838.79,512.95,50.0,325.83,280.0,45.83,117.6,-71.77,0.0,-71.77,4000
4,5,1168.23,780.0,388.23,0.885,339.46,828.77,512.95,50.0,315.82,280.0,35.82,78.4,-42.58,0.0,-42.58,4000
5,5,1164.71,780.0,384.71,0.877,339.46,825.25,512.95,50.0,312.3,280.0,32.3,39.2,-6.9,0.0,-6.9,4000
6,5,1164.87,780.0,384.87,0.877,339.46,825.41,512.95,50.0,312.46,280.0,32.46,0.0,32.46,8.11,24.34,4000
7,5,1165.11,780.0,385.11,0.878,339.46,825.65,512.95,50.0,312.7,280.0,32.7,0.0,32.7,8.17,24.52,4000
8,5,1165.38,780.0,385.38,0.878,339.46,825.92,512.95,50.0,312.97,280.0,32.97,0.0,32.97,8.24,24.73,4000
9,5,1165.67,780.0,385.67,0.879,339.46,826.21,512.95,50.0,313.26,280.0,33.26,0.0,33.26,8.31,24.94,4000
10,5,1165.95,780.0,385.95,0.879,339.46,826.5,512.95,50.0,313.54,280.0,33.54,0.0,33.54,8.39,25.16,4000
11,5,1166.22,780.0,386.22,0.88,339.46,826.77,512.95,50.0,313.81,280.0,33.81,0.0,33.81,8.45,25.36,4000
12,5,1166.22,780.0,386.22,0.88,339.46,826.77,512.95,50.0,313.81,280.0,33.81,0.0,33.81,8.45,25.36,4000
1,7,1218.85,780.0,438.85,1.0,339.46,879.4,512.95,50.0,366.44,280.0,86.44,196.0,-109.56,0.0,-109.56,4000
2,7,1194.9,780.0,414.9,0.945,339.46,855.44,512.95,50.0,342.49,280.0,62.49,168.0,-105.51,0.0,-105.51,4000
3,7,1178.24,780.0,398.24,0.907,339.46,838.79,512.95,50.0,325.83,280.0,45.83,140.0,-94.17,0.0,-94.17,4000
4,7,1168.23,780.0,388.23,0.885,339.46,828.77,512.95,50.0,315.82,280.0,35.82,112.0,-76.18,0.0,-76.18,4000
5,7,1164.71,780.0,384.71,0.877,339.46,825.25,512.95,50.0,312.3,280.0,32.3,84.0,-51.7,0.0,-51.7,4000
6,7,1164.87,780.0,384.87,0.877,339.46,825.41,512.95,50.0,312.46,280.0,32.46,56.0,-23.54,0.0,-23.54,4000
7,7,1165.11,780.0,385.11,0.878,339.46,825.65,512.95,50.0,312.7,280.0,32.7,28.0,4.7,1.17,3.52,4000
8,7,1165.38,780.0,385.38,0.878,339.46,825.92,512.95,50.0,312.97,280.0,32.97,0.0,32.97,8.24,24.73,4000
9,7,1165.67,780.0,385.67,0.879,339.46,826.21,512.95,50.0,313.26,280.0,33.26,0.0,33.26,8.31,24.94,4000
10,7,1165.95,780.0,385.95,0.879,339.46,826.5,512.95,50.0,313.54,280.0,33.54,0.0,33.54,8.39,25.16,4000
11,7,1166.22,780.0,386.22,0.88,339.46,826.77,512.95,50.0,313.81,280.0,33.81,0.0,33.81,8.45,25.36,4000
12,7,1166.22,780.0,386.22,0.88,339.46,826.77,512.95,50.0,313.81,280.0,33.81,0.0,33.81,8.45,25.36,4000
1,10,1218.85,780.0,438.85,1.0,339.46,879.4,512.95,50.0,366.44,280.0,86.44,196.0,-109.56,0.0,-109.56,4000
