Year,Loan Yrs,Revenue (£),  Customer Bill,  Battery Rev,  Spread Scale,COGS (£),Gross Profit (£),Opex (£),  Staff Cost,EBITDA (£),Depreciation (£),EBIT (£),Interest (£),EBT (£),Tax 25% (£),Net Income (£),Consumption kWh
1,3,1218.85,780.0,438.85,1.0,339.46,879.4,512.95,50.0,366.44,280.0,86.44,196.0,-109.56,0.0,-109.56,4000
2,3,1153.42,780.0,373.42,0.851,339.46,813.96,512.95,50.0,301.01,280.0,21.01,130.67,-109.66,0.0,-109.66,4000
3,3,1123.58,780.0,343.58,0.783,339.46,784.13,512.95,50.0,271.17,280.0,-8.83,65.33,-74.16,0.0,-74.16,4000
4,3,1099.38,780.0,319.38,0.728,339.46,759.92,512.95,50.0,246.97,280.0,-33.03,0.0,-33.03,0.0,-33.03,4000
5,3,1080.15,780.0,300.15,0.684,339.46,740.69,512.95,50.0,227.74,280.0,-52.26,0.0,-52.26,0.0,-52.26,4000
6,3,1066.81,780.0,286.81,0.654,339.46,727.36,512.95,50.0,214.4,280.0,-65.6,0.0,-65.6,0.0,-65.6,4000
7,3,1055.22,780.0,275.22,0.627,339.46,715.77,512.95,50.0,202.81,280.0,-77.19,0.0,-77.19,0.0,-77.19,4000
8,3,1045.06,780.0,265.06,0.604,339.46,705.6,512.95,50.0,192.65,280.0,-87.35,0.0,-87.35,0.0,-87.35,4000
9,3,1036.07,780.0,256.07,0.583,339.46,696.61,512.95,50.0,183.66,280.0,-96.34,0.0,-96.34,0.0,-96.34,4000
10,3,1028.06,780.0,248.06,0.565,339.46,688.61,512.95,50.0,175.65,280.0,-104.35,0.0,-104.35,0.0,-104.35,4000
11,3,1020.89,780.0,240.89,0.549,339.46,681.43,512.95,50.0,168.48,280.0,-111.52,0.0,-111.52,0.0,-111.52,4000
12,3,1020.89,780.0,240.89,0.549,339.46,681.43,512.95,50.0,168.48,280.0,-111.52,0.0,-111.52,0.0,-111.52,4000
1,5,1218.85,780.0,438.85,1.0,339.46,879.4,512.95,50.0,366.44,280.0,86.44,196.0,-109.56,0.0,-109.56,4000
2,5,1153.42,780.0,373.42,0.851,339.46,813.96,512.95,50.0,301.01,280.0,21.01,156.8,-135.79,0.0,-135.79,4000
3,5,1123.58,780.0,343.58,0.783,339.46,784.13,512.95,50.0,271.17,280.0,-8.83,117.6,-126.43,0.0,-126.43,4000
4,5,1099.38,780.0,319.38,0.728,339.46,759.92,512.95,50.0,246.97,280.0,-33.03,78.4,-111.43,0.0,-111.43,4000
5,5,1080.15,780.0,300.15,0.684,339.46,740.69,512.95,50.0,227.74,280.0,-52.26,39.2,-91.46,0.0,-91.46,4000
6,5,1066.81,780.0,286.81,0.654,339.46,727.36,512.95,50.0,214.4,280.0,-65.6,0.0,-65.6,0.0,-65.6,4000
7,5,1055.22,780.0,275.22,0.627,339.46,715.77,512.95,50.0,202.81,280.0,-77.19,0.0,-77.19,0.0,-77.19,4000
8,5,1045.06,780.0,265.06,0.604,339.46,705.6,512.95,50.0,192.65,280.0,-87.35,0.0,-87.35,0.0,-87.35,4000
9,5,1036.07,780.0,256.07,0.583,339.46,696.61,512.95,50.0,183.66,280.0,-96.34,0.0,-96.34,0.0,-96.34,4000
10,5,1028.06,780.0,248.06,0.565,339.46,688.61,512.95,50.0,175.65,280.0,-104.35,0.0,-104.35,0.0,-104.35,4000
11,5,1020.89,780.0,240.89,0.549,339.46,681.43,512.95,50.0,168.48,280.0,-111.52,0.0,-111.52,0.0,-111.52,4000
12,5,1020.89,780.0,240.89,0.549,339.46,681.43,512.95,50.0,168.48,280.0,-111.52,0.0,-111.52,0.0,-111.52,4000
1,7,1218.85,780.0,438.85,1.0,339.46,879.4,512.95,50.0,366.44,280.0,86.44,196.0,-109.56,0.0,-109.56,4000
2,7,1153.42,780.0,373.42,0.851,339.46,813.96,512.95,50.0,301.01,280.0,21.01,168.0,-146.99,0.0,-146.99,4000
3,7,1123.58,780.0,343.58,0.783,339.46,784.13,512.95,50.0,271.17,280.0,-8.83,140.0,-148.83,0.0,-148.83,4000
4,7,1099.38,780.0,319.38,0.728,339.46,759.92,512.95,50.0,246.97,280.0,-33.03,112.0,-145.03,0.0,-145.03,4000
5,7,1080.15,780.0,300.15,0.684,339.46,740.69,512.95,50.0,227.74,280.0,-52.26,84.0,-136.26,0.0,-136.26,4000
6,7,1066.81,780.0,286.81,0.654,339.46,727.36,512.95,50.0,214.4,280.0,-65.6,56.0,-121.6,0.0,-121.6,4000
7,7,1055.22,780.0,275.22,0.627,339.46,715.77,512.95,50.0,202.81,280.0,-77.19,28.0,-105.19,0.0,-105.19,4000
8,7,1045.06,780.0,265.06,0.604,339.46,705.6,512.95,50.0,192.65,280.0,-87.35,0.0,-87.35,0.0,-87.35,4000
9,7,1036.07,780.0,256.07,0.583,339.46,696.61,512.95,50.0,183.66,280.0,-96.34,0.0,-96.34,0.0,-96.34,4000
10,7,1028.06,780.0,248.06,0.565,339.46,688.61,512.95,50.0,175.65,280.0,-104.35,0.0,-104.35,0.0,-104.35,4000
11,7,1020.89,780.0,240.89,0.549,339.46,681.43,512.95,50.0,168.48,280.0,-111.52,0.0,-111.52,0.0,-111.52,4000
12,7,1020.89,780.0,240.89,0.549,339.46,681.43,512.95,50.0,168.48,280.0,-111.52,0.0,-111.52,0.0,-111.52,4000
1,10,1218.85,780.0,438.85,1.0,339.46,879.4,512.95,50.0,366.44,280.0,86.44,196.0,-109.56,0.0,-109.56,4000
2,10,1153.42,780.0,373.42,0.851,339.46,813.96,512.95,50.0,301.01,280.0,21.01,176.4,-155.39,0.0,-155.39,4000
3,10,1123.58,780.0,343.58,0.783,339.46,784.13,512.95,50.0,271.17,280.0,-8.83,156.8,-165.63,0.0,-165.63,4000
4,10,1099.38,780.0,319.38,0.728,339.46,759.92,512.95,50.0,246.97,280.0,-33.03,137.2,-170.23,0.0,-170.23,4000
