Year,Loan Yrs,Revenue (£),  Customer Bill,  Battery Rev,  Spread Scale,  Degrade Scale,COGS (£),Gross Profit (£),Opex (£),  Staff Cost,EBITDA (£),Depreciation (£),EBIT (£),Interest (£),EBT (£),Tax 25% (£),Net Income (£),Consumption kWh
1,3,1570.85,1132.0,438.85,1.0,1.0,339.46,1231.4,512.95,50.0,718.44,280.0,438.44,196.0,242.44,60.61,181.83,4000
2,3,1528.59,1132.0,396.59,0.922,0.98,339.46,1189.14,512.95,50.0,676.18,280.0,396.18,130.67,265.51,66.38,199.14,4000
3,3,1501.29,1132.0,369.29,0.876,0.96,339.46,1161.83,512.95,50.0,648.88,280.0,368.88,65.33,303.55,75.89,227.66,4000
4,3,1480.63,1132.0,348.63,0.844,0.941,339.46,1141.17,512.95,50.0,628.22,280.0,348.22,0.0,348.22,87.05,261.16,4000
5,3,1465.91,1132.0,333.91,0.825,0.922,339.46,1126.45,512.95,50.0,613.5,280.0,333.5,0.0,333.5,83.37,250.12,4000
6,3,1455.35,1132.0,323.35,0.815,0.904,339.46,1115.9,512.95,50.0,602.94,280.0,322.94,0.0,322.94,80.74,242.21,4000
7,3,1445.44,1132.0,313.44,0.806,0.886,339.46,1105.98,512.95,50.0,593.03,280.0,313.03,0.0,313.03,78.26,234.77,4000
8,3,1436.07,1132.0,304.07,0.798,0.868,339.46,1096.61,512.95,50.0,583.66,280.0,303.66,0.0,303.66,75.91,227.74,4000
9,3,1427.18,1132.0,295.18,0.791,0.851,339.46,1087.72,512.95,50.0,574.77,280.0,294.77,0.0,294.77,73.69,221.07,4000
10,3,1418.7,1132.0,286.7,0.784,0.834,339.46,1079.25,512.95,50.0,566.29,280.0,286.29,0.0,286.29,71.57,214.72,4000
11,3,1410.61,1132.0,278.61,0.777,0.817,339.46,1071.15,512.95,50.0,558.2,280.0,278.2,0.0,278.2,69.55,208.65,4000
12,3,1405.04,1132.0,273.04,0.777,0.801,339.46,1065.58,512.95,50.0,552.63,280.0,272.63,0.0,272.63,68.16,204.47,4000
1,5,1570.85,1132.0,438.85,1.0,1.0,339.46,1231.4,512.95,50.0,718.44,280.0,438.44,196.0,242.44,60.61,181.83,4000
2,5,1528.59,1132.0,396.59,0.922,0.98,339.46,1189.14,512.95,50.0,676.18,280.0,396.18,156.8,239.38,59.85,179.54,4000
3,5,1501.29,1132.0,369.29,0.876,0.96,339.46,1161.83,512.95,50.0,648.88,280.0,368.88,117.6,251.28,62.82,188.46,4000
4,5,1480.63,1132.0,348.63,0.844,0.941,339.46,1141.17,512.95,50.0,628.22,280.0,348.22,78.4,269.82,67.45,202.36,4000
5,5,1465.91,1132.0,333.91,0.825,0.922,339.46,1126.45,512.95,50.0,613.5,280.0,333.5,39.2,294.3,73.57,220.72,4000
6,5,1455.35,1132.0,323.35,0.815,0.904,339.46,1115.9,512.95,50.0,602.94,280.0,322.94,0.0,322.94,80.74,242.21,4000
7,5,1445.44,1132.0,313.44,0.806,0.886,339.46,1105.98,512.95,50.0,593.03,280.0,313.03,0.0,313.03,78.26,234.77,4000
8,5,1436.07,1132.0,304.07,0.798,0.868,339.46,1096.61,512.95,50.0,583.66,280.0,303.66,0.0,303.66,75.91,227.74,4000
