Year,Loan Yrs,Revenue (£),  Customer Bill,  Battery Rev,  Spread Scale,  Degrade Scale,COGS (£),Gross Profit (£),Opex (£),  Staff Cost,EBITDA (£),Depreciation (£),EBIT (£),Interest (£),EBT (£),Tax 25% (£),Net Income (£),Consumption kWh
1,3,1570.85,1132.0,438.85,1.0,1.0,339.46,1231.4,512.95,50.0,718.44,280.0,438.44,196.0,242.44,60.61,181.83,4000
2,3,1538.6,1132.0,406.6,0.945,0.98,339.46,1199.15,512.95,50.0,686.19,280.0,406.19,130.67,275.52,68.88,206.64,4000
3,3,1514.47,1132.0,382.47,0.907,0.96,339.46,1175.02,512.95,50.0,662.06,280.0,382.06,65.33,316.73,79.18,237.55,4000
4,3,1497.4,1132.0,365.4,0.885,0.941,339.46,1157.94,512.95,50.0,644.99,280.0,364.99,0.0,364.99,91.25,273.74,4000
5,3,1486.84,1132.0,354.84,0.877,0.922,339.46,1147.39,512.95,50.0,634.43,280.0,354.43,0.0,354.43,88.61,265.82,4000
6,3,1479.89,1132.0,347.89,0.877,0.904,339.46,1140.44,512.95,50.0,627.48,280.0,347.48,0.0,347.48,86.87,260.61,4000
7,3,1473.14,1132.0,341.14,0.878,0.886,339.46,1133.69,512.95,50.0,620.73,280.0,340.73,0.0,340.73,85.18,255.55,4000
8,3,1466.56,1132.0,334.56,0.878,0.868,339.46,1127.1,512.95,50.0,614.15,280.0,334.15,0.0,334.15,83.54,250.61,4000
9,3,1460.11,1132.0,328.11,0.879,0.851,339.46,1120.66,512.95,50.0,607.7,280.0,327.7,0.0,327.7,81.93,245.78,4000
10,3,1453.79,1132.0,321.79,0.879,0.834,339.46,1114.33,512.95,50.0,601.38,280.0,321.38,0.0,321.38,80.34,241.03,4000
11,3,1447.57,1132.0,315.57,0.88,0.817,339.46,1108.12,512.95,50.0,595.16,280.0,315.16,0.0,315.16,78.79,236.37,4000
12,3,1441.26,1132.0,309.26,0.88,0.801,339.46,1101.8,512.95,50.0,588.85,280.0,308.85,0.0,308.85,77.21,231.64,4000
1,5,1570.85,1132.0,438.85,1.0,1.0,339.46,1231.4,512.95,50.0,718.44,280.0,438.44,196.0,242.44,60.61,181.83,4000
2,5,1538.6,1132.0,406.6,0.945,0.98,339.46,1199.15,512.95,50.0,686.19,280.0,406.19,156.8,249.39,62.35,187.04,4000
3,5,1514.47,1132.0,382.47,0.907,0.96,339.46,1175.02,512.95,50.0,662.06,280.0,382.06,117.6,264.46,66.12,198.35,4000
4,5,1497.4,1132.0,365.4,0.885,0.941,339.46,1157.94,512.95,50.0,644.99,280.0,364.99,78.4,286.59,71.65,214.94,4000
5,5,1486.84,1132.0,354.84,0.877,0.922,339.46,1147.39,512.95,50.0,634.43,280.0,354.43,39.2,315.23,78.81,236.42,4000
6,5,1479.89,1132.0,347.89,0.877,0.904,339.46,1140.44,512.95,50.0,627.48,280.0,347.48,0.0,347.48,86.87,260.61,4000
7,5,1473.14,1132.0,341.14,0.878,0.886,339.46,1133.69,512.95,50.0,620.73,280.0,340.73,0.0,340.73,85.18,255.55,4000
8,5,1466.56,1132.0,334.56,0.878,0.868,339.46,1127.1,512.95,50.0,614.15,280.0,334.15,0.0,334.15,83.54,250.61,4000
9,5,1460.11,1132.0,328.11,0.879,0.851,339.46,1120.66,512.95,50.0,607.7,280.0,327.7,0.0,327.7,81.93,245.78,4000
10,5,1453.79,1132.0,321.79,0.879,0.834,339.46,1114.33,512.95,50.0,601.38,280.0,321.38,0.0,321.38,80.34,241.03,4000
11,5,1447.57,1132.0,315.57,0.88,0.817,339.46,1108.12,512.95,50.0,595.16,280.0,315.16,0.0,315.16,78.79,236.37,4000
12,5,1441.26,1132.0,309.26,0.88,0.801,339.46,1101.8,512.95,50.0,588.85,280.0,308.85,0.0,308.85,77.21,231.64,4000
