Year,Loan Yrs,Revenue (£),  Customer Bill,  Battery Rev,  Spread Scale,  Degrade Scale,COGS (£),Gross Profit (£),Opex (£),  Staff Cost,EBITDA (£),Depreciation (£),EBIT (£),Interest (£),EBT (£),Tax 25% (£),Net Income (£),Consumption kWh
1,3,1570.85,1132.0,438.85,1.0,1.0,339.46,1231.4,512.95,50.0,718.44,280.0,438.44,196.0,242.44,60.61,181.83,4000
2,3,1497.95,1132.0,365.95,0.851,0.98,339.46,1158.5,512.95,50.0,645.54,280.0,365.54,130.67,234.87,58.72,176.16,4000
3,3,1461.98,1132.0,329.98,0.783,0.96,339.46,1122.52,512.95,50.0,609.57,280.0,329.57,65.33,264.23,66.06,198.18,4000
4,3,1432.6,1132.0,300.6,0.728,0.941,339.46,1093.14,512.95,50.0,580.19,280.0,300.19,0.0,300.19,75.05,225.14,4000
5,3,1408.85,1132.0,276.85,0.684,0.922,339.46,1069.39,512.95,50.0,556.44,280.0,276.44,0.0,276.44,69.11,207.33,4000
6,3,1391.26,1132.0,259.26,0.654,0.904,339.46,1051.8,512.95,50.0,538.84,280.0,258.84,0.0,258.84,64.71,194.13,4000
7,3,1375.8,1132.0,243.8,0.627,0.886,339.46,1036.35,512.95,50.0,523.39,280.0,243.39,0.0,243.39,60.85,182.55,4000
8,3,1362.1,1132.0,230.1,0.604,0.868,339.46,1022.65,512.95,50.0,509.69,280.0,229.69,0.0,229.69,57.42,172.27,4000
9,3,1349.85,1132.0,217.85,0.583,0.851,339.46,1010.4,512.95,50.0,497.44,280.0,217.44,0.0,217.44,54.36,163.08,4000
10,3,1338.82,1132.0,206.82,0.565,0.834,339.46,999.37,512.95,50.0,486.41,280.0,206.41,0.0,206.41,51.6,154.81,4000
11,3,1328.82,1132.0,196.82,0.549,0.817,339.46,989.37,512.95,50.0,476.41,280.0,196.41,0.0,196.41,49.1,147.31,4000
12,3,1324.89,1132.0,192.89,0.549,0.801,339.46,985.43,512.95,50.0,472.48,280.0,192.48,0.0,192.48,48.12,144.36,4000
1,5,1570.85,1132.0,438.85,1.0,1.0,339.46,1231.4,512.95,50.0,718.44,280.0,438.44,196.0,242.44,60.61,181.83,4000
2,5,1497.95,1132.0,365.95,0.851,0.98,339.46,1158.5,512.95,50.0,645.54,280.0,365.54,156.8,208.74,52.19,156.56,4000
3,5,1461.98,1132.0,329.98,0.783,0.96,339.46,1122.52,512.95,50.0,609.57,280.0,329.57,117.6,211.97,52.99,158.98,4000
4,5,1432.6,1132.0,300.6,0.728,0.941,339.46,1093.14,512.95,50.0,580.19,280.0,300.19,78.4,221.79,55.45,166.34,4000
5,5,1408.85,1132.0,276.85,0.684,0.922,339.46,1069.39,512.95,50.0,556.44,280.0,276.44,39.2,237.24,59.31,177.93,4000
6,5,1391.26,1132.0,259.26,0.654,0.904,339.46,1051.8,512.95,50.0,538.84,280.0,258.84,0.0,258.84,64.71,194.13,4000
7,5,1375.8,1132.0,243.8,0.627,0.886,339.46,1036.35,512.95,50.0,523.39,280.0,243.39,0.0,243.39,60.85,182.55,4000
