Date,Min (EUR/MWhe),Max (EUR/MWhe),Daily Spread (EUR/MWhe)
2024-07-01,84.92,154.88,69.96
2024-07-02,87.85,144.08,56.23
2024-07-03,89.40,144.44,55.04
2024-07-04,88.12,147.16,59.04
2024-07-05,82.10,146.00,63.90
2024-07-06,80.00,116.91,36.91
2024-07-07,81.17,142.12,60.95
2024-07-08,88.79,140.48,51.69
2024-07-09,95.00,158.90,63.90
2024-07-10,99.02,169.63,70.61
2024-07-11,101.44,183.31,81.87
2024-07-12,99.94,156.78,56.84
2024-07-13,75.34,158.24,82.90
2024-07-14,90.41,172.00,81.59
2024-07-15,90.74,172.99,82.25
2024-07-16,100.10,181.59,81.49
2024-07-17,101.25,185.15,83.90
2024-07-18,100.01,185.25,85.24
2024-07-19,100.43,177.19,76.76
2024-07-20,91.00,168.67,77.67
2024-07-21,65.33,138.76,73.43
2024-07-22,95.57,166.68,71.11
2024-07-23,96.36,178.48,82.12
2024-07-24,96.65,157.15,60.50
2024-07-25,98.23,172.36,74.13
2024-07-26,103.25,178.42,75.17
2024-07-27,85.97,153.24,67.27
2024-07-28,97.06,149.51,52.45
2024-07-29,104.38,173.02,68.64
2024-07-30,93.66,153.59,59.93
2024-07-31,104.50,184.14,79.64
2024-08-01,105.28,201.43,96.15
2024-08-02,109.30,185.20,75.90
2024-08-03,101.00,160.20,59.20
2024-08-04,102.97,174.17,71.20
2024-08-05,101.36,181.39,80.03
2024-08-06,111.00,185.19,74.19
2024-08-07,110.04,193.46,83.42
2024-08-08,114.94,194.85,79.91
2024-08-09,110.83,198.99,88.16
2024-08-10,100.69,190.55,89.86
2024-08-11,109.14,178.13,68.99
2024-08-12,115.66,198.34,82.68
2024-08-13,113.79,214.68,100.89
2024-08-14,106.42,211.99,105.57
2024-08-15,106.00,206.43,100.43
2024-08-16,111.23,200.54,89.31
2024-08-17,97.71,180.43,82.72
2024-08-18,106.31,166.37,60.06
2024-08-19,107.68,165.50,57.82
2024-08-20,101.22,166.00,64.78
2024-08-21,106.39,167.86,61.47
2024-08-22,99.74,172.69,72.95
2024-08-23,104.69,201.22,96.53
2024-08-24,98.00,177.69,79.69
2024-08-25,110.50,196.00,85.50
2024-08-26,108.12,220.02,111.90
2024-08-27,110.81,229.91,119.10
2024-08-28,112.68,244.72,132.04
2024-08-29,109.90,250.00,140.10
2024-08-30,108.41,220.02,111.61
2024-08-31,97.68,185.05,87.37
2024-09-01,91.88,175.89,84.01
2024-09-02,116.74,215.69,98.95
2024-09-03,119.33,216.57,97.24
2024-09-04,118.87,214.24,95.37
2024-09-05,106.34,197.85,91.51
2024-09-06,105.26,202.91,97.65
2024-09-07,83.03,185.19,102.16
2024-09-08,102.03,144.63,42.60
2024-09-09,96.00,164.00,68.00
2024-09-10,80.44,153.90,73.46
2024-09-11,101.37,182.75,81.38
2024-09-12,89.09,155.83,66.74
2024-09-13,77.75,132.04,54.29
2024-09-14,75.00,141.35,66.35
2024-09-15,23.63,150.38,126.75
2024-09-16,92.70,179.79,87.09
2024-09-17,98.97,158.95,59.98
2024-09-18,95.00,156.91,61.91
2024-09-19,92.60,150.43,57.83
2024-09-20,97.75,160.66,62.91
2024-09-21,79.34,148.47,69.13
2024-09-22,89.32,157.40,68.08
2024-09-23,90.66,215.00,124.34
2024-09-24,85.17,159.52,74.35
2024-09-25,91.48,170.00,78.52
2024-09-26,92.32,148.39,56.07
2024-09-27,80.24,157.26,77.02
2024-09-28,64.66,139.15,74.49
2024-09-29,0.97,135.91,134.94
2024-09-30,68.51,165.51,97.00
2024-10-01,103.46,187.43,83.97
2024-10-02,104.05,186.18,82.13
2024-10-03,94.04,143.57,49.53
2024-10-04,87.23,165.00,77.77
2024-10-05,77.48,158.55,81.07
2024-10-06,104.78,148.75,43.97
2024-10-07,99.45,179.09,79.64
2024-10-08,92.58,157.26,64.68
2024-10-09,47.31,166.69,119.38
2024-10-10,44.48,161.22,116.74
2024-10-11,55.77,160.26,104.49
2024-10-12,23.41,155.78,132.37
2024-10-13,8.50,142.92,134.42
2024-10-14,88.89,185.21,96.32
2024-10-15,74.87,162.87,88.00
2024-10-16,86.23,162.58,76.35
2024-10-17,98.29,160.73,62.44
2024-10-18,93.93,152.82,58.89
2024-10-19,90.88,151.05,60.17
2024-10-20,101.15,147.96,46.81
2024-10-21,98.25,178.94,80.69
2024-10-22,101.06,165.63,64.57
2024-10-23,98.68,172.49,73.81
2024-10-24,95.77,162.28,66.51
2024-10-25,97.93,162.86,64.93
2024-10-26,88.79,153.78,64.99
2024-10-27,95.35,146.10,50.75
2024-10-28,97.71,159.95,62.24
2024-10-29,105.89,166.99,61.10
2024-10-30,102.71,164.10,61.39
2024-10-31,91.47,146.46,54.99
2024-11-01,91.25,134.33,43.08
2024-11-02,103.23,148.70,45.47
2024-11-03,83.53,137.93,54.40
2024-11-04,101.00,177.15,76.15
2024-11-05,96.69,193.00,96.31
2024-11-06,105.01,171.89,66.88
2024-11-07,100.41,167.84,67.43
2024-11-08,98.77,149.83,51.06
2024-11-09,102.40,150.00,47.60
2024-11-10,106.30,144.52,38.22
2024-11-11,99.18,158.28,59.10
2024-11-12,111.18,175.05,63.87
2024-11-13,108.90,186.54,77.64
2024-11-14,111.69,161.68,49.99
2024-11-15,108.26,165.00,56.74
2024-11-16,103.41,167.48,64.07
2024-11-17,103.11,159.24,56.13
2024-11-18,103.45,174.62,71.17
2024-11-19,111.11,171.36,60.25
2024-11-20,105.89,154.93,49.04
2024-11-21,106.41,170.00,63.59
2024-11-22,106.44,170.00,63.56
2024-11-23,118.09,168.82,50.73
2024-11-24,110.07,170.00,59.93
2024-11-25,116.63,178.67,62.04
2024-11-26,122.17,185.00,62.83
2024-11-27,120.93,187.39,66.46
2024-11-28,116.59,175.00,58.41
2024-11-29,108.62,177.80,69.18
2024-11-30,102.07,148.19,46.12
2024-12-01,82.38,157.86,75.48
2024-12-02,97.00,175.31,78.31
2024-12-03,121.00,203.24,82.24
2024-12-04,123.02,228.03,105.01
2024-12-05,115.64,191.30,75.66
2024-12-06,109.38,180.97,71.59
2024-12-07,118.94,175.00,56.06
2024-12-08,92.92,160.09,67.17
2024-12-09,35.44,166.68,131.24
2024-12-10,123.53,190.00,66.47
2024-12-11,121.80,275.08,153.28
2024-12-12,119.30,269.39,150.09
2024-12-13,115.64,261.97,146.33
2024-12-14,107.48,142.24,34.76
2024-12-15,96.37,160.51,64.14
2024-12-16,95.59,169.48,73.89
2024-12-17,104.40,179.18,74.78
2024-12-18,98.71,178.54,79.83
2024-12-19,96.90,155.00,58.10
2024-12-20,46.65,153.94,107.29
2024-12-21,35.96,151.61,115.65
2024-12-22,51.12,143.18,92.06
2024-12-23,6.00,141.19,135.19
2024-12-24,78.00,173.66,95.66
2024-12-25,74.73,156.17,81.44
2024-12-26,90.87,160.30,69.43
2024-12-27,99.58,168.21,68.63
2024-12-28,102.93,166.62,63.69
2024-12-29,119.78,178.89,59.11
2024-12-30,123.46,178.96,55.50
2024-12-31,110.41,173.41,63.00
2025-01-01,125.50,154.16,28.66
2025-01-02,125.05,152.16,27.11
2025-01-03,115.66,143.16,27.50
2025-01-04,128.34,158.58,30.24
2025-01-05,132.18,150.16,17.98
2025-01-06,122.37,144.66,22.29
2025-01-07,121.96,157.79,35.83
2025-01-08,117.78,146.29,28.51
2025-01-09,118.60,147.16,28.56
2025-01-10,119.81,144.66,24.85
2025-01-11,118.16,144.76,26.60
2025-01-12,109.66,140.49,30.83
2025-01-13,117.16,160.16,43.00
2025-01-14,123.26,161.93,38.67
2025-01-15,129.22,196.74,67.52
2025-01-16,125.94,169.08,43.14
2025-01-17,126.52,168.72,42.20
2025-01-18,129.16,151.08,21.92
2025-01-19,130.47,152.16,21.69
2025-01-20,130.98,211.66,80.68
2025-01-21,130.00,187.83,57.83
2025-01-22,130.16,170.24,40.08
2025-01-23,124.80,153.14,28.34
2025-01-24,129.91,156.04,26.13
2025-01-25,127.66,147.41,19.75
2025-01-26,121.83,142.43,20.60
2025-01-27,122.15,152.90,30.75
2025-01-28,120.53,147.16,26.63
2025-01-29,122.53,150.13,27.60
2025-01-30,126.11,154.72,28.61
2025-01-31,129.66,159.40,29.74
2025-02-01,132.76,152.82,20.06
2025-02-02,123.10,154.14,31.04
2025-02-03,127.18,186.37,59.19
2025-02-04,131.91,173.16,41.25
2025-02-05,130.82,162.11,31.29
2025-02-06,132.16,172.28,40.12
2025-02-07,135.01,168.39,33.38
2025-02-08,138.16,155.23,17.07
2025-02-09,137.87,160.12,22.25
2025-02-10,135.93,169.63,33.70
2025-02-11,136.93,162.16,25.23
2025-02-12,140.56,173.05,32.49
2025-02-13,137.89,166.27,28.38
2025-02-14,132.68,167.99,35.31
2025-02-15,122.16,154.66,32.50
2025-02-16,126.96,155.27,28.31
2025-02-17,133.02,174.92,41.90
2025-02-18,133.71,165.16,31.45
2025-02-19,133.61,156.57,22.96
2025-02-20,134.66,159.25,24.59
2025-02-21,128.21,154.44,26.23
2025-02-22,124.12,151.19,27.07
2025-02-23,117.19,146.72,29.53
2025-02-24,127.16,148.06,20.90
2025-02-25,128.99,151.82,22.83
2025-02-26,126.62,159.89,33.27
2025-02-27,121.04,147.82,26.78
2025-02-28,122.16,147.32,25.16
2025-03-01,116.42,144.28,27.86
2025-03-02,77.21,142.18,64.97
2025-03-03,118.81,156.60,37.79
2025-03-04,118.21,155.00,36.79
2025-03-05,117.16,147.29,30.13
2025-03-06,106.84,151.66,44.82
2025-03-07,115.25,149.29,34.04
2025-03-08,72.16,140.76,68.60
2025-03-09,101.51,138.90,37.39
2025-03-10,116.66,149.91,33.25
2025-03-11,118.26,145.91,27.65
2025-03-12,121.33,155.50,34.17
2025-03-13,104.27,153.89,49.62
2025-03-14,113.14,144.66,31.52
2025-03-15,110.47,142.16,31.69
2025-03-16,71.23,137.16,65.93
2025-03-17,114.63,152.16,37.53
2025-03-18,92.84,149.70,56.86
2025-03-19,115.31,151.68,36.37
2025-03-20,101.57,154.66,53.09
2025-03-21,120.91,145.60,24.69
2025-03-22,118.58,140.87,22.29
2025-03-23,118.46,143.75,25.29
2025-03-24,119.85,156.71,36.86
2025-03-25,118.71,151.38,32.67
2025-03-26,118.65,153.15,34.50
2025-03-27,119.29,152.88,33.59
2025-03-28,109.06,149.14,40.08
2025-03-29,121.04,146.39,25.35
2025-03-30,72.07,137.16,65.09
2025-03-31,110.50,155.00,44.50
2025-04-01,113.41,148.12,34.71
2025-04-02,117.16,146.02,28.86
2025-04-03,94.00,155.58,61.58
2025-04-04,91.55,157.66,66.11
2025-04-05,83.66,136.93,53.27
2025-04-06,96.66,133.16,36.50
2025-04-07,91.08,153.95,62.87
2025-04-08,97.50,152.05,54.55
2025-04-09,108.00,154.66,46.66
2025-04-10,97.26,145.62,48.36
2025-04-11,91.79,141.83,50.04
2025-04-12,73.18,135.54,62.36
2025-04-13,107.88,127.88,20.00
2025-04-14,110.62,143.18,32.56
2025-04-15,110.77,142.20,31.43
2025-04-16,110.73,143.68,32.95
2025-04-17,108.06,139.18,31.12
2025-04-18,96.64,135.72,39.08
2025-04-19,73.58,135.91,62.33
2025-04-20,76.66,133.98,57.32
2025-04-21,79.66,134.20,54.54
2025-04-22,92.16,151.88,59.72
2025-04-23,106.05,143.31,37.26
2025-04-24,100.78,142.72,41.94
2025-04-25,69.57,128.66,59.09
2025-04-26,69.16,131.98,62.82
2025-04-27,69.66,132.50,62.84
2025-04-28,80.74,139.40,58.66
2025-04-29,73.18,139.50,66.32
2025-04-30,77.32,142.69,65.37
2025-05-01,67.16,137.72,70.56
2025-05-02,74.26,140.68,66.42
2025-05-03,71.98,129.15,57.17
2025-05-04,69.66,127.32,57.66
2025-05-05,101.06,142.03,40.97
2025-05-06,103.16,141.95,38.79
2025-05-07,108.16,141.55,33.39
2025-05-08,98.58,142.66,44.08
2025-05-09,94.12,142.86,48.74
2025-05-10,71.98,140.90,68.92
2025-05-11,71.48,140.20,68.72
2025-05-12,96.48,143.52,47.04
2025-05-13,110.97,146.39,35.42
2025-05-14,92.54,146.86,54.32
2025-05-15,78.21,146.22,68.01
2025-05-16,118.99,124.18,5.19
2025-05-17,77.16,140.42,63.26
2025-05-18,67.16,135.32,68.16
2025-05-19,77.52,147.09,69.57
2025-05-20,115.90,142.46,26.56
2025-05-21,87.71,143.32,55.61
2025-05-22,102.67,137.44,34.77
2025-05-23,102.88,145.96,43.08
2025-05-24,72.16,142.41,70.25
2025-05-25,67.16,135.51,68.35
2025-05-26,89.78,145.86,56.08
2025-05-27,105.96,142.41,36.45
2025-05-28,119.36,127.41,8.05
2025-05-29,78.53,148.16,69.63
2025-05-30,77.37,144.16,66.79
2025-05-31,72.16,140.42,68.26
2025-06-01,71.98,134.74,62.76
2025-06-02,72.64,138.84,66.20
2025-06-03,94.27,142.16,47.89
2025-06-04,112.16,144.45,32.29
2025-06-05,111.66,137.62,25.96
2025-06-06,111.76,141.70,29.94
2025-06-07,79.16,136.49,57.33
2025-06-08,71.43,137.55,66.12
2025-06-09,90.55,144.05,53.50
2025-06-10,89.06,149.78,60.72
2025-06-11,112.16,145.12,32.96
2025-06-12,110.73,152.75,42.02
2025-06-13,116.16,145.85,29.69
2025-06-14,111.51,143.11,31.60
2025-06-15,106.16,139.92,33.76
2025-06-16,119.32,145.24,25.92
2025-06-17,113.66,140.24,26.58
2025-06-18,119.36,145.53,26.17
2025-06-19,120.34,145.57,25.23
2025-06-20,118.17,142.56,24.39
2025-06-21,108.02,146.82,38.80
2025-06-22,97.16,140.85,43.69
2025-06-23,122.44,151.33,28.89
2025-06-24,127.04,148.26,21.22
2025-06-25,122.73,157.89,35.16
2025-06-26,124.10,160.14,36.04
2025-06-27,119.04,141.44,22.40
2025-06-28,95.92,133.12,37.20
2025-06-29,72.05,135.54,63.49
2025-06-30,118.01,159.21,41.20
