Date,Min (EUR/MWhe),Max (EUR/MWhe),Daily Spread (EUR/MWhe)
2024-07-01,10.15,99.26,89.11
2024-07-02,4.00,110.41,106.41
2024-07-03,3.60,107.51,103.91
2024-07-04,-0.82,99.88,100.70
2024-07-05,1.23,106.33,105.10
2024-07-06,-1.01,79.74,80.75
2024-07-07,-1.01,104.58,105.59
2024-07-08,31.98,115.15,83.17
2024-07-09,8.30,141.94,133.64
2024-07-10,45.06,131.98,86.92
2024-07-11,50.98,111.39,60.41
2024-07-12,24.45,90.22,65.77
2024-07-13,0.00,107.51,107.51
2024-07-14,-0.95,109.91,110.86
2024-07-15,3.74,109.37,105.63
2024-07-16,59.79,125.02,65.23
2024-07-17,69.66,127.00,57.34
2024-07-18,79.21,138.23,59.02
2024-07-19,68.72,121.22,52.50
2024-07-20,-0.01,101.01,101.02
2024-07-21,-0.25,95.44,95.69
2024-07-22,54.99,133.58,78.59
2024-07-23,66.18,122.23,56.05
2024-07-24,75.31,124.11,48.80
2024-07-25,59.10,116.52,57.42
2024-07-26,71.20,122.23,51.03
2024-07-27,15.00,117.92,102.92
2024-07-28,0.00,125.50,125.50
2024-07-29,93.00,135.01,42.01
2024-07-30,64.00,142.48,78.48
2024-07-31,79.59,142.48,62.89
2024-08-01,81.80,132.66,50.86
2024-08-02,49.95,128.53,78.58
2024-08-03,5.00,136.53,131.53
2024-08-04,0.44,144.24,143.80
2024-08-05,81.45,150.89,69.44
2024-08-06,82.31,132.34,50.03
2024-08-07,78.70,128.90,50.20
2024-08-08,82.00,140.01,58.01
2024-08-09,80.00,127.71,47.71
2024-08-10,0.44,127.57,127.13
2024-08-11,0.00,136.29,136.29
2024-08-12,80.10,136.13,56.03
2024-08-13,80.05,130.48,50.43
2024-08-14,60.00,114.26,54.26
2024-08-15,0.00,117.13,117.13
2024-08-16,50.72,129.78,79.06
2024-08-17,34.72,120.00,85.28
2024-08-18,0.00,111.64,111.64
2024-08-19,67.10,157.48,90.38
2024-08-20,60.00,125.08,65.08
2024-08-21,5.22,165.01,159.79
2024-08-22,78.18,164.50,86.32
2024-08-23,77.00,141.20,64.20
2024-08-24,0.00,116.62,116.62
2024-08-25,-0.95,109.91,110.86
2024-08-26,63.37,160.00,96.63
2024-08-27,75.00,153.20,78.20
2024-08-28,75.00,138.58,63.58
2024-08-29,107.42,138.00,30.58
2024-08-30,91.81,140.01,48.20
2024-08-31,85.23,154.15,68.92
2024-09-01,28.98,141.74,112.76
2024-09-02,89.87,138.00,48.13
2024-09-03,83.08,133.95,50.87
2024-09-04,51.99,127.42,75.43
2024-09-05,81.18,134.00,52.82
2024-09-06,19.56,118.20,98.64
2024-09-07,0.44,148.56,148.12
2024-09-08,0.00,117.22,117.22
2024-09-09,6.12,132.00,125.88
2024-09-10,3.04,114.59,111.55
2024-09-11,15.00,113.00,98.00
2024-09-12,3.32,116.37,113.05
2024-09-13,0.00,89.98,89.98
2024-09-14,0.44,106.85,106.41
2024-09-15,-0.36,65.08,65.44
2024-09-16,0.00,88.40,88.40
2024-09-17,0.00,93.52,93.52
2024-09-18,56.47,148.26,91.79
2024-09-19,88.00,155.01,67.01
2024-09-20,72.85,146.97,74.12
2024-09-21,3.32,133.02,129.70
2024-09-22,0.01,114.53,114.52
2024-09-23,20.50,157.66,137.16
2024-09-24,57.31,140.00,82.69
2024-09-25,6.99,88.09,81.10
2024-09-26,0.00,72.50,72.50
2024-09-27,-0.15,109.83,109.98
2024-09-28,0.00,120.11,120.11
2024-09-29,-0.79,101.89,102.68
2024-09-30,2.40,176.21,173.81
2024-10-01,55.41,173.81,118.40
2024-10-02,40.00,124.24,84.24
2024-10-03,8.00,126.98,118.98
2024-10-04,49.10,146.41,97.31
2024-10-05,0.00,109.38,109.38
2024-10-06,-0.01,85.23,85.24
2024-10-07,24.35,108.32,83.97
2024-10-08,0.00,90.00,90.00
2024-10-09,0.98,60.80,59.82
2024-10-10,39.83,180.00,140.17
2024-10-11,57.57,155.49,97.92
2024-10-12,38.91,119.93,81.02
2024-10-13,0.00,121.28,121.28
2024-10-14,71.20,178.61,107.41
2024-10-15,47.51,125.89,78.38
2024-10-16,3.32,112.08,108.76
2024-10-17,0.44,84.34,83.90
2024-10-18,3.32,109.56,106.24
2024-10-19,5.05,91.50,86.45
2024-10-20,-0.01,125.89,125.90
2024-10-21,64.00,181.00,117.00
2024-10-22,50.24,124.71,74.47
2024-10-23,56.08,155.80,99.72
2024-10-24,24.55,120.01,95.46
2024-10-25,40.00,103.06,63.06
2024-10-26,5.01,90.98,85.97
2024-10-27,39.99,128.70,88.71
2024-10-28,43.10,149.48,106.38
2024-10-29,49.04,98.61,49.57
2024-10-30,40.00,145.00,105.00
2024-10-31,70.99,148.72,77.73
2024-11-01,47.80,125.88,78.08
2024-11-02,69.84,114.64,44.80
2024-11-03,7.40,116.67,109.27
2024-11-04,83.82,160.54,76.72
2024-11-05,90.43,193.00,102.57
2024-11-06,86.00,171.89,85.89
2024-11-07,90.00,151.49,61.49
2024-11-08,98.78,134.28,35.50
2024-11-09,90.20,134.86,44.66
2024-11-10,48.40,128.02,79.62
2024-11-11,5.00,116.86,111.86
2024-11-12,3.32,128.86,125.54
2024-11-13,82.99,133.61,50.62
2024-11-14,89.53,151.63,62.10
2024-11-15,104.05,147.22,43.17
2024-11-16,91.98,139.00,47.02
2024-11-17,87.79,154.43,66.64
2024-11-18,117.27,168.20,50.93
2024-11-19,96.63,147.48,50.85
2024-11-20,29.12,143.18,114.06
2024-11-21,14.00,125.01,111.01
2024-11-22,77.13,161.26,84.13
2024-11-23,13.81,114.28,100.47
2024-11-24,3.32,41.54,38.22
2024-11-25,3.32,159.82,156.50
2024-11-26,130.38,162.07,31.69
2024-11-27,105.44,165.08,59.64
2024-11-28,103.19,158.24,55.05
2024-11-29,102.00,155.95,53.95
2024-11-30,88.67,142.50,53.83
2024-12-01,105.53,175.20,69.67
2024-12-02,126.56,157.20,30.64
2024-12-03,121.18,160.02,38.84
2024-12-04,106.98,174.99,68.01
2024-12-05,107.56,156.22,48.66
2024-12-06,73.45,146.85,73.40
2024-12-07,2.00,71.85,69.85
2024-12-08,0.44,74.97,74.53
2024-12-09,3.85,137.21,133.36
2024-12-10,100.70,181.00,80.30
2024-12-11,113.05,179.07,66.02
2024-12-12,112.60,177.38,64.78
2024-12-13,114.95,172.35,57.40
2024-12-14,104.07,151.32,47.25
2024-12-15,70.47,138.84,68.37
2024-12-16,95.19,166.89,71.70
2024-12-17,101.24,146.24,45.00
2024-12-18,75.00,146.54,71.54
2024-12-19,5.00,122.78,117.78
2024-12-20,85.81,145.39,59.58
2024-12-21,35.07,133.48,98.41
2024-12-22,5.00,85.00,80.00
2024-12-23,3.32,124.89,121.57
2024-12-24,35.00,112.21,77.21
2024-12-25,75.99,141.08,65.09
2024-12-26,105.30,166.80,61.50
2024-12-27,107.81,161.50,53.69
2024-12-28,108.97,160.78,51.81
2024-12-29,108.88,162.00,53.12
2024-12-30,116.02,172.72,56.70
2024-12-31,111.75,159.44,47.69
2025-01-01,10.68,152.99,142.31
2025-01-02,99.82,161.10,61.28
2025-01-03,88.46,151.25,62.79
2025-01-04,82.27,145.00,62.73
2025-01-05,13.28,70.50,57.22
2025-01-06,3.52,117.78,114.26
2025-01-07,19.20,128.87,109.67
2025-01-08,53.00,135.01,82.01
2025-01-09,13.01,141.27,128.26
2025-01-10,69.94,144.28,74.34
2025-01-11,60.30,123.55,63.25
2025-01-12,2.40,126.80,124.40
2025-01-13,100.00,180.00,80.00
2025-01-14,111.63,189.54,77.91
2025-01-15,115.58,225.00,109.42
2025-01-16,108.58,199.94,91.36
2025-01-17,106.50,200.00,93.50
2025-01-18,110.20,167.85,57.65
2025-01-19,102.35,159.68,57.33
2025-01-20,114.41,170.00,55.59
2025-01-21,115.30,164.22,48.92
2025-01-22,103.60,167.72,64.12
2025-01-23,94.00,196.51,102.51
2025-01-24,57.03,122.00,64.97
2025-01-25,3.60,96.37,92.77
