Date,Min (EUR/MWhe),Max (EUR/MWhe),Daily Spread (EUR/MWhe)
2024-07-01,67.07,117.43,50.36
2024-07-02,54.57,117.05,62.48
2024-07-03,1.71,109.87,108.16
2024-07-04,-11.31,62.68,73.99
2024-07-05,4.75,112.21,107.46
2024-07-06,-16.36,94.44,110.80
2024-07-07,18.07,111.79,93.72
2024-07-08,79.98,130.61,50.63
2024-07-09,69.60,117.41,47.81
2024-07-10,48.30,109.03,60.73
2024-07-11,71.71,112.08,40.37
2024-07-12,71.89,100.33,28.44
2024-07-13,58.44,100.22,41.78
2024-07-14,26.17,98.48,72.31
2024-07-15,71.09,116.22,45.13
2024-07-16,59.86,108.45,48.59
2024-07-17,75.98,117.25,41.27
2024-07-18,75.72,126.64,50.92
2024-07-19,65.07,115.68,50.61
2024-07-20,75.00,111.57,36.57
2024-07-21,62.89,107.63,44.74
2024-07-22,58.42,113.10,54.68
2024-07-23,64.32,113.47,49.15
2024-07-24,71.13,110.90,39.77
2024-07-25,68.28,110.06,41.78
2024-07-26,71.52,107.29,35.77
2024-07-27,76.49,110.31,33.82
2024-07-28,74.24,106.26,32.02
2024-07-29,69.22,119.78,50.56
2024-07-30,74.86,125.65,50.79
2024-07-31,79.18,122.13,42.95
2024-08-01,77.59,118.16,40.57
2024-08-02,57.94,113.98,56.04
2024-08-03,70.38,112.89,42.51
2024-08-04,49.68,107.24,57.56
2024-08-05,42.52,111.34,68.82
2024-08-06,60.06,109.74,49.68
2024-08-07,28.13,104.18,76.05
2024-08-08,6.85,105.93,99.08
2024-08-09,-6.82,84.55,91.37
2024-08-10,-7.89,109.41,117.30
2024-08-11,27.23,110.61,83.38
2024-08-12,7.30,125.46,118.16
2024-08-13,43.79,118.38,74.59
2024-08-14,66.59,116.45,49.86
2024-08-15,15.71,113.93,98.22
2024-08-16,36.79,109.74,72.95
2024-08-17,38.42,113.22,74.80
2024-08-18,5.03,111.26,106.23
2024-08-19,49.02,115.79,66.77
2024-08-20,25.83,112.55,86.72
2024-08-21,-4.18,103.39,107.57
2024-08-22,-9.12,121.64,130.76
2024-08-23,-14.28,117.54,131.82
2024-08-24,3.36,109.85,106.49
2024-08-25,-16.10,96.18,112.28
2024-08-26,24.58,123.10,98.52
2024-08-27,25.18,121.47,96.29
2024-08-28,73.96,132.48,58.52
2024-08-29,57.84,131.47,73.63
2024-08-30,83.23,136.05,52.82
2024-08-31,15.26,126.70,111.44
2024-09-01,20.26,127.16,106.90
2024-09-02,88.86,141.29,52.43
2024-09-03,89.57,147.91,58.34
2024-09-04,91.54,143.41,51.87
2024-09-05,64.92,117.45,52.53
2024-09-06,57.44,120.37,62.93
2024-09-07,86.56,129.83,43.27
2024-09-08,70.27,124.99,54.72
2024-09-09,35.74,133.68,97.94
2024-09-10,0.38,114.54,114.16
2024-09-11,19.90,135.13,115.23
2024-09-12,71.43,132.92,61.49
2024-09-13,82.15,129.67,47.52
2024-09-14,7.26,117.25,109.99
2024-09-15,63.47,131.80,68.33
2024-09-16,81.81,138.82,57.01
