date,cost_without_p,cost_with_p,saving_p,avg_charge_rate_p,energy_from_grid_kwh,energy_from_battery_kwh
2025-01-01,166.22,-9.2,175.42,-0.93,0.375,9.5
2025-01-02,264.65,185.26,79.39,18.77,0.275,9.6
2025-01-03,272.22,180.21,92.02,18.25,0.275,9.6
2025-01-04,280.64,207.83,72.81,21.05,0.275,9.6
2025-01-05,248.53,148.3,100.23,15.05,0.4,9.475
2025-01-06,228.93,42.34,186.59,4.3,0.275,9.6
2025-01-07,256.07,166.95,89.12,16.95,0.275,9.6
2025-01-08,457.56,141.2,316.36,14.3,0.275,9.6
2025-01-09,259.3,185.77,73.54,18.82,0.275,9.6
2025-01-10,575.72,166.86,408.86,16.9,0.275,9.6
2025-01-11,265.83,192.27,73.57,19.48,0.275,9.6
2025-01-12,262.54,201.19,61.34,20.38,0.375,9.5
2025-01-13,254.32,189.24,65.08,19.18,0.275,9.6
2025-01-14,275.86,202.17,73.69,20.48,0.275,9.6
2025-01-15,305.12,208.05,97.08,21.07,0.4,9.475
2025-01-16,266.44,199.36,67.09,20.2,0.4,9.475
2025-01-17,273.9,194.48,79.41,19.7,0.275,9.6
2025-01-18,273.13,212.99,60.14,21.57,0.275,9.6
2025-01-19,289.14,219.23,69.91,22.2,0.55,9.325
2025-01-20,463.27,214.03,249.24,21.68,0.275,9.6
2025-01-21,397.22,210.32,186.9,21.3,0.275,9.6
2025-01-22,536.91,215.02,321.89,21.77,0.275,9.6
2025-01-23,268.2,208.8,59.4,21.15,0.375,9.5
2025-01-24,241.09,90.12,150.97,9.15,0.275,9.6
2025-01-25,244.46,134.97,109.48,13.68,0.375,9.5
2025-01-26,249.77,123.86,125.91,12.78,0.4,9.475
2025-01-27,247.87,99.48,148.39,10.07,0.275,9.6
2025-01-28,260.27,168.86,91.41,17.1,0.55,9.325
2025-01-29,255.24,146.15,109.09,14.8,0.55,9.325
2025-01-30,292.35,195.22,97.14,19.77,0.275,9.6
2025-01-31,309.52,224.84,84.69,22.77,0.375,9.5
2025-02-01,286.98,222.67,64.31,22.55,0.275,9.6
2025-02-02,295.59,219.96,75.63,22.27,0.275,9.6
2025-02-03,287.08,217.25,69.83,22.0,0.55,9.325
2025-02-04,275.57,182.89,92.68,18.55,0.275,9.6
2025-02-05,301.69,200.46,101.22,20.3,0.55,9.325
2025-02-06,300.65,225.31,75.34,22.82,0.375,9.5
2025-02-07,281.95,218.42,63.53,22.12,0.375,9.5
2025-02-08,291.63,213.03,78.6,21.57,0.275,9.6
2025-02-09,295.14,232.49,62.65,23.55,0.275,9.6
2025-02-10,297.53,219.16,78.37,22.2,0.275,9.6
2025-02-11,302.82,226.76,76.06,22.98,0.275,9.6
2025-02-12,325.52,248.55,76.97,25.18,0.275,9.6
2025-02-13,319.19,237.49,81.7,24.05,0.55,9.325
2025-02-14,322.03,220.71,101.33,22.35,0.55,9.325
2025-02-15,286.04,219.46,66.57,22.23,0.275,9.6
2025-02-16,281.61,226.62,54.99,22.95,0.275,9.6
2025-02-17,292.26,214.27,77.98,21.7,0.275,9.6
