date,baseline_p,sc_saving_p,sc_export_saving_p,sc_export_rev_p,dual_saving_p,dual_export_rev_p,dual_profitable
2025-01-01,166.22,159.9,166.58,6.68,146.7,108.65,True
2025-01-02,264.65,59.18,60.33,1.15,56.43,0,False
2025-01-03,272.22,61.55,76.18,14.64,61.55,0,False
2025-01-04,280.64,13.81,55.17,41.36,13.81,0,False
2025-01-05,248.53,77.41,87.61,10.2,54.95,0,False
2025-01-06,228.93,175.4,177.06,1.66,175.4,0,False
2025-01-07,256.07,65.14,72.27,7.13,64.89,0,False
2025-01-08,457.56,293.69,312.45,18.76,198.03,339.82,True
2025-01-09,259.3,31.86,55.3,23.44,31.86,0,False
2025-01-10,575.72,387.74,400.12,12.38,387.74,0,False
2025-01-11,265.83,33.79,57.33,23.54,-117.81,104.43,True
2025-01-12,262.54,-6.42,43.25,49.67,-18.85,0,False
2025-01-13,254.32,1.24,50.73,49.49,-98.31,97.29,True
2025-01-14,275.86,-21.1,68.0,89.1,-126.03,112.51,True
2025-01-15,305.12,47.89,85.09,37.2,46.14,0,False
2025-01-16,266.44,-5.44,52.57,58.01,-28.08,0,False
2025-01-17,273.9,30.34,66.87,36.52,30.34,0,False
2025-01-18,273.13,-51.3,45.33,96.63,-61.8,0,False
2025-01-19,289.14,-33.61,55.23,88.84,-34.61,0,False
2025-01-20,463.27,207.53,254.76,47.23,31.88,357.64,True
2025-01-21,397.22,152.52,179.36,26.85,0.32,268.88,True
2025-01-22,536.91,280.85,328.97,48.13,280.85,0,False
2025-01-23,268.2,-21.25,38.67,59.92,-23.0,0,False
2025-01-24,241.09,137.94,139.59,1.65,137.94,0,False
2025-01-25,244.46,86.79,101.08,14.29,82.54,0,False
2025-01-26,249.77,102.36,109.57,7.2,-126.2,0,False
2025-01-27,247.87,132.96,144.0,11.04,132.96,0,False
2025-01-28,260.27,64.83,76.07,11.25,64.83,0,False
2025-01-29,255.24,84.18,98.15,13.98,84.18,0,False
2025-01-30,292.35,71.97,77.96,6.0,-52.43,181.46,True
2025-01-31,309.52,31.86,66.39,34.54,20.03,0,False
2025-02-01,286.98,-29.17,41.92,71.1,-29.17,0,False
2025-02-02,295.59,-12.76,58.78,71.54,-12.76,0,False
2025-02-03,287.08,-27.64,50.53,78.17,-27.64,0,False
2025-02-04,275.57,67.09,75.09,8.0,66.84,0,False
2025-02-05,301.69,69.95,83.33,13.38,-59.93,115.73,True
2025-02-06,300.65,-19.59,57.31,76.9,-59.68,0,False
2025-02-07,281.95,-13.52,40.38,53.9,-22.55,0,False
2025-02-08,291.63,37.69,59.78,22.09,36.94,0,False
2025-02-09,295.14,-46.24,36.49,82.73,-71.99,0,False
2025-02-10,297.53,34.82,57.25,22.43,34.82,0,False
2025-02-11,302.82,27.93,54.46,26.54,2.29,0,False
2025-02-12,325.52,-5.37,49.97,55.34,-5.37,0,False
2025-02-13,319.19,25.98,59.01,33.03,25.98,0,False
2025-02-14,322.03,67.4,80.71,13.31,67.4,0,False
2025-02-15,286.04,-12.29,44.9,57.19,-12.29,0,False
2025-02-16,281.61,-71.65,30.16,101.81,-82.89,0,False
2025-02-17,292.26,-25.54,73.05,98.59,-107.69,117.63,True
2025-02-18,272.99,-1.31,62.47,63.78,-95.84,167.57,True
2025-02-19,257.91,9.39,56.73,47.33,-84.73,96.34,True
2025-02-20,227.4,28.77,63.44,34.67,-61.52,147.38,True
2025-02-21,168.27,78.67,80.06,1.39,36.81,123.3,True
2025-02-22,218.38,116.9,125.18,8.28,28.82,153.56,True
2025-02-23,156.1,75.94,81.89,5.95,-9.11,122.91,True
