Date,Min (EUR/MWhe),Max (EUR/MWhe),Daily Spread (EUR/MWhe)
2024-07-01,29.46,162.52,133.06
2024-07-02,50.72,167.25,116.53
2024-07-03,35.00,154.18,119.18
2024-07-04,-149.00,107.98,256.98
2024-07-05,-0.77,132.64,133.41
2024-07-06,-116.61,58.94,175.55
2024-07-07,-22.62,127.05,149.67
2024-07-08,29.87,249.01,219.14
2024-07-09,4.34,143.60,139.26
2024-07-10,-1.00,150.51,151.51
2024-07-11,44.39,178.12,133.73
2024-07-12,74.01,106.09,32.08
2024-07-13,-14.84,89.06,103.90
2024-07-14,-73.85,112.80,186.65
2024-07-15,-1.52,214.24,215.76
2024-07-16,-10.10,121.37,131.47
2024-07-17,11.89,182.61,170.72
2024-07-18,34.86,212.02,177.16
2024-07-19,36.81,181.12,144.31
2024-07-20,-5.40,136.36,141.76
2024-07-21,-0.18,124.53,124.71
2024-07-22,14.23,140.26,126.03
2024-07-23,29.32,116.93,87.61
2024-07-24,-10.00,121.47,131.47
2024-07-25,13.27,148.30,135.03
2024-07-26,50.00,146.09,96.09
2024-07-27,17.80,121.76,103.96
2024-07-28,-64.13,112.38,176.51
2024-07-29,-3.45,172.20,175.65
2024-07-30,-0.06,164.68,164.74
2024-07-31,11.36,133.63,122.27
2024-08-01,60.34,140.10,79.76
2024-08-02,50.05,145.73,95.68
2024-08-03,4.10,130.85,126.75
2024-08-04,-2.14,122.65,124.79
2024-08-05,3.31,245.23,241.92
2024-08-06,2.93,228.20,225.27
2024-08-07,-10.06,134.25,144.31
2024-08-08,29.99,138.77,108.78
2024-08-09,-10.00,132.32,142.32
2024-08-10,-52.04,136.91,188.95
2024-08-11,-59.97,138.93,198.90
2024-08-12,-10.06,219.99,230.05
2024-08-13,40.50,192.84,152.34
2024-08-14,74.74,205.38,130.64
2024-08-15,-10.05,126.95,137.00
2024-08-16,47.71,219.25,171.54
2024-08-17,19.28,141.82,122.54
2024-08-18,0.00,111.73,111.73
2024-08-19,77.99,200.94,122.95
2024-08-20,8.25,145.08,136.83
2024-08-21,-31.73,136.67,168.40
