Year,Revenue,COGS,Gross Profit,EBITDA,Depreciation,EBIT,Interest,EBT,Tax (25%),Net Income,Operating CF,Principal,Financing CF,Free Cash,Cum Cash,Battery NBV,Total Assets,Loan Balance,Retained Earn,BS Check
1,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,264.54400000000004,80.20198918185082,20.050497295462705,60.151491886388115,438.07149188638806,438.07149188638806,-438.07149188638806,0.0,0.0,3401.2799999999997,3401.2799999999997,3341.1285081136116,60.151491886388115,4.263256414560601e-14
2,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,233.87899556795284,110.86699361389802,27.716748403474504,83.15024521042352,461.0702452104235,461.0702452104235,-461.0702452104235,0.0,0.0,3023.3599999999997,3023.3599999999997,2880.0582629031883,143.30173709681162,-2.2737367544323206e-13
3,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,201.6040784032232,143.14191077862765,35.78547769465691,107.35643308397073,485.2764330839707,485.2764330839707,-485.2764330839707,0.0,0.0,2645.44,2645.44,2394.781829819218,250.65817018078235,-1.1368683772161603e-13
4,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,167.63472808734525,177.1112610945056,44.2778152736264,132.8334458208792,510.75344582087916,510.75344582087916,-510.75344582087916,0.0,0.0,2267.52,2267.52,1884.0283839983385,383.49161600166155,-1.1368683772161603e-13
5,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,131.8819868798837,212.86400230196716,53.21600057549179,159.64800172647537,537.5680017264754,537.5680017264754,-537.5680017264754,0.0,0.0,1889.6,1889.6,1346.4603822718632,543.139617728137,-2.2737367544323206e-13
6,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,94.25222675903044,250.49376242282042,62.623440605705106,187.87032181711533,565.7903218171152,565.7903218171152,-565.7903218171152,0.0,0.0,1511.6800000000003,1511.6800000000003,780.670060454748,731.0099395452523,0.0
7,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,54.64690423183236,290.0990849500185,72.52477123750462,217.57431371251386,595.4943137125138,595.4943137125138,-595.4943137125138,0.0,0.0,1133.7600000000002,1133.7600000000002,185.1757467422342,948.5842532577662,-2.2737367544323206e-13
8,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,12.962302271956395,331.78368690989447,82.94592172747362,248.83776518242087,626.7577651824208,185.1757467422342,-185.1757467422342,441.58201844018663,441.58201844018663,755.8400000000001,1197.4220184401868,0.0,1197.422018440187,-2.2737367544323206e-13
9,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,0.0,344.74598918185086,86.18649729546271,258.5594918863882,636.4794918863881,0.0,-0.0,636.4794918863881,1078.0615103265748,377.9200000000001,1455.9815103265748,0.0,1455.981510326575,-2.2737367544323206e-13
10,1500.1358707818508,305.8838016,1194.2520691818509,722.6659891818508,377.91999999999996,344.74598918185086,0.0,344.74598918185086,86.18649729546271,258.5594918863882,636.4794918863881,0.0,-0.0,636.4794918863881,1714.541002212963,0.0,1714.541002212963,0.0,1714.5410022129631,-2.2737367544323206e-13
