Year,New Custs,Total Custs,EBITDA,EBIT,Interest,EBT,Tax,Net Income,Op CF,Principal,Free Cash,Cum Cash,Loan Bal
1,50,50,36133.29945909254,17237.299459092545,13227.2,4010.099459092544,1002.524864773136,3007.574594319408,21903.574594319405,21903.574594319405,0.0,0.0,167056.4254056806
2,100,150,108399.89837727763,51711.89837727763,38148.34977839765,13563.548598879977,3390.8871497199943,10172.661449159983,66860.66144915998,66860.66144915998,0.0,0.0,478115.76395652065
3,200,350,252933.09621364778,120661.0962136478,86376.90347695645,34284.19273669136,8571.04818417284,25713.14455251852,157985.14455251853,157985.14455251853,0.0,0.0,1075970.619404002
4,300,650,469732.89296820306,224084.89296820306,154681.14335828015,69403.7496099229,17350.937402480726,52052.81220744218,297700.8122074421,297700.8122074421,0.0,0.0,1912029.8071965599
5,400,1050,758799.2886409434,361983.2886409434,239659.6865037592,122323.6021371842,30580.90053429605,91742.70160288815,488558.70160288806,488558.70160288806,0.0,0.0,2935151.105593672
6,0,1050,758799.2886409434,361983.2886409434,205460.57739155705,156522.71124938637,39130.67781234659,117392.03343703978,514208.0334370397,514208.0334370397,0.0,0.0,2420943.0721566323
7,0,1050,758799.2886409434,361983.2886409434,169466.01505096426,192517.27358997916,48129.31839749479,144387.95519248437,541203.9551924843,541203.9551924843,0.0,0.0,1879739.116964148
8,0,1050,758799.2886409434,361983.2886409434,131581.73818749035,230401.55045345306,57600.387613363266,172801.1628400898,569617.1628400898,569617.1628400898,0.0,0.0,1310121.9541240581
9,0,1050,758799.2886409434,361983.2886409434,91708.53678868408,270274.75185225933,67568.68796306483,202706.0638891945,599522.0638891945,599522.0638891945,0.0,0.0,710599.8902348636
10,0,1050,758799.2886409434,361983.2886409434,49741.99231644046,312241.29632450297,78060.32408112574,234180.97224337724,630996.9722433772,630996.9722433772,0.0,0.0,79602.91799148638
11,0,1050,758799.2886409434,361983.2886409434,5572.204259404047,356411.0843815394,89102.77109538484,267308.31328615453,664124.3132861545,79602.91799148638,584521.3952946682,584521.3952946682,0.0
12,0,1050,758799.2886409434,361983.2886409434,0.0,361983.2886409434,90495.82216023585,271487.4664807076,668303.4664807075,0.0,668303.4664807075,1252824.8617753757,0.0
