Year,Loan Yrs,VLP Revenue (£),EBITDA (£),Tax (£),Operating CF (£),Interest (£),Principal Repaid (£),CAC (£),Free Cash (£),Cumulative Cash (£),CF Positive,Consumption kWh
1,3,189.4,129.4,0.0,129.4,196.0,933.33,100.0,-1099.94,-1099.94,False,4000
2,3,171.16,111.16,0.0,111.16,130.67,933.33,0.0,-952.84,-2052.78,False,4000
3,3,159.38,99.38,0.0,99.38,65.33,933.33,0.0,-899.29,-2952.07,False,4000
4,3,150.46,90.46,0.0,90.46,0.0,0.0,0.0,90.46,-2861.61,True,4000
5,3,144.11,84.11,0.0,84.11,0.0,0.0,0.0,84.11,-2777.5,True,4000
6,3,139.55,79.55,0.0,79.55,0.0,0.0,0.0,79.55,-2697.95,True,4000
7,3,135.27,75.27,0.0,75.27,0.0,0.0,0.0,75.27,-2622.68,True,4000
8,3,131.23,71.23,0.0,71.23,0.0,0.0,0.0,71.23,-2551.45,True,4000
9,3,127.39,67.39,0.0,67.39,0.0,0.0,0.0,67.39,-2484.06,True,4000
10,3,123.73,63.73,0.0,63.73,0.0,0.0,0.0,63.73,-2420.33,True,4000
11,3,120.24,60.24,0.0,60.24,0.0,0.0,0.0,60.24,-2360.09,True,4000
12,3,117.84,57.84,0.0,57.84,0.0,0.0,0.0,57.84,-2302.25,True,4000
1,5,189.4,129.4,0.0,129.4,196.0,560.0,100.0,-726.6,-726.6,False,4000
2,5,171.16,111.16,0.0,111.16,156.8,560.0,0.0,-605.64,-1332.24,False,4000
3,5,159.38,99.38,0.0,99.38,117.6,560.0,0.0,-578.22,-1910.47,False,4000
4,5,150.46,90.46,0.0,90.46,78.4,560.0,0.0,-547.94,-2458.41,False,4000
5,5,144.11,84.11,0.0,84.11,39.2,560.0,0.0,-515.09,-2973.5,False,4000
6,5,139.55,79.55,0.0,79.55,0.0,0.0,0.0,79.55,-2893.95,True,4000
7,5,135.27,75.27,0.0,75.27,0.0,0.0,0.0,75.27,-2818.68,True,4000
8,5,131.23,71.23,0.0,71.23,0.0,0.0,0.0,71.23,-2747.45,True,4000
9,5,127.39,67.39,0.0,67.39,0.0,0.0,0.0,67.39,-2680.06,True,4000
10,5,123.73,63.73,0.0,63.73,0.0,0.0,0.0,63.73,-2616.33,True,4000
11,5,120.24,60.24,0.0,60.24,0.0,0.0,0.0,60.24,-2556.09,True,4000
12,5,117.84,57.84,0.0,57.84,0.0,0.0,0.0,57.84,-2498.25,True,4000
1,7,189.4,129.4,0.0,129.4,196.0,400.0,100.0,-566.6,-566.6,False,4000
2,7,171.16,111.16,0.0,111.16,168.0,400.0,0.0,-456.84,-1023.44,False,4000
3,7,159.38,99.38,0.0,99.38,140.0,400.0,0.0,-440.62,-1464.07,False,4000
4,7,150.46,90.46,0.0,90.46,112.0,400.0,0.0,-421.54,-1885.61,False,4000
5,7,144.11,84.11,0.0,84.11,84.0,400.0,0.0,-399.89,-2285.5,False,4000
6,7,139.55,79.55,0.0,79.55,56.0,400.0,0.0,-376.45,-2661.95,False,4000
7,7,135.27,75.27,0.0,75.27,28.0,400.0,0.0,-352.73,-3014.68,False,4000
8,7,131.23,71.23,0.0,71.23,0.0,0.0,0.0,71.23,-2943.45,True,4000
9,7,127.39,67.39,0.0,67.39,0.0,0.0,0.0,67.39,-2876.06,True,4000
10,7,123.73,63.73,0.0,63.73,0.0,0.0,0.0,63.73,-2812.33,True,4000
11,7,120.24,60.24,0.0,60.24,0.0,0.0,0.0,60.24,-2752.09,True,4000
12,7,117.84,57.84,0.0,57.84,0.0,0.0,0.0,57.84,-2694.25,True,4000
1,10,189.4,129.4,0.0,129.4,196.0,280.0,100.0,-446.6,-446.6,False,4000
2,10,171.16,111.16,0.0,111.16,176.4,280.0,0.0,-345.24,-791.84,False,4000
3,10,159.38,99.38,0.0,99.38,156.8,280.0,0.0,-337.42,-1129.27,False,4000
4,10,150.46,90.46,0.0,90.46,137.2,280.0,0.0,-326.74,-1456.01,False,4000
5,10,144.11,84.11,0.0,84.11,117.6,280.0,0.0,-313.49,-1769.5,False,4000
6,10,139.55,79.55,0.0,79.55,98.0,280.0,0.0,-298.45,-2067.95,False,4000
7,10,135.27,75.27,0.0,75.27,78.4,280.0,0.0,-283.13,-2351.08,False,4000
8,10,131.23,71.23,0.0,71.23,58.8,280.0,0.0,-267.57,-2618.65,False,4000
9,10,127.39,67.39,0.0,67.39,39.2,280.0,0.0,-251.81,-2870.46,False,4000
10,10,123.73,63.73,0.0,63.73,19.6,280.0,0.0,-235.87,-3106.33,False,4000
11,10,120.24,60.24,0.0,60.24,0.0,0.0,0.0,60.24,-3046.09,True,4000
12,10,117.84,57.84,0.0,57.84,0.0,0.0,0.0,57.84,-2988.25,True,4000
