Year,VLP Revenue (£),EBITDA (£),Tax (£),Operating CF (£),CAC (£),Free Cash (£),Cumulative Cash (£),CF Positive
1,133.96,73.96,18.49,55.47,100.0,-44.53,-44.53,False
2,121.06,61.06,15.26,45.79,0.0,45.79,1.26,True
3,112.72,52.72,13.18,39.54,0.0,39.54,40.81,True
4,106.42,46.42,11.6,34.81,0.0,34.81,75.62,True
5,101.92,41.92,10.48,31.44,0.0,31.44,107.06,True
6,98.7,38.7,9.68,29.03,0.0,29.03,136.09,True
7,95.68,35.68,8.92,26.76,0.0,26.76,162.85,True
8,92.82,32.82,8.2,24.61,0.0,24.61,187.46,True
9,90.1,30.1,7.53,22.58,0.0,22.58,210.03,True
10,87.52,27.52,6.88,20.64,0.0,20.64,230.67,True
11,85.04,25.04,6.26,18.78,0.0,18.78,249.45,True
12,83.34,23.34,5.84,17.51,0.0,17.51,266.96,True
