Year,VLP Revenue (£),EBITDA (£),Tax (£),Operating CF (£),CAC (£),Free Cash (£),Cumulative Cash (£),CF Positive
1,189.4,129.4,32.35,97.05,100.0,-2.95,-2.95,False
2,175.48,115.48,28.87,86.61,0.0,86.61,83.66,True
3,165.07,105.07,26.27,78.8,0.0,78.8,162.46,True
4,157.7,97.7,24.42,73.27,0.0,73.27,235.73,True
5,153.14,93.14,23.29,69.86,0.0,69.86,305.58,True
6,150.14,90.14,22.54,67.61,0.0,67.61,373.19,True
7,147.23,87.23,21.81,65.42,0.0,65.42,438.61,True
8,144.39,84.39,21.1,63.29,0.0,63.29,501.9,True
9,141.6,81.6,20.4,61.2,0.0,61.2,563.1,True
10,138.87,78.87,19.72,59.16,0.0,59.16,622.26,True
11,136.19,76.19,19.05,57.14,0.0,57.14,679.4,True
12,133.47,73.47,18.37,55.1,0.0,55.1,734.51,True
