Year,Loan Yrs,VLP Revenue (£),EBITDA (£),Tax (£),Operating CF (£),Interest (£),Principal Repaid (£),CAC (£),Free Cash (£),Cumulative Cash (£),CF Positive,Consumption kWh
1,3,128.13,68.13,0.0,68.13,196.0,933.33,100.0,-1161.2,-1161.2,False,6000
2,3,118.72,58.72,0.0,58.72,130.67,933.33,0.0,-1005.28,-2166.49,False,6000
3,3,111.67,51.67,0.0,51.67,65.33,933.33,0.0,-947.0,-3113.48,False,6000
4,3,106.69,46.69,0.0,46.69,0.0,0.0,0.0,46.69,-3066.79,True,6000
5,3,103.6,43.6,0.0,43.6,0.0,0.0,0.0,43.6,-3023.19,True,6000
6,3,101.57,41.57,0.0,41.57,0.0,0.0,0.0,41.57,-2981.62,True,6000
7,3,99.6,39.6,0.0,39.6,0.0,0.0,0.0,39.6,-2942.01,True,6000
8,3,97.68,37.68,0.0,37.68,0.0,0.0,0.0,37.68,-2904.33,True,6000
9,3,95.8,35.8,0.0,35.8,0.0,0.0,0.0,35.8,-2868.53,True,6000
10,3,93.95,33.95,0.0,33.95,0.0,0.0,0.0,33.95,-2834.58,True,6000
11,3,92.14,32.14,0.0,32.14,0.0,0.0,0.0,32.14,-2802.44,True,6000
12,3,90.3,30.3,0.0,30.3,0.0,0.0,0.0,30.3,-2772.15,True,6000
1,5,128.13,68.13,0.0,68.13,196.0,560.0,100.0,-787.87,-787.87,False,6000
2,5,118.72,58.72,0.0,58.72,156.8,560.0,0.0,-658.08,-1445.95,False,6000
3,5,111.67,51.67,0.0,51.67,117.6,560.0,0.0,-625.93,-2071.88,False,6000
4,5,106.69,46.69,0.0,46.69,78.4,560.0,0.0,-591.71,-2663.59,False,6000
5,5,103.6,43.6,0.0,43.6,39.2,560.0,0.0,-555.6,-3219.19,False,6000
6,5,101.57,41.57,0.0,41.57,0.0,0.0,0.0,41.57,-3177.62,True,6000
7,5,99.6,39.6,0.0,39.6,0.0,0.0,0.0,39.6,-3138.01,True,6000
8,5,97.68,37.68,0.0,37.68,0.0,0.0,0.0,37.68,-3100.33,True,6000
9,5,95.8,35.8,0.0,35.8,0.0,0.0,0.0,35.8,-3064.53,True,6000
10,5,93.95,33.95,0.0,33.95,0.0,0.0,0.0,33.95,-3030.58,True,6000
11,5,92.14,32.14,0.0,32.14,0.0,0.0,0.0,32.14,-2998.44,True,6000
12,5,90.3,30.3,0.0,30.3,0.0,0.0,0.0,30.3,-2968.15,True,6000
1,7,128.13,68.13,0.0,68.13,196.0,400.0,100.0,-627.87,-627.87,False,6000
2,7,118.72,58.72,0.0,58.72,168.0,400.0,0.0,-509.28,-1137.15,False,6000
3,7,111.67,51.67,0.0,51.67,140.0,400.0,0.0,-488.33,-1625.48,False,6000
4,7,106.69,46.69,0.0,46.69,112.0,400.0,0.0,-465.31,-2090.79,False,6000
5,7,103.6,43.6,0.0,43.6,84.0,400.0,0.0,-440.4,-2531.19,False,6000
6,7,101.57,41.57,0.0,41.57,56.0,400.0,0.0,-414.43,-2945.62,False,6000
7,7,99.6,39.6,0.0,39.6,28.0,400.0,0.0,-388.4,-3334.01,False,6000
8,7,97.68,37.68,0.0,37.68,0.0,0.0,0.0,37.68,-3296.33,True,6000
9,7,95.8,35.8,0.0,35.8,0.0,0.0,0.0,35.8,-3260.53,True,6000
10,7,93.95,33.95,0.0,33.95,0.0,0.0,0.0,33.95,-3226.58,True,6000
11,7,92.14,32.14,0.0,32.14,0.0,0.0,0.0,32.14,-3194.44,True,6000
12,7,90.3,30.3,0.0,30.3,0.0,0.0,0.0,30.3,-3164.15,True,6000
1,10,128.13,68.13,0.0,68.13,196.0,280.0,100.0,-507.87,-507.87,False,6000
2,10,118.72,58.72,0.0,58.72,176.4,280.0,0.0,-397.68,-905.55,False,6000
3,10,111.67,51.67,0.0,51.67,156.8,280.0,0.0,-385.13,-1290.68,False,6000
4,10,106.69,46.69,0.0,46.69,137.2,280.0,0.0,-370.51,-1661.19,False,6000
5,10,103.6,43.6,0.0,43.6,117.6,280.0,0.0,-354.0,-2015.19,False,6000
6,10,101.57,41.57,0.0,41.57,98.0,280.0,0.0,-336.43,-2351.62,False,6000
7,10,99.6,39.6,0.0,39.6,78.4,280.0,0.0,-318.8,-2670.41,False,6000
8,10,97.68,37.68,0.0,37.68,58.8,280.0,0.0,-301.12,-2971.53,False,6000
9,10,95.8,35.8,0.0,35.8,39.2,280.0,0.0,-283.4,-3254.93,False,6000
10,10,93.95,33.95,0.0,33.95,19.6,280.0,0.0,-265.65,-3520.58,False,6000
11,10,92.14,32.14,0.0,32.14,0.0,0.0,0.0,32.14,-3488.44,True,6000
12,10,90.3,30.3,0.0,30.3,0.0,0.0,0.0,30.3,-3458.15,True,6000
