Year,Loan Yrs,VLP Revenue (£),EBITDA (£),Tax (£),Operating CF (£),Interest (£),Principal Repaid (£),CAC (£),Free Cash (£),Cumulative Cash (£),CF Positive,Consumption kWh
1,3,189.4,129.4,0.0,129.4,196.0,933.33,100.0,-1099.94,-1099.94,False,4000
2,3,157.94,97.94,0.0,97.94,130.67,933.33,0.0,-966.06,-2066.0,False,4000
3,3,142.41,82.41,0.0,82.41,65.33,933.33,0.0,-916.26,-2982.26,False,4000
4,3,129.73,69.73,0.0,69.73,0.0,0.0,0.0,69.73,-2912.53,True,4000
5,3,119.48,59.48,0.0,59.48,0.0,0.0,0.0,59.48,-2853.05,True,4000
6,3,111.89,51.89,0.0,51.89,0.0,0.0,0.0,51.89,-2801.16,True,4000
7,3,105.22,45.22,0.0,45.22,0.0,0.0,0.0,45.22,-2755.94,True,4000
8,3,99.31,39.31,0.0,39.31,0.0,0.0,0.0,39.31,-2716.63,True,4000
9,3,94.02,34.02,0.0,34.02,0.0,0.0,0.0,34.02,-2682.61,True,4000
10,3,89.26,29.26,0.0,29.26,0.0,0.0,0.0,29.26,-2653.35,True,4000
11,3,84.94,24.94,0.0,24.94,0.0,0.0,0.0,24.94,-2628.41,True,4000
12,3,83.25,23.25,0.0,23.25,0.0,0.0,0.0,23.25,-2605.16,True,4000
1,5,189.4,129.4,0.0,129.4,196.0,560.0,100.0,-726.6,-726.6,False,4000
2,5,157.94,97.94,0.0,97.94,156.8,560.0,0.0,-618.86,-1345.47,False,4000
3,5,142.41,82.41,0.0,82.41,117.6,560.0,0.0,-595.19,-1940.66,False,4000
4,5,129.73,69.73,0.0,69.73,78.4,560.0,0.0,-568.67,-2509.33,False,4000
5,5,119.48,59.48,0.0,59.48,39.2,560.0,0.0,-539.72,-3049.05,False,4000
6,5,111.89,51.89,0.0,51.89,0.0,0.0,0.0,51.89,-2997.16,True,4000
7,5,105.22,45.22,0.0,45.22,0.0,0.0,0.0,45.22,-2951.94,True,4000
8,5,99.31,39.31,0.0,39.31,0.0,0.0,0.0,39.31,-2912.63,True,4000
9,5,94.02,34.02,0.0,34.02,0.0,0.0,0.0,34.02,-2878.61,True,4000
10,5,89.26,29.26,0.0,29.26,0.0,0.0,0.0,29.26,-2849.35,True,4000
11,5,84.94,24.94,0.0,24.94,0.0,0.0,0.0,24.94,-2824.41,True,4000
12,5,83.25,23.25,0.0,23.25,0.0,0.0,0.0,23.25,-2801.16,True,4000
1,7,189.4,129.4,0.0,129.4,196.0,400.0,100.0,-566.6,-566.6,False,4000
2,7,157.94,97.94,0.0,97.94,168.0,400.0,0.0,-470.06,-1036.67,False,4000
3,7,142.41,82.41,0.0,82.41,140.0,400.0,0.0,-457.59,-1494.26,False,4000
4,7,129.73,69.73,0.0,69.73,112.0,400.0,0.0,-442.27,-1936.53,False,4000
5,7,119.48,59.48,0.0,59.48,84.0,400.0,0.0,-424.52,-2361.05,False,4000
6,7,111.89,51.89,0.0,51.89,56.0,400.0,0.0,-404.11,-2765.16,False,4000
7,7,105.22,45.22,0.0,45.22,28.0,400.0,0.0,-382.78,-3147.94,False,4000
8,7,99.31,39.31,0.0,39.31,0.0,0.0,0.0,39.31,-3108.63,True,4000
9,7,94.02,34.02,0.0,34.02,0.0,0.0,0.0,34.02,-3074.61,True,4000
10,7,89.26,29.26,0.0,29.26,0.0,0.0,0.0,29.26,-3045.35,True,4000
11,7,84.94,24.94,0.0,24.94,0.0,0.0,0.0,24.94,-3020.41,True,4000
12,7,83.25,23.25,0.0,23.25,0.0,0.0,0.0,23.25,-2997.16,True,4000
1,10,189.4,129.4,0.0,129.4,196.0,280.0,100.0,-446.6,-446.6,False,4000
2,10,157.94,97.94,0.0,97.94,176.4,280.0,0.0,-358.46,-805.07,False,4000
3,10,142.41,82.41,0.0,82.41,156.8,280.0,0.0,-354.39,-1159.46,False,4000
4,10,129.73,69.73,0.0,69.73,137.2,280.0,0.0,-347.47,-1506.93,False,4000
5,10,119.48,59.48,0.0,59.48,117.6,280.0,0.0,-338.12,-1845.05,False,4000
6,10,111.89,51.89,0.0,51.89,98.0,280.0,0.0,-326.11,-2171.16,False,4000
7,10,105.22,45.22,0.0,45.22,78.4,280.0,0.0,-313.18,-2484.34,False,4000
8,10,99.31,39.31,0.0,39.31,58.8,280.0,0.0,-299.49,-2783.83,False,4000
9,10,94.02,34.02,0.0,34.02,39.2,280.0,0.0,-285.18,-3069.01,False,4000
10,10,89.26,29.26,0.0,29.26,19.6,280.0,0.0,-270.34,-3339.35,False,4000
11,10,84.94,24.94,0.0,24.94,0.0,0.0,0.0,24.94,-3314.41,True,4000
12,10,83.25,23.25,0.0,23.25,0.0,0.0,0.0,23.25,-3291.16,True,4000
