Year,VLP Revenue (£),EBITDA (£),Tax (£),Operating CF (£),CAC (£),Free Cash (£),Cumulative Cash (£),CF Positive
1,133.96,73.96,18.49,55.47,100.0,-44.53,-44.53,False
2,111.71,51.71,12.93,38.78,0.0,38.78,-5.75,True
3,100.72,40.72,10.18,30.54,0.0,30.54,24.79,True
4,91.76,31.76,7.94,23.82,0.0,23.82,48.61,True
5,84.51,24.51,6.13,18.38,0.0,18.38,66.99,True
6,79.14,19.14,4.78,14.35,0.0,14.35,81.34,True
7,74.42,14.42,3.61,10.82,0.0,10.82,92.16,True
8,70.24,10.24,2.56,7.68,0.0,7.68,99.84,True
9,66.5,6.5,1.62,4.87,0.0,4.87,104.71,True
10,63.13,3.13,0.78,2.35,0.0,2.35,107.06,True
11,60.08,0.08,0.02,0.06,0.0,0.06,107.12,True
12,58.88,-1.12,0.0,-1.12,0.0,-1.12,106.0,False
