Year,Loan Yrs,Opening Balance (£),Interest Payment (£),Principal Payment (£),Total Payment (£),Closing Balance (£)
1,3,2800.0,196.0,933.33,1129.33,1866.67
2,3,1866.67,130.67,933.33,1064.0,933.34
3,3,933.34,65.33,933.33,998.66,0.01
TOTAL,3,,392.0,2799.99,3191.99,
1,5,2800.0,196.0,560.0,756.0,2240.0
2,5,2240.0,156.8,560.0,716.8,1680.0
3,5,1680.0,117.6,560.0,677.6,1120.0
4,5,1120.0,78.4,560.0,638.4,560.0
5,5,560.0,39.2,560.0,599.2,0.0
TOTAL,5,,588.0,2800.0,3388.0,
1,7,2800.0,196.0,400.0,596.0,2400.0
2,7,2400.0,168.0,400.0,568.0,2000.0
3,7,2000.0,140.0,400.0,540.0,1600.0
4,7,1600.0,112.0,400.0,512.0,1200.0
5,7,1200.0,84.0,400.0,484.0,800.0
6,7,800.0,56.0,400.0,456.0,400.0
7,7,400.0,28.0,400.0,428.0,0.0
TOTAL,7,,784.0,2800.0,3584.0,
1,10,2800.0,196.0,280.0,476.0,2520.0
2,10,2520.0,176.4,280.0,456.4,2240.0
3,10,2240.0,156.8,280.0,436.8,1960.0
4,10,1960.0,137.2,280.0,417.2,1680.0
5,10,1680.0,117.6,280.0,397.6,1400.0
6,10,1400.0,98.0,280.0,378.0,1120.0
7,10,1120.0,78.4,280.0,358.4,840.0
8,10,840.0,58.8,280.0,338.8,560.0
9,10,560.0,39.2,280.0,319.2,280.0
10,10,280.0,19.6,280.0,299.6,0.0
TOTAL,10,,1078.0,2800.0,3878.0,
