Year,Loan Yrs,VLP Revenue (£),  Spread Scale,  Degrade Scale,Staff Cost (£),Cust Mgmt (£),Total Opex (£),EBITDA (£),Depreciation (£),EBIT (£),Interest (£),EBT (£),Tax 25% (£),Net Income (£),Consumption kWh
1,3,189.4,1.0,1.0,50.0,10.0,60.0,129.4,280.0,-150.6,196.0,-346.6,0.0,-346.6,4000
2,3,171.16,0.922,0.98,50.0,10.0,60.0,111.16,280.0,-168.84,130.67,-299.51,0.0,-299.51,4000
3,3,159.38,0.876,0.96,50.0,10.0,60.0,99.38,280.0,-180.62,65.33,-245.96,0.0,-245.96,4000
4,3,150.46,0.844,0.941,50.0,10.0,60.0,90.46,280.0,-189.54,0.0,-189.54,0.0,-189.54,4000
5,3,144.11,0.825,0.922,50.0,10.0,60.0,84.11,280.0,-195.89,0.0,-195.89,0.0,-195.89,4000
6,3,139.55,0.815,0.904,50.0,10.0,60.0,79.55,280.0,-200.45,0.0,-200.45,0.0,-200.45,4000
7,3,135.27,0.806,0.886,50.0,10.0,60.0,75.27,280.0,-204.73,0.0,-204.73,0.0,-204.73,4000
8,3,131.23,0.798,0.868,50.0,10.0,60.0,71.23,280.0,-208.77,0.0,-208.77,0.0,-208.77,4000
9,3,127.39,0.791,0.851,50.0,10.0,60.0,67.39,280.0,-212.61,0.0,-212.61,0.0,-212.61,4000
10,3,123.73,0.784,0.834,50.0,10.0,60.0,63.73,280.0,-216.27,0.0,-216.27,0.0,-216.27,4000
11,3,120.24,0.777,0.817,50.0,10.0,60.0,60.24,280.0,-219.76,0.0,-219.76,0.0,-219.76,4000
12,3,117.84,0.777,0.801,50.0,10.0,60.0,57.84,280.0,-222.16,0.0,-222.16,0.0,-222.16,4000
1,5,189.4,1.0,1.0,50.0,10.0,60.0,129.4,280.0,-150.6,196.0,-346.6,0.0,-346.6,4000
2,5,171.16,0.922,0.98,50.0,10.0,60.0,111.16,280.0,-168.84,156.8,-325.64,0.0,-325.64,4000
3,5,159.38,0.876,0.96,50.0,10.0,60.0,99.38,280.0,-180.62,117.6,-298.22,0.0,-298.22,4000
4,5,150.46,0.844,0.941,50.0,10.0,60.0,90.46,280.0,-189.54,78.4,-267.94,0.0,-267.94,4000
5,5,144.11,0.825,0.922,50.0,10.0,60.0,84.11,280.0,-195.89,39.2,-235.09,0.0,-235.09,4000
6,5,139.55,0.815,0.904,50.0,10.0,60.0,79.55,280.0,-200.45,0.0,-200.45,0.0,-200.45,4000
7,5,135.27,0.806,0.886,50.0,10.0,60.0,75.27,280.0,-204.73,0.0,-204.73,0.0,-204.73,4000
8,5,131.23,0.798,0.868,50.0,10.0,60.0,71.23,280.0,-208.77,0.0,-208.77,0.0,-208.77,4000
9,5,127.39,0.791,0.851,50.0,10.0,60.0,67.39,280.0,-212.61,0.0,-212.61,0.0,-212.61,4000
10,5,123.73,0.784,0.834,50.0,10.0,60.0,63.73,280.0,-216.27,0.0,-216.27,0.0,-216.27,4000
11,5,120.24,0.777,0.817,50.0,10.0,60.0,60.24,280.0,-219.76,0.0,-219.76,0.0,-219.76,4000
12,5,117.84,0.777,0.801,50.0,10.0,60.0,57.84,280.0,-222.16,0.0,-222.16,0.0,-222.16,4000
1,7,189.4,1.0,1.0,50.0,10.0,60.0,129.4,280.0,-150.6,196.0,-346.6,0.0,-346.6,4000
2,7,171.16,0.922,0.98,50.0,10.0,60.0,111.16,280.0,-168.84,168.0,-336.84,0.0,-336.84,4000
3,7,159.38,0.876,0.96,50.0,10.0,60.0,99.38,280.0,-180.62,140.0,-320.62,0.0,-320.62,4000
4,7,150.46,0.844,0.941,50.0,10.0,60.0,90.46,280.0,-189.54,112.0,-301.54,0.0,-301.54,4000
5,7,144.11,0.825,0.922,50.0,10.0,60.0,84.11,280.0,-195.89,84.0,-279.89,0.0,-279.89,4000
6,7,139.55,0.815,0.904,50.0,10.0,60.0,79.55,280.0,-200.45,56.0,-256.45,0.0,-256.45,4000
7,7,135.27,0.806,0.886,50.0,10.0,60.0,75.27,280.0,-204.73,28.0,-232.73,0.0,-232.73,4000
8,7,131.23,0.798,0.868,50.0,10.0,60.0,71.23,280.0,-208.77,0.0,-208.77,0.0,-208.77,4000
9,7,127.39,0.791,0.851,50.0,10.0,60.0,67.39,280.0,-212.61,0.0,-212.61,0.0,-212.61,4000
10,7,123.73,0.784,0.834,50.0,10.0,60.0,63.73,280.0,-216.27,0.0,-216.27,0.0,-216.27,4000
11,7,120.24,0.777,0.817,50.0,10.0,60.0,60.24,280.0,-219.76,0.0,-219.76,0.0,-219.76,4000
12,7,117.84,0.777,0.801,50.0,10.0,60.0,57.84,280.0,-222.16,0.0,-222.16,0.0,-222.16,4000
1,10,189.4,1.0,1.0,50.0,10.0,60.0,129.4,280.0,-150.6,196.0,-346.6,0.0,-346.6,4000
2,10,171.16,0.922,0.98,50.0,10.0,60.0,111.16,280.0,-168.84,176.4,-345.24,0.0,-345.24,4000
3,10,159.38,0.876,0.96,50.0,10.0,60.0,99.38,280.0,-180.62,156.8,-337.42,0.0,-337.42,4000
4,10,150.46,0.844,0.941,50.0,10.0,60.0,90.46,280.0,-189.54,137.2,-326.74,0.0,-326.74,4000
5,10,144.11,0.825,0.922,50.0,10.0,60.0,84.11,280.0,-195.89,117.6,-313.49,0.0,-313.49,4000
6,10,139.55,0.815,0.904,50.0,10.0,60.0,79.55,280.0,-200.45,98.0,-298.45,0.0,-298.45,4000
7,10,135.27,0.806,0.886,50.0,10.0,60.0,75.27,280.0,-204.73,78.4,-283.13,0.0,-283.13,4000
8,10,131.23,0.798,0.868,50.0,10.0,60.0,71.23,280.0,-208.77,58.8,-267.57,0.0,-267.57,4000
9,10,127.39,0.791,0.851,50.0,10.0,60.0,67.39,280.0,-212.61,39.2,-251.81,0.0,-251.81,4000
10,10,123.73,0.784,0.834,50.0,10.0,60.0,63.73,280.0,-216.27,19.6,-235.87,0.0,-235.87,4000
11,10,120.24,0.777,0.817,50.0,10.0,60.0,60.24,280.0,-219.76,0.0,-219.76,0.0,-219.76,4000
12,10,117.84,0.777,0.801,50.0,10.0,60.0,57.84,280.0,-222.16,0.0,-222.16,0.0,-222.16,4000
