Year,VLP Revenue (£),  Spread Scale,  Degrade Scale,Staff Cost (£),Cust Mgmt (£),Total Opex (£),EBITDA (£),EBT (£),Tax 25% (£),Net Income (£)
1,133.96,1.0,1.0,50.0,10.0,60.0,73.96,73.96,18.49,55.47
2,121.06,0.922,0.98,50.0,10.0,60.0,61.06,61.06,15.26,45.79
3,112.72,0.876,0.96,50.0,10.0,60.0,52.72,52.72,13.18,39.54
4,106.42,0.844,0.941,50.0,10.0,60.0,46.42,46.42,11.6,34.81
5,101.92,0.825,0.922,50.0,10.0,60.0,41.92,41.92,10.48,31.44
6,98.7,0.815,0.904,50.0,10.0,60.0,38.7,38.7,9.68,29.03
7,95.68,0.806,0.886,50.0,10.0,60.0,35.68,35.68,8.92,26.76
8,92.82,0.798,0.868,50.0,10.0,60.0,32.82,32.82,8.2,24.61
9,90.1,0.791,0.851,50.0,10.0,60.0,30.1,30.1,7.53,22.58
10,87.52,0.784,0.834,50.0,10.0,60.0,27.52,27.52,6.88,20.64
11,85.04,0.777,0.817,50.0,10.0,60.0,25.04,25.04,6.26,18.78
12,83.34,0.777,0.801,50.0,10.0,60.0,23.34,23.34,5.84,17.51
