Year,Loan Yrs,VLP Revenue (£),  Spread Scale,  Degrade Scale,Staff Cost (£),Cust Mgmt (£),Total Opex (£),EBITDA (£),Depreciation (£),EBIT (£),Interest (£),EBT (£),Tax 25% (£),Net Income (£),Consumption kWh
1,3,189.4,1.0,1.0,50.0,10.0,60.0,129.4,280.0,-150.6,196.0,-346.6,0.0,-346.6,4000
2,3,175.48,0.945,0.98,50.0,10.0,60.0,115.48,280.0,-164.52,130.67,-295.19,0.0,-295.19,4000
3,3,165.07,0.907,0.96,50.0,10.0,60.0,105.07,280.0,-174.93,65.33,-240.27,0.0,-240.27,4000
4,3,157.7,0.885,0.941,50.0,10.0,60.0,97.7,280.0,-182.3,0.0,-182.3,0.0,-182.3,4000
5,3,153.14,0.877,0.922,50.0,10.0,60.0,93.14,280.0,-186.86,0.0,-186.86,0.0,-186.86,4000
6,3,150.14,0.877,0.904,50.0,10.0,60.0,90.14,280.0,-189.86,0.0,-189.86,0.0,-189.86,4000
7,3,147.23,0.878,0.886,50.0,10.0,60.0,87.23,280.0,-192.77,0.0,-192.77,0.0,-192.77,4000
8,3,144.39,0.878,0.868,50.0,10.0,60.0,84.39,280.0,-195.61,0.0,-195.61,0.0,-195.61,4000
9,3,141.6,0.879,0.851,50.0,10.0,60.0,81.6,280.0,-198.4,0.0,-198.4,0.0,-198.4,4000
10,3,138.87,0.879,0.834,50.0,10.0,60.0,78.87,280.0,-201.13,0.0,-201.13,0.0,-201.13,4000
11,3,136.19,0.88,0.817,50.0,10.0,60.0,76.19,280.0,-203.81,0.0,-203.81,0.0,-203.81,4000
12,3,133.47,0.88,0.801,50.0,10.0,60.0,73.47,280.0,-206.53,0.0,-206.53,0.0,-206.53,4000
1,5,189.4,1.0,1.0,50.0,10.0,60.0,129.4,280.0,-150.6,196.0,-346.6,0.0,-346.6,4000
2,5,175.48,0.945,0.98,50.0,10.0,60.0,115.48,280.0,-164.52,156.8,-321.32,0.0,-321.32,4000
3,5,165.07,0.907,0.96,50.0,10.0,60.0,105.07,280.0,-174.93,117.6,-292.53,0.0,-292.53,4000
4,5,157.7,0.885,0.941,50.0,10.0,60.0,97.7,280.0,-182.3,78.4,-260.7,0.0,-260.7,4000
5,5,153.14,0.877,0.922,50.0,10.0,60.0,93.14,280.0,-186.86,39.2,-226.06,0.0,-226.06,4000
6,5,150.14,0.877,0.904,50.0,10.0,60.0,90.14,280.0,-189.86,0.0,-189.86,0.0,-189.86,4000
7,5,147.23,0.878,0.886,50.0,10.0,60.0,87.23,280.0,-192.77,0.0,-192.77,0.0,-192.77,4000
8,5,144.39,0.878,0.868,50.0,10.0,60.0,84.39,280.0,-195.61,0.0,-195.61,0.0,-195.61,4000
9,5,141.6,0.879,0.851,50.0,10.0,60.0,81.6,280.0,-198.4,0.0,-198.4,0.0,-198.4,4000
10,5,138.87,0.879,0.834,50.0,10.0,60.0,78.87,280.0,-201.13,0.0,-201.13,0.0,-201.13,4000
11,5,136.19,0.88,0.817,50.0,10.0,60.0,76.19,280.0,-203.81,0.0,-203.81,0.0,-203.81,4000
12,5,133.47,0.88,0.801,50.0,10.0,60.0,73.47,280.0,-206.53,0.0,-206.53,0.0,-206.53,4000
1,7,189.4,1.0,1.0,50.0,10.0,60.0,129.4,280.0,-150.6,196.0,-346.6,0.0,-346.6,4000
2,7,175.48,0.945,0.98,50.0,10.0,60.0,115.48,280.0,-164.52,168.0,-332.52,0.0,-332.52,4000
3,7,165.07,0.907,0.96,50.0,10.0,60.0,105.07,280.0,-174.93,140.0,-314.93,0.0,-314.93,4000
4,7,157.7,0.885,0.941,50.0,10.0,60.0,97.7,280.0,-182.3,112.0,-294.3,0.0,-294.3,4000
5,7,153.14,0.877,0.922,50.0,10.0,60.0,93.14,280.0,-186.86,84.0,-270.86,0.0,-270.86,4000
6,7,150.14,0.877,0.904,50.0,10.0,60.0,90.14,280.0,-189.86,56.0,-245.86,0.0,-245.86,4000
7,7,147.23,0.878,0.886,50.0,10.0,60.0,87.23,280.0,-192.77,28.0,-220.77,0.0,-220.77,4000
8,7,144.39,0.878,0.868,50.0,10.0,60.0,84.39,280.0,-195.61,0.0,-195.61,0.0,-195.61,4000
9,7,141.6,0.879,0.851,50.0,10.0,60.0,81.6,280.0,-198.4,0.0,-198.4,0.0,-198.4,4000
10,7,138.87,0.879,0.834,50.0,10.0,60.0,78.87,280.0,-201.13,0.0,-201.13,0.0,-201.13,4000
11,7,136.19,0.88,0.817,50.0,10.0,60.0,76.19,280.0,-203.81,0.0,-203.81,0.0,-203.81,4000
12,7,133.47,0.88,0.801,50.0,10.0,60.0,73.47,280.0,-206.53,0.0,-206.53,0.0,-206.53,4000
1,10,189.4,1.0,1.0,50.0,10.0,60.0,129.4,280.0,-150.6,196.0,-346.6,0.0,-346.6,4000
2,10,175.48,0.945,0.98,50.0,10.0,60.0,115.48,280.0,-164.52,176.4,-340.92,0.0,-340.92,4000
3,10,165.07,0.907,0.96,50.0,10.0,60.0,105.07,280.0,-174.93,156.8,-331.73,0.0,-331.73,4000
4,10,157.7,0.885,0.941,50.0,10.0,60.0,97.7,280.0,-182.3,137.2,-319.5,0.0,-319.5,4000
5,10,153.14,0.877,0.922,50.0,10.0,60.0,93.14,280.0,-186.86,117.6,-304.46,0.0,-304.46,4000
6,10,150.14,0.877,0.904,50.0,10.0,60.0,90.14,280.0,-189.86,98.0,-287.86,0.0,-287.86,4000
7,10,147.23,0.878,0.886,50.0,10.0,60.0,87.23,280.0,-192.77,78.4,-271.17,0.0,-271.17,4000
8,10,144.39,0.878,0.868,50.0,10.0,60.0,84.39,280.0,-195.61,58.8,-254.41,0.0,-254.41,4000
9,10,141.6,0.879,0.851,50.0,10.0,60.0,81.6,280.0,-198.4,39.2,-237.6,0.0,-237.6,4000
10,10,138.87,0.879,0.834,50.0,10.0,60.0,78.87,280.0,-201.13,19.6,-220.73,0.0,-220.73,4000
11,10,136.19,0.88,0.817,50.0,10.0,60.0,76.19,280.0,-203.81,0.0,-203.81,0.0,-203.81,4000
12,10,133.47,0.88,0.801,50.0,10.0,60.0,73.47,280.0,-206.53,0.0,-206.53,0.0,-206.53,4000
