Year,VLP Revenue (£),  Spread Scale,  Degrade Scale,Staff Cost (£),Cust Mgmt (£),Total Opex (£),EBITDA (£),EBT (£),Tax 25% (£),Net Income (£)
1,189.4,1.0,1.0,50.0,10.0,60.0,129.4,129.4,32.35,97.05
2,157.94,0.851,0.98,50.0,10.0,60.0,97.94,97.94,24.48,73.45
3,142.41,0.783,0.96,50.0,10.0,60.0,82.41,82.41,20.6,61.81
4,129.73,0.728,0.941,50.0,10.0,60.0,69.73,69.73,17.43,52.3
5,119.48,0.684,0.922,50.0,10.0,60.0,59.48,59.48,14.87,44.61
6,111.89,0.654,0.904,50.0,10.0,60.0,51.89,51.89,12.97,38.92
7,105.22,0.627,0.886,50.0,10.0,60.0,45.22,45.22,11.3,33.91
8,99.31,0.604,0.868,50.0,10.0,60.0,39.31,39.31,9.83,29.48
9,94.02,0.583,0.851,50.0,10.0,60.0,34.02,34.02,8.51,25.52
10,89.26,0.565,0.834,50.0,10.0,60.0,29.26,29.26,7.31,21.94
11,84.94,0.549,0.817,50.0,10.0,60.0,24.94,24.94,6.24,18.71
12,83.25,0.549,0.801,50.0,10.0,60.0,23.25,23.25,5.81,17.43
